ID	Gene.symbol	Gene.title	log2(fold change)(AR vs NR)	-log10(Pvalue)(AR vs NR)
39568_g_at	AQP7P5///LOC101930168///LOC100509620///AQP7P1///AQP7	aquaporin 7 pseudogene 5///putative aquaporin-7-like protein 3///putative aquaporin-7-like protein 3///aquaporin 7 pseudogene 1///aquaporin 7	-0.474	2.862
39591_s_at	FGL2	fibrinogen like 2	0.773	3.023
39593_at	FGL2	fibrinogen like 2	1.206	5.075
39594_f_at	MT1H	metallothionein 1H	-1.4	4.009
39609_at	SIM2	single-minded family bHLH transcription factor 2	-0.372	2.865
39654_at	ASPA	aspartoacylase	-0.825	2.966
39660_at	DEFB1	defensin beta 1	-1.37	4.003
39725_at	RBM39	RNA binding motif protein 39	0.782	4.239
39728_at	IFI30///PIK3R2	IFI30, lysosomal thiol reductase///phosphoinositide-3-kinase regulatory subunit 2	1.396	5.442
39738_at	MYH9	myosin, heavy chain 9, non-muscle	1.134	3.461
39756_g_at	XBP1	X-box binding protein 1	0.78	2.887
39760_at	QKI	QKI, KH domain containing RNA binding	0.871	3.094
39770_at	SMG7	SMG7, nonsense mediated mRNA decay factor	-0.464	2.709
39777_at	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	0.771	3.971
39797_at	UBR2	ubiquitin protein ligase E3 component n-recognin 2	0.444	2.756
39799_at	FABP5	fatty acid binding protein 5	0.979	3.061
39805_at	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	-0.39	2.997
39820_at	LOC101930306///RRN3P1///RRN3P2///RRN3	uncharacterized LOC101930306///RRN3 homolog, RNA polymerase I transcription factor pseudogene 1///RRN3 homolog, RNA polymerase I transcription factor pseudogene 2///RRN3 homolog, RNA polymerase I transcription factor	0.801	3.84
39824_at	PTP4A3	protein tyrosine phosphatase type IVA, member 3	0.524	3.391
39880_at	LRRC37A2///LRRC37A3///LRRC37A4P///LRRC37A	leucine rich repeat containing 37 member A2///leucine rich repeat containing 37 member A3///leucine rich repeat containing 37 member A4, pseudogene///leucine rich repeat containing 37A	-0.804	3.575
