ID	Gene.symbol	Gene.title	log2(fold change)(AR vs NR)	-log10(Pvalue)(AR vs NR)
32196_at	CAND1	cullin associated and neddylation dissociated 1	0.45	2.919
32203_at	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1	0.462	3.462
32227_at	SRGN	serglycin	2.263	5.814
32260_at	PEA15	phosphoprotein enriched in astrocytes 15	0.749	4.121
32272_at	TUBA1B	tubulin alpha 1b	0.951	4.188
32289_at	PTPRS	protein tyrosine phosphatase, receptor type S	-0.509	3.729
32321_at	HLA-E	major histocompatibility complex, class I, E	1.624	4.904
32324_at	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	0.458	2.864
32331_at	LOC100507855///AK4	adenylate kinase 4, mitochondrial-like///adenylate kinase 4	-1.539	3.829
32392_s_at	UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10	UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A7///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10	-3.077	5.634
32434_at	MARCKS	myristoylated alanine rich protein kinase C substrate	1.717	3.026
32472_at	OXT	oxytocin/neurophysin I prepropeptide	-0.529	3.55
32510_at	AKR7A2	aldo-keto reductase family 7 member A2	-1.082	2.66
32529_at	CKAP4	cytoskeleton associated protein 4	0.512	3
32587_at	ZFP36L2	ZFP36 ring finger protein like 2	1.035	4.027
32588_s_at	ZFP36L2	ZFP36 ring finger protein like 2	1.055	4.916
32607_at	BASP1	brain abundant membrane attached signal protein 1	2.148	4.44
32629_f_at	BTN3A1	butyrophilin subfamily 3 member A1	0.929	4.248
32654_g_at	BRD8	bromodomain containing 8	0.566	2.652
32679_at	MTFR1	mitochondrial fission regulator 1	-0.425	3.085
32698_at	PVR	poliovirus receptor	-0.516	4.444
32720_at	ATG12	autophagy related 12	0.729	3.504
32722_at	ARG2	arginase 2	-0.704	3.349
32724_at	PHYH	phytanoyl-CoA 2-hydroxylase	-1.121	2.865
32737_at	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	0.37	2.78
32739_at	PGM3	phosphoglucomutase 3	-0.736	3.523
32747_at	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	-0.866	2.678
32749_s_at	FLNA	filamin A	0.885	5.555
32756_at	ECH1	enoyl-CoA hydratase 1	-0.78	3.47
32773_at	LOC100509457///HLA-DQA1	HLA class II histocompatibility antigen, DQ alpha 1 chain-like///major histocompatibility complex, class II, DQ alpha 1	1.584	3.298
32784_at	PRPF4B	pre-mRNA processing factor 4B	0.952	3.835
32793_at	TRBC1	T cell receptor beta constant 1	0.858	2.641
32806_at	TSPO	translocator protein	1.026	4.462
32833_at	CLK1	CDC like kinase 1	1.031	3.772
32851_at	CELF2	CUGBP, Elav-like family member 2	0.418	2.641
32859_at	STAT1	signal transducer and activator of transcription 1	1.374	5.965
32860_g_at	STAT1	signal transducer and activator of transcription 1	0.997	2.905
32893_s_at	LOC102724197///LOC100132705///GGT2///GGTLC1///GGTLC2///GGT3P///GGT1	inactive gamma-glutamyltranspeptidase 2-like///immunoglobulin superfamily member 3-like///gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 3 pseudogene///gamma-glutamyltransferase 1	-1.3	3.122
33121_g_at	RGS10	regulator of G-protein signaling 10	1.103	5.251
33146_at	MCL1	BCL2 family apoptosis regulator	1.347	4.886
33192_g_at	SLF2	SMC5-SMC6 complex localization factor 2	0.405	2.687
33193_at	WIPI1	WD repeat domain, phosphoinositide interacting 1	-0.476	3.203
33238_at	LCK	LCK proto-oncogene, Src family tyrosine kinase	0.958	5.027
33243_at	TNFAIP8	TNF alpha induced protein 8	1.244	4.594
33253_at	TRIM14	tripartite motif containing 14	0.439	2.969
33267_at	ATP8A1	ATPase phospholipid transporting 8A1	1.069	4.927
33277_at	MTMR2	myotubularin related protein 2	-0.513	3.98
33280_r_at	ACSM3	acyl-CoA synthetase medium-chain family member 3	-0.731	3.545
33304_at	ISG20	interferon stimulated exonuclease gene 20	1.038	5.05
33311_at	LOC102724652///CRYAA	alpha-crystallin A chain///crystallin alpha A	-1.074	5.439
33313_g_at	LOC102724652///CRYAA	alpha-crystallin A chain///crystallin alpha A	-1.33	3.565
33337_at	DEGS1	delta 4-desaturase, sphingolipid 1	0.618	2.647
33338_at	STAT1	signal transducer and activator of transcription 1	1.932	6.742
33339_g_at	STAT1	signal transducer and activator of transcription 1	1.911	4.84
33341_at	GNB1	G protein subunit beta 1	-0.455	2.724
33371_s_at	RAB31	RAB31, member RAS oncogene family	0.861	5.089
33373_at	FUBP1	far upstream element binding protein 1	0.711	2.958
33380_at	PAPD7	poly(A) RNA polymerase D7, non-canonical	0.671	4.004
33381_at	NCOA3	nuclear receptor coactivator 3	0.911	2.968
33390_at	CD68	CD68 molecule	0.731	2.798
33418_at	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1	0.34	3.039
33455_at	ALDOB	aldolase, fructose-bisphosphate B	-1.887	2.918
33456_at	MAPRE1	microtubule associated protein RP/EB family member 1	1.027	3.128
33462_at	P2RY14	purinergic receptor P2Y14	1.418	3.037
33487_at	HPD	4-hydroxyphenylpyruvate dioxygenase	-1.475	3.691
33543_s_at	PNN	pinin, desmosome associated protein	0.851	4.199
33564_at	AFM	afamin	-1.511	4.628
33641_g_at	AIF1	allograft inflammatory factor 1	1.14	5.554
33701_at	LOC101929036///PAH	uncharacterized LOC101929036///phenylalanine hydroxylase	-2.037	4.786
33721_at	ABCC2	ATP binding cassette subfamily C member 2	-1.272	5.882
33731_at	SLC7A7	solute carrier family 7 member 7	-0.713	3.472
33788_at	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	0.692	3.356
33805_at	CEP350	centrosomal protein 350	0.527	2.717
33902_at	GPD1	glycerol-3-phosphate dehydrogenase 1	-0.753	3.914
33905_at	MBD2	methyl-CpG binding domain protein 2	0.713	3.365
33921_at	SLC37A4	solute carrier family 37 member 4	-1.059	3.835
33956_at	LY96	lymphocyte antigen 96	2.028	3.733
33991_g_at	ALB	albumin	-2.422	5.694
33992_at	ALB	albumin	-1.918	3.107
34010_at	ARHGAP22	Rho GTPase activating protein 22	-0.507	3.136
34026_at	LINC00563	long intergenic non-protein coding RNA 563	-0.532	2.645
34036_at	UHRF2	ubiquitin like with PHD and ring finger domains 2	-0.41	2.653
34070_s_at	PDIA2	protein disulfide isomerase family A member 2	-0.437	3.144
34102_at	LCN1	lipocalin 1	-0.598	4.814
34160_at	ACTG1///ACTB	actin gamma 1///actin beta	1.025	2.889
34167_s_at	SLC6A7	solute carrier family 6 member 7	0.344	3.114
34191_at	DCP2	decapping mRNA 2	0.603	3.409
34235_at	ADGRF5	adhesion G protein-coupled receptor F5	-0.894	3.061
34239_at	N4BP2L1	NEDD4 binding protein 2 like 1	0.522	3.357
34325_at	PQBP1	polyglutamine binding protein 1	-0.322	2.69
34329_at	PAK2	p21 (RAC1) activated kinase 2	0.982	3.31
34352_at	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1	-0.793	4.976
34383_at	USP1	ubiquitin specific peptidase 1	0.661	2.892
34397_at	LUC7L3	LUC7 like 3 pre-mRNA splicing factor	0.801	3.749
34433_at	DOK1	docking protein 1	0.405	3.118
34436_at	SLC17A3	solute carrier family 17 member 3	-2.08	3.89
34464_at	DAO	D-amino acid oxidase	-0.605	4.164
34501_at	RUNX2	runt related transcription factor 2	-0.603	2.856
34521_at	MAP3K13	mitogen-activated protein kinase kinase kinase 13	-0.493	3.127
34522_at			-0.32	3.096
34586_s_at	DLX2	distal-less homeobox 2	-0.549	3.234
34647_at	MIR5047///MIR3064///DDX5	microRNA 5047///microRNA 3064///DEAD-box helicase 5	0.866	3.667
34712_at	DNMBP	dynamin binding protein	-0.396	4.253
34760_at	LY75-CD302///CD302///LY75	LY75-CD302 readthrough///CD302 molecule///lymphocyte antigen 75	0.678	3.133
34830_at	VOPP1	vesicular, overexpressed in cancer, prosurvival protein 1	0.836	5.217
34872_at	CHMP7	charged multivesicular body protein 7	-0.503	2.894
34877_at	JAK1	Janus kinase 1	1.004	3.472
34888_at	HEXB	hexosaminidase subunit beta	0.728	3.988
34930_at	GPR65	G protein-coupled receptor 65	1.477	2.908
34965_at	CST7	cystatin F	0.712	3.081
34987_s_at	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	0.89	3.913
35009_at	LRP2	LDL receptor related protein 2	-1.125	3.485
35012_at	MNDA	myeloid cell nuclear differentiation antigen	1.79	2.725
35087_at			-0.361	3.553
35214_at	UGDH	UDP-glucose 6-dehydrogenase	-0.48	3.04
35223_at	HPS5	HPS5, biogenesis of lysosomal organelles complex 2 subunit 2	0.642	4.478
35238_at	TRAF5	TNF receptor associated factor 5	0.722	3.567
35261_at	GMFG	glia maturation factor gamma	1.44	5.677
35268_at	MARCH7	membrane associated ring-CH-type finger 7	0.64	3.2
35271_at	ACTR3	ARP3 actin related protein 3 homolog	0.792	3.319
35275_at	CA12	carbonic anhydrase 12	-1.337	3.069
35285_at	SLC4A4	solute carrier family 4 member 4	-1.294	3.586
35310_at	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	0.769	5.882
35472_at	KCNJ15	potassium voltage-gated channel subfamily J member 15	-1.046	3.103
35492_at	CYP4F12	cytochrome P450 family 4 subfamily F member 12	-0.451	2.878
35497_at	TSPAN2	tetraspanin 2	-0.492	3.186
35518_at	PPP1R3A	protein phosphatase 1 regulatory subunit 3A	-0.817	3.781
35567_at	C20orf194	chromosome 20 open reading frame 194	-0.428	3.173
35590_s_at	GIPR	gastric inhibitory polypeptide receptor	0.687	2.637
35649_at	CDO1	cysteine dioxygenase type 1	0.811	3.449
35672_at	AHCTF1	AT-hook containing transcription factor 1	-0.365	2.888
35718_at	SP110	SP110 nuclear body protein	1.008	3.44
35733_at	ACTR2	ARP2 actin related protein 2 homolog	0.916	2.748
35735_at	GBP1	guanylate binding protein 1	2.371	4.627
35738_at	HMGN4	high mobility group nucleosomal binding domain 4	0.768	3.123
35802_at	FNBP4	formin binding protein 4	0.804	3.679
35834_at	AZGP1	alpha-2-glycoprotein 1, zinc-binding	-1.248	3.842
35840_at	RNF167	ring finger protein 167	-0.339	2.861
35867_at	SLC22A2	solute carrier family 22 member 2	-1.049	4.14
35926_s_at	LYZ	lysozyme	2.363	4.377
35937_at	MICB	MHC class I polypeptide-related sequence B	1.386	3.175
35990_at	ZBTB40	zinc finger and BTB domain containing 40	0.331	2.63
36016_at	APITD1-CORT///APITD1///CORT	APITD1-CORT readthrough///apoptosis-inducing, TAF9-like domain 1///cortistatin	-0.337	2.755
36062_at	LPXN	leupaxin	0.885	4.103
36068_at	CCS	copper chaperone for superoxide dismutase	-0.381	3.454
36109_at	PEPD	peptidase D	-1.375	3.388
36111_s_at	MIR636///SRSF2	microRNA 636///serine and arginine rich splicing factor 2	0.705	3.689
36123_at	TST	thiosulfate sulfurtransferase	-1.11	3.771
36130_f_at	MT1E	metallothionein 1E	-1.46	3.91
36132_at	ALDH7A1	aldehyde dehydrogenase 7 family member A1	-1.051	3.641
36156_at	AQP1	aquaporin 1 (Colton blood group)	-1.202	3.555
36162_at	BSG	basigin (Ok blood group)	-0.553	3.955
36176_at	TBCC	tubulin folding cofactor C	0.583	2.822
36208_at	BRD2	bromodomain containing 2	-0.628	3.996
36226_r_at	SFPQ	splicing factor proline and glutamine rich	-0.777	3.115
36237_at	SLC22A6	solute carrier family 22 member 6	-0.687	3.517
36250_at	ASPHD1	aspartate beta-hydroxylase domain containing 1	-0.666	3.747
36362_at	SLC12A3	solute carrier family 12 member 3	-1.23	3.433
36423_at	NUPR1	nuclear protein 1, transcriptional regulator	-0.73	3.729
36436_at	LECT2	leukocyte cell derived chemotaxin 2	-0.441	3.214
36447_at	FCN1	ficolin 1	0.745	2.668
36454_at	CA12	carbonic anhydrase 12	-1.566	2.775
36472_at	NMI	N-myc and STAT interactor	1.459	3.93
36481_at	ORC4	origin recognition complex subunit 4	-0.501	3.032
36493_at	LSP1	lymphocyte-specific protein 1	1.221	3.408
36495_at	FBP1	fructose-bisphosphatase 1	-1.246	2.925
36528_at	ASL	argininosuccinate lyase	-0.542	2.916
36537_at	ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18	0.714	4.495
36547_r_at	SFI1	SFI1 centrin binding protein	-0.477	2.636
36561_at	PCCB	propionyl-CoA carboxylase beta subunit	-0.563	2.865
36570_at	CALB1	calbindin 1	-1.878	2.818
36571_at	TOP2B	topoisomerase (DNA) II beta	0.677	3.017
36575_at	RGS1	regulator of G-protein signaling 1	1.035	3.164
36576_at	H2AFY	H2A histone family member Y	0.935	7.163
36592_at	PHB	prohibitin	-0.506	3.046
36600_at	PSME1	proteasome activator subunit 1	0.8	3.446
36629_at	TSC22D3	TSC22 domain family member 3	1.36	2.85
36637_at	ANXA11	annexin A11	0.729	2.784
36646_at	PLG	plasminogen	-1.949	3.45
36661_s_at	CD14	CD14 molecule	0.697	3.443
36678_at	TAGLN2	transgelin 2	0.639	3.352
36724_s_at	CCR5	C-C motif chemokine receptor 5 (gene/pseudogene)	0.5	3.153
36779_at	FABP6	fatty acid binding protein 6	-0.369	2.876
36825_at	TRIM22	tripartite motif containing 22	1.001	2.845
36876_at	FAH	fumarylacetoacetate hydrolase	-0.69	3.46
36878_f_at	LOC101060835///HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1	0.917	4.373
36879_at	TYMP	thymidine phosphorylase	1.49	7.162
36880_at	NQO2	NAD(P)H quinone dehydrogenase 2	-0.863	4.013
36881_at	ETFB	electron transfer flavoprotein beta subunit	-0.747	3.519
36889_at	FCER1G	Fc fragment of IgE receptor Ig	1.708	4.329
36896_s_at	ARNTL	aryl hydrocarbon receptor nuclear translocator like	0.728	2.848
36935_at	RASA1	RAS p21 protein activator 1	0.361	2.973
36960_at	PHC2	polyhomeotic homolog 2	0.722	2.68
36978_at	PSME4	proteasome activator subunit 4	0.535	2.808
36991_at	SRSF4	serine and arginine rich splicing factor 4	0.918	4.771
37011_at	AIF1	allograft inflammatory factor 1	1.84	4.786
37012_at	CAPZB	capping actin protein of muscle Z-line beta subunit	0.752	4.296
37016_at	ECHS1	enoyl-CoA hydratase, short chain 1	-0.991	4.144
37023_at	LCP1	lymphocyte cytosolic protein 1	1.882	4.331
37025_at	LITAF	lipopolysaccharide induced TNF factor	1.257	3.221
37039_at	HLA-DRA	major histocompatibility complex, class II, DR alpha	1.453	4.102
37070_at	MPZ	myelin protein zero	-0.426	3.588
37078_at	CD247	CD247 molecule	0.716	2.683
37085_g_at	LYZL6	lysozyme like 6	-0.889	2.782
37091_g_at	ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	-0.738	2.628
37094_at	XRCC3	X-ray repair cross complementing 3	-0.361	3.124
37097_at	SLC17A1	solute carrier family 17 member 1	-0.827	3.252
37121_at	NKG7	natural killer cell granule protein 7	0.501	3.586
37168_at	LAMP3	lysosomal associated membrane protein 3	0.567	2.914
37184_at	STX1A	syntaxin 1A	-0.629	3.161
37188_at	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial	-1.437	4.194
37192_at	DMTN	dematin actin binding protein	-0.312	2.804
37200_at	FCGR3A	Fc fragment of IgG receptor IIIa	2.066	4.148
37206_at	ADH6	alcohol dehydrogenase 6 (class V)	-0.753	2.834
37219_at	CXCL9	C-X-C motif chemokine ligand 9	1.959	2.91
37229_at	ATR	ATR serine/threonine kinase	0.449	2.929
37237_at	AP3M2	adaptor related protein complex 3 mu 2 subunit	0.485	2.846
37239_r_at	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	-0.479	3.155
37307_at	GNAI2	G protein subunit alpha i2	0.93	3.885
37312_at	SERTAD2	SERTA domain containing 2	0.588	3.086
37330_at	ALDH4A1	aldehyde dehydrogenase 4 family member A1	-0.628	3.764
37331_g_at	ALDH4A1	aldehyde dehydrogenase 4 family member A1	-1.238	2.897
37341_at	GLUD1	glutamate dehydrogenase 1	-0.512	2.936
37344_at	HLA-DMA	major histocompatibility complex, class II, DM alpha	1.456	4.693
37352_at	SP100	SP100 nuclear antigen	0.969	4.1
37353_g_at	SP100	SP100 nuclear antigen	0.425	3.47
37398_at	PECAM1	platelet and endothelial cell adhesion molecule 1	1.141	3.47
37399_at	AKR1C3	aldo-keto reductase family 1, member C3	-1.991	4.403
37403_at	ANXA1	annexin A1	1.188	3.703
37404_at	RGS12	regulator of G-protein signaling 12	-0.342	2.917
37405_at	SELENBP1	selenium binding protein 1	-0.849	2.752
37420_i_at	HLA-F	major histocompatibility complex, class I, F	2.343	5.683
37485_at	SLC27A2	solute carrier family 27 member 2	-2.156	4.76
37508_f_at	PRPF40A	pre-mRNA processing factor 40 homolog A	0.822	3.759
37509_at	CRLF3	cytokine receptor like factor 3	1.236	3.574
37523_at	ACADL	acyl-CoA dehydrogenase, long chain	-0.497	3.579
37591_at	UCP2	uncoupling protein 2	0.976	4.27
37598_at	RASSF2	Ras association domain family member 2	1.518	3.761
37606_at	KHK	ketohexokinase	-0.312	2.646
37608_g_at	KHK	ketohexokinase	-0.918	2.843
37645_at	CD69	CD69 molecule	1.404	4.055
37647_at	AOAH	acyloxyacyl hydrolase	0.737	4.541
37650_at	MKRN1	makorin ring finger protein 1	0.62	3.752
37669_s_at	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	-1.153	2.631
37688_f_at	FCGR2A	Fc fragment of IgG receptor IIa	1.982	2.812
37704_at	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	-0.376	2.672
37713_at	ABHD14A-ACY1///ACY1	ABHD14A-ACY1 readthrough///aminoacylase 1	-1.378	3.301
37716_at	CD200	CD200 molecule	0.457	2.952
37731_at	EPS15	epidermal growth factor receptor pathway substrate 15	0.689	2.768
37759_at	LAPTM5	lysosomal protein transmembrane 5	1.902	6.794
37800_r_at	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	-1.4	3.655
37820_at	PRODH2	proline dehydrogenase 2	-1.853	5.124
37842_at	MDFIC	MyoD family inhibitor domain containing	0.823	2.871
37844_at	IL27RA	interleukin 27 receptor subunit alpha	0.794	4.681
37895_at	SLC35A1	solute carrier family 35 member A1	0.491	2.8
37910_at	HCFC1	host cell factor C1	0.613	2.714
