ID	Gene.symbol	Gene.title	log2(fold change)(Stg1-Tumor vs Stg1-Normal)	-log10(Pvalue)(Stg1-Tumor vs Stg1-Normal)
221799_at	CHPF2	chondroitin polymerizing factor 2	1.355	2.163
221810_at	RAB15	RAB15, member RAS oncogene family	-2.243	4.358
221811_at	PGAP3	post-GPI attachment to proteins 3	-0.668	2.689
221816_s_at	PHF11	PHD finger protein 11	0.854	2.3
221826_at	ANGEL2	angel homolog 2	1.016	2.72
221829_s_at	TNPO1	transportin 1	-0.433	2.816
221840_at	PTPRE	protein tyrosine phosphatase, receptor type E	2.488	9.147
221847_at	SMIM10L1	small integral membrane protein 10 like 1	-0.575	2.117
221848_at	ZGPAT	zinc finger CCCH-type and G-patch domain containing	-2.188	4.357
221851_at	DCAF15	DDB1 and CUL4 associated factor 15	1.955	2.204
221856_s_at	FAM63A	family with sequence similarity 63 member A	-0.88	2.912
221858_at	TBC1D12	TBC1 domain family member 12	0.843	3.974
221860_at			-0.756	2.785
221870_at	EHD2	EH domain containing 2	4.434	5.165
221875_x_at	HLA-F	major histocompatibility complex, class I, F	1.441	4.638
221884_at	MECOM	MDS1 and EVI1 complex locus	-1.622	4.161
221891_x_at	SNORD14D///SNORD14C///HSPA8	small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8	-0.615	2.89
221896_s_at	HIGD1A	HIG1 hypoxia inducible domain family member 1A	-1.412	3.227
221903_s_at	CYLD	CYLD lysine 63 deubiquitinase	1.309	2.577
221918_at	CDK17	cyclin dependent kinase 17	1.74	5.267
221922_at	GPSM2	G-protein signaling modulator 2	1.387	2.111
221928_at	ACACB	acetyl-CoA carboxylase beta	-1.677	3.88
221932_s_at	GLRX5	glutaredoxin 5	-1.666	4.299
221934_s_at	DALRD3	DALR anticodon binding domain containing 3	-0.649	2.621
221948_s_at	KLHL22	kelch like family member 22	-1.699	2.01
221951_at	TMEM80	transmembrane protein 80	-0.936	3.005
221953_s_at	MMP24-AS1	MMP24 antisense RNA 1	-1.486	6.055
221954_at	OSER1	oxidative stress responsive serine rich 1	0.554	2.231
221963_x_at	ZNF587B	zinc finger protein 587B	-0.902	3.018
221968_s_at	ZNF771	zinc finger protein 771	-1.249	2.373
221975_s_at	C21orf2	chromosome 21 open reading frame 2	1.753	2.886
221978_at	HLA-F	major histocompatibility complex, class I, F	1.05	3.674
221982_x_at	LAGE3	L antigen family member 3	-1.004	2.129
221990_at	PAX8	paired box 8	-0.681	2.656
221995_s_at	MRPL57	mitochondrial ribosomal protein L57	-0.935	3.051
222003_s_at	DOCK6	dedicator of cytokinesis 6	1.404	2.206
222006_at	LETM1	leucine zipper and EF-hand containing transmembrane protein 1	-1.129	3.034
222012_at	DCAF15	DDB1 and CUL4 associated factor 15	-1.221	2.415
222025_s_at	OPLAH	5-oxoprolinase (ATP-hydrolysing)	-1.643	6.155
222033_s_at	FLT1	fms related tyrosine kinase 1	2.56	4.844
222039_at	KIF18B	kinesin family member 18B	2.413	3
222051_s_at	E2F5	E2F transcription factor 5	-1.705	3.63
222056_s_at	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	-0.909	2.77
222062_at	IL27RA	interleukin 27 receptor subunit alpha	2.291	2.914
222073_at	COL4A3	collagen type IV alpha 3 chain	-1.46	4.225
222078_at	PKLR	pyruvate kinase, liver and RBC	-2.673	3.988
222081_at	SIRT5	sirtuin 5	-1.452	2.03
222083_at	GLYAT	glycine-N-acyltransferase	-3.852	8.087
222087_at	MIR1204///PVT1	microRNA 1204///Pvt1 oncogene (non-protein coding)	2.45	2.939
222088_s_at	SLC2A14///SLC2A3	solute carrier family 2 member 14///solute carrier family 2 member 3	1.987	4.623
222099_s_at	LSM14A	LSM14A, mRNA processing body assembly factor	-0.416	2.073
222102_at	GSTA3	glutathione S-transferase alpha 3	-3.581	3.176
222103_at	ATF1	activating transcription factor 1	0.993	2.912
222108_at	AMIGO2	adhesion molecule with Ig like domain 2	-0.809	2.272
222125_s_at	P4HTM	prolyl 4-hydroxylase, transmembrane	-0.571	2.239
222127_s_at	EXOC1	exocyst complex component 1	0.526	2.561
222128_at	NSUN6	NOP2/Sun RNA methyltransferase family member 6	0.881	2.109
