ID	Gene.symbol	Gene.title	log2(fold change)(Stg1-Tumor vs Stg1-Normal)	-log10(Pvalue)(Stg1-Tumor vs Stg1-Normal)
121_at	PAX8	paired box 8	-0.892	3.915
1405_i_at	CCL5	C-C motif chemokine ligand 5	3.109	2.578
1487_at	ESRRA	estrogen related receptor alpha	-1.033	6.675
1729_at	TRADD	TNFRSF1A associated via death domain	0.885	2.778
200002_at	RPL35	ribosomal protein L35	0.539	2.126
200003_s_at	MIR6805///RPL28	microRNA 6805///ribosomal protein L28	0.705	4.256
200008_s_at	GDI2	GDP dissociation inhibitor 2	0.907	2.376
200010_at	RPL11	ribosomal protein L11	0.714	4.293
200021_at	CFL1	cofilin 1	-0.371	2.086
200022_at	RPL18	ribosomal protein L18	0.581	2.29
200024_at	RPS5	ribosomal protein S5	0.697	3.047
200027_at	NARS	asparaginyl-tRNA synthetase	-0.56	3.778
200028_s_at	STARD7	StAR related lipid transfer domain containing 7	-0.574	3.097
200030_s_at	SLC25A3	solute carrier family 25 member 3	-0.463	3.057
200031_s_at	SNORD35B///RPS11	small nucleolar RNA, C/D box 35B///ribosomal protein S11	0.536	3.601
200037_s_at	CBX3	chromobox 3	0.775	3.68
200038_s_at	RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17	RPL17-C18orf32 readthrough///small nucleolar RNA, C/D box 58C///chromosome 18 open reading frame 32///small nucleolar RNA, C/D box 58A///small nucleolar RNA, C/D box 58B///ribosomal protein L17	0.489	2.593
200040_at	KHDRBS1	KH RNA binding domain containing, signal transduction associated 1	0.609	2.44
200045_at	ABCF1	ATP binding cassette subfamily F member 1	-0.484	2.756
200055_at	TAF10	TATA-box binding protein associated factor 10	-0.614	2.534
200059_s_at	RHOA	ras homolog family member A	0.81	4.938
200069_at	SART3	squamous cell carcinoma antigen recognized by T-cells 3	0.992	2.948
200073_s_at	HNRNPD	heterogeneous nuclear ribonucleoprotein D	0.653	2.071
200075_s_at	GUK1	guanylate kinase 1	0.801	4.805
200076_s_at	KXD1	KxDL motif containing 1	0.521	3.091
200078_s_at	ATP6V0B	ATPase H+ transporting V0 subunit b	-0.577	2.349
200079_s_at	KARS	lysyl-tRNA synthetase	0.669	2.822
200082_s_at	RPS7	ribosomal protein S7	0.475	3.403
200084_at	C11orf58	chromosome 11 open reading frame 58	0.398	2.158
200087_s_at	TMED2	transmembrane p24 trafficking protein 2	0.635	2.712
200593_s_at	HNRNPU	heterogeneous nuclear ribonucleoprotein U	0.745	3.695
200599_s_at	MIR3652///HSP90B1	microRNA 3652///heat shock protein 90 beta family member 1	0.758	2.853
200600_at	MSN	moesin	0.955	4.483
200606_at	DSP	desmoplakin	-1.289	2.718
200610_s_at	NCL	nucleolin	0.648	2.13
200618_at	LASP1	LIM and SH3 protein 1	0.648	3.209
200624_s_at	SNHG4///MATR3	small nucleolar RNA host gene 4///matrin 3	1.051	4.152
200625_s_at	CAP1	adenylate cyclase associated protein 1	0.421	2.682
200626_s_at	SNHG4///MATR3	small nucleolar RNA host gene 4///matrin 3	0.482	2.688
200627_at	PTGES3	prostaglandin E synthase 3	0.464	2.581
200628_s_at	WARS	tryptophanyl-tRNA synthetase	0.905	2.021
200629_at	WARS	tryptophanyl-tRNA synthetase	0.767	2.985
200630_x_at	SETSIP///SET	SET-like protein///SET nuclear proto-oncogene	-0.481	2.507
200632_s_at	NDRG1	N-myc downstream regulated 1	0.619	3.535
200633_at	UBB	ubiquitin B	-0.773	5.564
200634_at	PFN1	profilin 1	0.85	3
200638_s_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	1.201	2.6
200640_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	0.757	2.541
200642_at	SOD1	superoxide dismutase 1, soluble	-0.859	6.229
200644_at	MARCKSL1	MARCKS like 1	1.479	4.013
200648_s_at	GLUL	glutamate-ammonia ligase	1.089	2.032
200650_s_at	LDHA	lactate dehydrogenase A	1.488	8.912
200651_at	SNORD96A///SNORD95///RACK1	small nucleolar RNA, C/D box 96A///small nucleolar RNA, C/D box 95///receptor for activated C kinase 1	0.521	3.778
200652_at	SSR2	signal sequence receptor subunit 2	0.744	3.727
200654_at	P4HB	prolyl 4-hydroxylase subunit beta	0.724	2.391
200657_at	SLC25A5	solute carrier family 25 member 5	-1.172	7.387
200658_s_at	PHB	prohibitin	-0.506	2.065
200659_s_at	PHB	prohibitin	-1.276	6.701
200660_at	S100A11	S100 calcium binding protein A11	1.164	2.578
200661_at	CTSA	cathepsin A	-1.05	2.968
200662_s_at	TOMM20	translocase of outer mitochondrial membrane 20	0.579	2.022
200663_at	CD63	CD63 molecule	0.384	3.039
200665_s_at	SPARC	secreted protein acidic and cysteine rich	2.314	7.45
200668_s_at	UBE2D3	ubiquitin conjugating enzyme E2 D3	0.532	2.973
200669_s_at	UBE2D3	ubiquitin conjugating enzyme E2 D3	0.789	2.83
200670_at	XBP1	X-box binding protein 1	0.607	1.992
200675_at	CD81	CD81 molecule	0.805	4.172
200679_x_at	HMGB1	high mobility group box 1	0.432	2.192
200683_s_at	UBE2L3	ubiquitin conjugating enzyme E2 L3	0.667	2.382
200687_s_at	SF3B3	splicing factor 3b subunit 3	0.671	2.815
200693_at	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	0.622	3.665
200696_s_at	GSN	gelsolin	1.021	2.547
200697_at	HK1	hexokinase 1	1.006	3.194
200700_s_at	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2	0.827	2.285
200702_s_at	DDX24	DEAD-box helicase 24	-0.724	2.69
200708_at	GOT2	glutamic-oxaloacetic transaminase 2	-0.786	2.8
200709_at	LOC101929368///FKBP1A	uncharacterized LOC101929368///FK506 binding protein 1A	0.769	3.566
200711_s_at	SKP1	S-phase kinase-associated protein 1	-0.478	2.76
200718_s_at	SKP1	S-phase kinase-associated protein 1	-0.389	2.842
200721_s_at	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha	-0.542	2.363
200722_s_at	CAPRIN1	cell cycle associated protein 1	1.368	2.39
200723_s_at	CAPRIN1	cell cycle associated protein 1	1.106	4.629
200724_at	SNORA70///RPL10	small nucleolar RNA, H/ACA box 70///ribosomal protein L10	-0.818	2.009
200725_x_at	SNORA70///RPL10	small nucleolar RNA, H/ACA box 70///ribosomal protein L10	0.536	3.277
200726_at	PPP1CC	protein phosphatase 1 catalytic subunit gamma	0.794	3.552
200729_s_at	ACTR2	ARP2 actin related protein 2 homolog	1.034	2.186
200737_at	PGK1	phosphoglycerate kinase 1	1.597	8.49
200738_s_at	PGK1	phosphoglycerate kinase 1	0.666	5.263
200739_s_at	SUMO3	small ubiquitin-like modifier 3	0.843	3.317
200740_s_at	SUMO3	small ubiquitin-like modifier 3	0.719	3.318
200742_s_at	TPP1	tripeptidyl peptidase 1	0.764	3.602
200744_s_at	GNB1	G protein subunit beta 1	1.226	3.763
200746_s_at	GNB1	G protein subunit beta 1	0.498	2.411
200751_s_at	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	0.863	2.502
200755_s_at	CALU	calumenin	1.24	3.48
200756_x_at	CALU	calumenin	1.973	2.493
200757_s_at	CALU	calumenin	0.966	5.031
200758_s_at	NFE2L1	nuclear factor, erythroid 2 like 1	-0.524	2.32
200759_x_at	NFE2L1	nuclear factor, erythroid 2 like 1	-0.52	2.938
200760_s_at	ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5	0.845	2.011
200771_at	LAMC1	laminin subunit gamma 1	1.33	5.489
200776_s_at	BZW1	basic leucine zipper and W2 domains 1	0.967	2.888
200780_x_at	GNAS	GNAS complex locus	-0.47	2.145
200782_at	ANXA5	annexin A5	0.815	3.918
200785_s_at	LRP1	LDL receptor related protein 1	0.778	2.338
200787_s_at	PEA15	phosphoprotein enriched in astrocytes 15	1.22	5.215
200788_s_at	PEA15	phosphoprotein enriched in astrocytes 15	0.868	4.891
200789_at	ECH1	enoyl-CoA hydratase 1	-0.732	3.912
200791_s_at	IQGAP1	IQ motif containing GTPase activating protein 1	0.917	5.406
200795_at	SPARCL1	SPARC like 1	1.445	2.037
200798_x_at	MCL1	BCL2 family apoptosis regulator	1.457	3.279
200804_at	TMBIM6	transmembrane BAX inhibitor motif containing 6	-0.955	4.747
200807_s_at	HSPD1	heat shock protein family D (Hsp60) member 1	-0.955	5.43
200808_s_at	ZYX	zyxin	0.98	2.814
200820_at	PSMD8	proteasome 26S subunit, non-ATPase 8	0.701	2.404
200821_at	LAMP2	lysosomal associated membrane protein 2	1.228	3.083
200822_x_at	TPI1	triosephosphate isomerase 1	0.651	3.569
200823_x_at	RPL29	ribosomal protein L29	0.557	2.197
200828_s_at	ZNF207	zinc finger protein 207	0.622	2.145
200830_at	PSMD2	proteasome 26S subunit, non-ATPase 2	-0.613	3.192
200831_s_at	SCD	stearoyl-CoA desaturase	2.458	2.799
200832_s_at	SCD	stearoyl-CoA desaturase	2.599	4.752
200833_s_at	RAP1B	RAP1B, member of RAS oncogene family	0.634	2.778
200834_s_at	RPS21	ribosomal protein S21	0.508	2.331
200839_s_at	CTSB	cathepsin B	-0.907	2.353
200849_s_at	AHCYL1	adenosylhomocysteinase like 1	-0.639	2.699
200852_x_at	GNB2	G protein subunit beta 2	0.861	2.8
200853_at	H2AFZ	H2A histone family member Z	0.928	3.829
200858_s_at	SNORD38B///SNORD55///RPS8	small nucleolar RNA, C/D box 38B///small nucleolar RNA, C/D box 55///ribosomal protein S8	0.652	2.584
200859_x_at	FLNA	filamin A	1.121	3.558
200869_at	SNORA68///RPL18A	small nucleolar RNA, H/ACA box 68///ribosomal protein L18a	1.036	3.791
200872_at	S100A10	S100 calcium binding protein A10	1.262	5.018
200874_s_at	MIR1292///SNORD110///SNORD86///SNORD57///NOP56	microRNA 1292///small nucleolar RNA, C/D box 110///small nucleolar RNA, C/D box 86///small nucleolar RNA, C/D box 57///NOP56 ribonucleoprotein	-0.668	3.37
200886_s_at	PGAM1	phosphoglycerate mutase 1	1.066	6.052
200887_s_at	STAT1	signal transducer and activator of transcription 1	0.892	2.265
200889_s_at	SSR1	signal sequence receptor subunit 1	1.006	2.279
200892_s_at	TRA2B	transformer 2 beta homolog (Drosophila)	0.464	2.074
200895_s_at	FKBP4	FK506 binding protein 4	-0.762	2.289
200898_s_at	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	1.826	5.252
200902_at	SEP15	15 kDa selenoprotein	0.677	3.217
200903_s_at	AHCY	adenosylhomocysteinase	-1.575	7.391
200904_at	HLA-E	major histocompatibility complex, class I, E	1.567	3.949
200906_s_at	PALLD	palladin, cytoskeletal associated protein	-1.243	3.504
200914_x_at	KTN1	kinectin 1	-0.734	2.865
200915_x_at	KTN1	kinectin 1	-0.604	2.709
200916_at	TAGLN2	transgelin 2	1.485	4.387
200920_s_at	BTG1	BTG anti-proliferation factor 1	1.092	5.803
200921_s_at	BTG1	BTG anti-proliferation factor 1	1.114	4.994
200924_s_at	SLC3A2	solute carrier family 3 member 2	-0.908	4.022
200925_at	COX6A1	cytochrome c oxidase subunit 6A1	-0.595	2.229
200927_s_at	RAB14	RAB14, member RAS oncogene family	0.79	3.994
200934_at	DEK	DEK proto-oncogene	0.936	4.072
200943_at	HMGN1	high mobility group nucleosome binding domain 1	0.623	2.044
200950_at	ARPC1A	actin related protein 2/3 complex subunit 1A	0.712	2.62
200953_s_at	CCND2	cyclin D2	0.98	2.33
200955_at	IMMT	inner membrane mitochondrial protein	-0.57	3.046
200956_s_at	SSRP1	structure specific recognition protein 1	0.808	3.337
200961_at	SEPHS2	selenophosphate synthetase 2	-1.073	4.078
200964_at	UBA1	ubiquitin like modifier activating enzyme 1	-0.591	2.484
200966_x_at	ALDOA	aldolase, fructose-bisphosphate A	0.993	4.826
200972_at	TSPAN3	tetraspanin 3	-0.391	2.009
200974_at	ACTA2	actin, alpha 2, smooth muscle, aorta	1.396	3.277
200975_at	PPT1	palmitoyl-protein thioesterase 1	0.927	6.196
200978_at	MDH1	malate dehydrogenase 1	-0.913	4.588
200979_at	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1	-1.296	5.199
200980_s_at	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1	-1.168	7.439
200986_at	SERPING1	serpin family G member 1	1.271	2.496
200991_s_at	SNX17	sorting nexin 17	0.942	2.101
200992_at	IPO7	importin 7	0.407	1.988
200996_at	ACTR3	ARP3 actin related protein 3 homolog	1.174	6.148
200997_at	RBM14-RBM4///RBM4	RBM14-RBM4 readthrough///RNA binding motif protein 4	-0.488	2.278
200999_s_at	CKAP4	cytoskeleton associated protein 4	-0.648	2.173
201000_at	AARS	alanyl-tRNA synthetase	-0.356	2.219
201004_at	SSR4	signal sequence receptor subunit 4	0.552	2.027
201007_at	HADHB	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit	-0.741	2.535
201012_at	ANXA1	annexin A1	2.554	7.644
201020_at	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	1.876	7.144
201028_s_at	CD99	CD99 molecule	1.057	5.363
201029_s_at	CD99	CD99 molecule	0.742	3.301
201030_x_at	LDHB	lactate dehydrogenase B	-1.04	6.245
201032_at	BLCAP	bladder cancer associated protein	-0.907	5.044
201035_s_at	HADH	hydroxyacyl-CoA dehydrogenase	-1.461	7.564
201036_s_at	HADH	hydroxyacyl-CoA dehydrogenase	-2.403	8.271
201037_at	PFKP	phosphofructokinase, platelet	2.876	12.431
201040_at	GNAI2	G protein subunit alpha i2	0.709	2.112
201042_at	TGM2	transglutaminase 2	0.745	2.072
201044_x_at	DUSP1	dual specificity phosphatase 1	3.158	2.364
201047_x_at	WTH3DI///RAB6A	RAB6C-like///RAB6A, member RAS oncogene family	0.563	2.869
201059_at	CTTN	cortactin	-0.627	3.017
201060_x_at	STOM	stomatin	0.941	2.807
201064_s_at	LOC100996696///PABPC4	polyadenylate-binding protein 4 pseudogene///poly(A) binding protein cytoplasmic 4	0.552	1.98
201066_at	CYC1	cytochrome c1	-0.834	2.111
201068_s_at	PSMC2	proteasome 26S subunit, ATPase 2	0.501	2.699
201071_x_at	SF3B1	splicing factor 3b subunit 1	0.467	2.824
201072_s_at	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	-1.356	5.926
201074_at	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	-0.755	3.422
201075_s_at	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	-0.67	2.359
201079_at	SYNGR2	synaptogyrin 2	1.007	3.693
201082_s_at	SLC4A5///DCTN1	solute carrier family 4 member 5///dynactin subunit 1	0.748	2.94
201086_x_at	SON	SON DNA binding protein	0.67	2.706
201089_at	ATP6V1B2	ATPase H+ transporting V1 subunit B2	-0.636	2.26
201090_x_at	TUBA1B	tubulin alpha 1b	0.806	3.284
201091_s_at	CBX3	chromobox 3	0.9	2.69
201100_s_at	USP9X	ubiquitin specific peptidase 9, X-linked	-0.752	3.436
201103_x_at	NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF14	neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 14	0.478	2.672
201105_at	LGALS1	galectin 1	2.685	5.514
201109_s_at	THBS1	thrombospondin 1	0.826	3.201
201113_at	TUFM	Tu translation elongation factor, mitochondrial	-0.895	4.882
201114_x_at	PSMA7	proteasome subunit alpha 7	-0.513	2.128
201119_s_at	COX8A	cytochrome c oxidase subunit 8A	-0.512	3.212
201127_s_at	ACLY	ATP citrate lyase	1.11	2.261
201128_s_at	ACLY	ATP citrate lyase	1.301	5.848
201133_s_at	PJA2	praja ring finger ubiquitin ligase 2	1.172	3.962
201134_x_at	COX7C	cytochrome c oxidase subunit 7C	-0.665	2.693
201135_at	ECHS1	enoyl-CoA hydratase, short chain 1	-2.091	9.839
201136_at	PLP2	proteolipid protein 2	1.9	5.005
201137_s_at	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	2.095	6.423
201138_s_at	SSB	Sjogren syndrome antigen B	-1.01	2.612
201151_s_at	MBNL1	muscleblind like splicing regulator 1	1.833	4.27
201152_s_at	MBNL1	muscleblind like splicing regulator 1	0.876	3.793
201153_s_at	MBNL1	muscleblind like splicing regulator 1	0.989	5.083
201155_s_at	MFN2	mitofusin 2	-0.722	3.827
201160_s_at	YBX3	Y-box binding protein 3	0.793	2.619
201161_s_at	YBX3	Y-box binding protein 3	1.555	4.481
201172_x_at	ATP6V0E1	ATPase H+ transporting V0 subunit e1	-0.61	2.126
201177_s_at	UBA2	ubiquitin like modifier activating enzyme 2	0.705	2.064
201178_at	FBXO7	F-box protein 7	-0.471	3.001
201179_s_at	GNAI3	G protein subunit alpha i3	0.723	3.173
201182_s_at	CHD4	chromodomain helicase DNA binding protein 4	-0.688	2.302
201183_s_at	CHD4	chromodomain helicase DNA binding protein 4	-0.839	4.496
201186_at	LRPAP1	LDL receptor related protein associated protein 1	-1.114	3.747
201193_at	IDH1	isocitrate dehydrogenase (NADP(+)) 1, cytosolic	-1.475	5.343
201196_s_at	AMD1	adenosylmethionine decarboxylase 1	0.914	2.072
201207_at	TNFAIP1	TNF alpha induced protein 1	0.511	1.979
201211_s_at	DDX3X	DEAD-box helicase 3, X-linked	1.485	2.058
201212_at	LGMN	legumain	-1.376	2.435
201218_at	CTBP2	C-terminal binding protein 2	1.019	3.616
201221_s_at	SNRNP70	small nuclear ribonucleoprotein U1 subunit 70	-0.626	2.873
201227_s_at	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8	-0.692	2.83
201230_s_at	ARIH2	ariadne RBR E3 ubiquitin protein ligase 2	-0.585	2.794
201235_s_at	BTG2	BTG anti-proliferation factor 2	-1.365	2.718
201236_s_at	BTG2	BTG anti-proliferation factor 2	-1.661	4.11
201237_at	CAPZA2	capping actin protein of muscle Z-line alpha subunit 2	1.265	4.919
201238_s_at	CAPZA2	capping actin protein of muscle Z-line alpha subunit 2	0.797	5.285
201242_s_at	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	-0.93	4.947
201243_s_at	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	-0.782	4.581
201244_s_at	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	-0.502	2.831
201247_at	SREBF2	sterol regulatory element binding transcription factor 2	-0.89	2.786
201250_s_at	SLC2A1	solute carrier family 2 member 1	0.691	2.023
201251_at	PKM	pyruvate kinase, muscle	1.452	4.445
201259_s_at	SYPL1	synaptophysin like 1	0.683	2.174
201282_at	OGDH	oxoglutarate dehydrogenase	-0.955	2.117
201284_s_at	APEH	acylaminoacyl-peptide hydrolase	-1.316	4.048
201288_at	ARHGDIB	Rho GDP dissociation inhibitor beta	2.363	8.79
201291_s_at	TOP2A	topoisomerase (DNA) II alpha	3.225	3.22
201292_at	TOP2A	topoisomerase (DNA) II alpha	2.209	3.103
201295_s_at	WSB1	WD repeat and SOCS box containing 1	1.501	2.435
201301_s_at	ANXA4	annexin A4	2.086	8.04
201302_at	ANXA4	annexin A4	1.796	9.948
201308_s_at	SEPT11	septin 11	1.548	2.37
201309_x_at	NREP	neuronal regeneration related protein	0.861	2.155
201312_s_at	SH3BGRL	SH3 domain binding glutamate rich protein like	0.656	3.78
201313_at	ENO2	enolase 2	4.598	6.57
201315_x_at	IFITM2	interferon induced transmembrane protein 2	1.376	4.698
201318_s_at	MYL12B///MYL12A	myosin light chain 12B///myosin light chain 12A	0.563	3.294
201322_at	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	-0.699	3.928
201323_at	MIR6733///EBNA1BP2	microRNA 6733///EBNA1 binding protein 2	-0.552	1.993
201324_at	EMP1	epithelial membrane protein 1	1.136	2.204
201328_at	ETS2	ETS proto-oncogene 2, transcription factor	1.377	3.167
201329_s_at	ETS2	ETS proto-oncogene 2, transcription factor	1.322	2.979
201330_at	RARS	arginyl-tRNA synthetase	0.584	2.055
201331_s_at	STAT6	signal transducer and activator of transcription 6	0.725	2.928
201332_s_at	STAT6	signal transducer and activator of transcription 6	1.837	2.331
201333_s_at	ARHGEF12	Rho guanine nucleotide exchange factor 12	-0.986	3.865
201335_s_at	ARHGEF12	Rho guanine nucleotide exchange factor 12	1.267	2.818
201337_s_at	VAMP3	vesicle associated membrane protein 3	2.448	2.393
201339_s_at	SCP2	sterol carrier protein 2	-0.393	2.053
201340_s_at	ENC1	ectodermal-neural cortex 1	1.348	3.716
201341_at	ENC1	ectodermal-neural cortex 1	0.96	2.575
201342_at	SNRPC	small nuclear ribonucleoprotein polypeptide C	0.855	2.382
201343_at	UBE2D2	ubiquitin conjugating enzyme E2 D2	0.782	3.647
201345_s_at	UBE2D2	ubiquitin conjugating enzyme E2 D2	0.889	3.634
201346_at	ADIPOR2	adiponectin receptor 2	-0.483	2.17
201347_x_at	GRHPR	glyoxylate and hydroxypyruvate reductase	-1.215	4.719
201348_at	GPX3	glutathione peroxidase 3	-1.069	3
201351_s_at	YME1L1	YME1 like 1 ATPase	0.537	3.163
201359_at	COPB1	coatomer protein complex subunit beta 1	0.574	3.011
201362_at	IVNS1ABP	influenza virus NS1A binding protein	0.578	2.023
201363_s_at	IVNS1ABP	influenza virus NS1A binding protein	1.249	5.324
201365_at	OAZ2	ornithine decarboxylase antizyme 2	0.602	2.235
201366_at	ANXA7	annexin A7	-0.529	2.181
201371_s_at	CUL3	cullin 3	-0.548	2.039
201376_s_at	HNRNPF	heterogeneous nuclear ribonucleoprotein F	1.183	4.539
201383_s_at	NBR1	NBR1, autophagy cargo receptor	0.92	2.349
201386_s_at	DHX15	DEAH-box helicase 15	0.631	2.675
201387_s_at	UCHL1	ubiquitin C-terminal hydrolase L1	-2.872	4.64
201389_at	ITGA5	integrin subunit alpha 5	1.492	2.419
201397_at	PHGDH	phosphoglycerate dehydrogenase	-1.598	3.317
201399_s_at	TRAM1	translocation associated membrane protein 1	1.535	2.031
201406_at	RPL36A-HNRNPH2///RPL36A	RPL36A-HNRNPH2 readthrough///ribosomal protein L36a	0.845	3.545
201410_at	PLEKHB2	pleckstrin homology domain containing B2	-1.116	6.628
201411_s_at	PLEKHB2	pleckstrin homology domain containing B2	-0.972	2.189
201412_at	LRP10	LDL receptor related protein 10	-0.429	1.981
201413_at	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4	-0.653	3.008
201415_at	GSS	glutathione synthetase	-0.806	2.224
201423_s_at	CUL4A	cullin 4A	0.562	2.005
201425_at	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	-1.276	5.533
201426_s_at	VIM	vimentin	1.707	8.752
201432_at	CAT	catalase	-1.556	7.609
201441_at	COX6B1	cytochrome c oxidase subunit 6B1	-0.658	3.448
201445_at	CNN3	calponin 3	0.655	2.122
201448_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	0.808	2.656
201449_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	0.487	2.322
201450_s_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	0.641	2.161
201457_x_at	BUB3	BUB3, mitotic checkpoint protein	0.546	3.199
201458_s_at	BUB3	BUB3, mitotic checkpoint protein	0.597	2.303
201463_s_at	TALDO1	transaldolase 1	-0.558	3.2
201469_s_at	SHC1	SHC adaptor protein 1	2.1	2.714
201474_s_at	ITGA3	integrin subunit alpha 3	0.999	2.353
201475_x_at	MIR6758///MARS	microRNA 6758///methionyl-tRNA synthetase	-0.506	2.174
201483_s_at	SUPT4H1	SPT4 homolog, DSIF elongation factor subunit	0.5	2.062
201489_at	PPIF	peptidylprolyl isomerase F	-1.721	3.498
201493_s_at	PUM2	pumilio RNA binding family member 2	0.484	2.664
201506_at	TGFBI	transforming growth factor beta induced	3.471	5.024
201509_at	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta	-0.904	3.187
201512_s_at	TOMM70	translocase of outer mitochondrial membrane 70	0.617	2.179
201522_x_at	SNURF///SNRPN	SNRPN upstream reading frame///small nuclear ribonucleoprotein polypeptide N	-0.918	4.955
201525_at	APOD	apolipoprotein D	-2.238	5.056
201528_at	RPA1	replication protein A1	0.702	3.496
201529_s_at	RPA1	replication protein A1	1.206	5.165
201536_at	DUSP3	dual specificity phosphatase 3	-0.931	4.108
201540_at	FHL1	four and a half LIM domains 1	1.796	4.824
201547_at	KDM5B	lysine demethylase 5B	1.789	2.51
201553_s_at	LAMP1	lysosomal associated membrane protein 1	-1.158	6.323
201560_at	CLIC4	chloride intracellular channel 4	0.707	2.368
201562_s_at	SORD	sorbitol dehydrogenase	-2.17	7.89
201563_at	SORD	sorbitol dehydrogenase	-2.797	9.792
201564_s_at	FSCN1	fascin actin-bundling protein 1	1.725	2.132
201567_s_at	GOLGA4	golgin A4	-0.64	2.585
201568_at	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII	-0.945	3.116
201569_s_at	SAMM50	SAMM50 sorting and assembly machinery component	-0.695	2.298
201570_at	SAMM50	SAMM50 sorting and assembly machinery component	-0.65	3.491
201590_x_at	ANXA2	annexin A2	0.848	3.02
201596_x_at	KRT18	keratin 18	1.071	2.162
201597_at	COX7A2	cytochrome c oxidase subunit 7A2	-0.751	3.414
201599_at	OAT	ornithine aminotransferase	-1.528	4.237
201601_x_at	IFITM2///IFITM1	interferon induced transmembrane protein 2///interferon induced transmembrane protein 1	1.508	3.792
201603_at	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	1.047	2.849
201604_s_at	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	1.125	4.422
201608_s_at	PWP1	PWP1 homolog, endonuclein	0.558	3.205
201611_s_at	ICMT	isoprenylcysteine carboxyl methyltransferase	-0.961	3.574
201612_at	ALDH9A1	aldehyde dehydrogenase 9 family member A1	-1.285	6.288
201616_s_at	CALD1	caldesmon 1	1.046	3.137
201617_x_at	CALD1	caldesmon 1	1.481	3.138
201618_x_at	GPAA1	glycosylphosphatidylinositol anchor attachment 1	-0.973	2.097
201623_s_at	DARS	aspartyl-tRNA synthetase	1.022	4.015
201624_at	DARS	aspartyl-tRNA synthetase	1.606	6.334
201628_s_at	RRAGA	Ras related GTP binding A	0.708	2.051
201629_s_at	ACP1	acid phosphatase 1, soluble	1.945	2.916
201636_at	FXR1	FMR1 autosomal homolog 1	0.572	2.196
201640_x_at	CLPTM1	CLPTM1, transmembrane protein	-1.046	5.582
201641_at	BST2	bone marrow stromal cell antigen 2	1.412	3.039
201642_at	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	1.432	6.187
201643_x_at	KDM3B	lysine demethylase 3B	0.499	2.62
201648_at	JAK1	Janus kinase 1	0.864	5.942
201649_at	UBE2L6	ubiquitin conjugating enzyme E2 L6	0.994	3.329
201655_s_at	HSPG2	heparan sulfate proteoglycan 2	2.51	3.612
201657_at	ARL1	ADP ribosylation factor like GTPase 1	0.816	2.085
201660_at	ACSL3	acyl-CoA synthetase long-chain family member 3	-0.941	3.629
201661_s_at	ACSL3	acyl-CoA synthetase long-chain family member 3	-1.173	4.776
201663_s_at	SMC4	structural maintenance of chromosomes 4	2.133	5.183
201664_at	SMC4	structural maintenance of chromosomes 4	1.378	7.07
201666_at	TIMP1	TIMP metallopeptidase inhibitor 1	1.975	4.176
201667_at	GJA1	gap junction protein alpha 1	2.701	4.609
201668_x_at	MARCKS	myristoylated alanine rich protein kinase C substrate	1.935	4.665
