ID	Gene.symbol	Gene.title	log2(fold change)(TX vs NR)	-log10(Pvalue)(TX vs NR)
1155_at	MYCLP1	MYCL pseudogene 1	-0.779	3.993
1158_s_at	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1	-0.267	2.459
1167_s_at	MMP15	matrix metallopeptidase 15	-0.562	2.207
1169_at	PCDHGB7	protocadherin gamma subfamily B, 7	-0.518	1.835
116_at	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha	-0.506	3.812
1177_at			-0.364	2.568
117_at	HSPA6	heat shock protein family A (Hsp70) member 6	-0.653	3.13
1182_at	PLCL1	phospholipase C like 1	0.494	1.672
1183_at	CCL17	C-C motif chemokine ligand 17	-0.538	3.325
1185_at	IL3RA	interleukin 3 receptor subunit alpha	-0.737	7.056
1186_at	GDF10	growth differentiation factor 10	-0.808	4.079
1189_at	CDK8	cyclin dependent kinase 8	-0.509	2.571
118_at	ITPKA	inositol-trisphosphate 3-kinase A	-0.471	1.723
1190_at	PTPRO	protein tyrosine phosphatase, receptor type O	0.343	1.778
1191_s_at	PSMD11	proteasome 26S subunit, non-ATPase 11	1.202	6.999
1192_at	PSMD12	proteasome 26S subunit, non-ATPase 12	0.984	4.621
1193_at	UBE3A	ubiquitin protein ligase E3A	-0.579	1.711
1194_g_at	UBE3A	ubiquitin protein ligase E3A	-0.687	6.804
1196_at	RCC1	regulator of chromosome condensation 1	-0.731	7.919
1200_at	GLI2	GLI family zinc finger 2	-0.685	6.134
1201_at	RAB33A	RAB33A, member RAS oncogene family	-0.471	3.08
1203_at	INHBA	inhibin beta A subunit	-0.577	3.833
1204_at	DGKG	diacylglycerol kinase gamma	-0.419	2.264
1205_at			-0.429	2.472
1207_at	CDK6	cyclin dependent kinase 6	-0.419	4.036
1208_at	PTK6	protein tyrosine kinase 6	-0.404	4.401
120_at	ITGA1	integrin subunit alpha 1	0.525	3.645
1210_s_at	TNFRSF25	TNF receptor superfamily member 25	-0.518	4.395
1211_s_at	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	0.397	1.684
1214_s_at	IFNB1	interferon beta 1	-0.425	2.844
1221_at	RAB5B	RAB5B, member RAS oncogene family	-0.513	3.004
1225_g_at	CDK16	cyclin dependent kinase 16	0.607	6.1
1228_s_at	CTAGE5	CTAGE family member 5, ER export factor	0.646	4.265
1229_at	MTMR11	myotubularin related protein 11	0.697	4.75
122_at	PRIM2	primase (DNA) subunit 2	-0.444	2.027
1231_at	UBE2B	ubiquitin conjugating enzyme E2 B	0.826	2.169
1233_s_at	AXL	AXL receptor tyrosine kinase	-0.735	6.579
1235_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	0.577	2.376
1239_s_at	CASP2	caspase 2	-0.642	2.942
1241_at	PTP4A2	protein tyrosine phosphatase type IVA, member 2	0.93	4.302
1242_at	ERF	ETS2 repressor factor	-0.466	3.947
1243_at	DDB2	damage specific DNA binding protein 2	-0.344	2.371
1244_at	STAT2	signal transducer and activator of transcription 2	-0.332	3.998
1246_at	PTPRS	protein tyrosine phosphatase, receptor type S	-0.637	4.424
1248_at	POLR2H	RNA polymerase II subunit H	0.285	2.372
1249_at	GAB1	GRB2 associated binding protein 1	-0.467	2.507
1250_at	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	0.812	2.713
1254_at	GUCA1A	guanylate cyclase activator 1A	-0.615	2.404
1255_g_at	GUCA1A	guanylate cyclase activator 1A	-0.604	3.692
1258_s_at	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	0.345	2.224
1259_at	ZNF23	zinc finger protein 23	-0.494	3.266
1261_i_at	GSTA2///GSTA1	glutathione S-transferase alpha 2///glutathione S-transferase alpha 1	1.35	2.45
1263_at	IL3	interleukin 3	-0.417	2.74
1266_s_at	LCK	LCK proto-oncogene, Src family tyrosine kinase	-0.349	1.699
1267_at	PRKCH	protein kinase C eta	-0.449	5.022
1268_at	UBA1	ubiquitin like modifier activating enzyme 1	0.486	1.996
1269_at	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	1.608	6.824
1270_at	RAP1GAP	RAP1 GTPase activating protein	-0.55	5.037
1271_g_at	RELA	RELA proto-oncogene, NF-kB subunit	-0.45	4.094
1272_at	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma	0.761	4.322
1273_r_at	CDC34	cell division cycle 34	-0.904	5.072
1277_at	ARHGEF16	Rho guanine nucleotide exchange factor 16	-0.553	6.847
1278_at	AXL	AXL receptor tyrosine kinase	0.464	1.895
1279_s_at	TEN1-CDK3///CDK3	TEN1-CDK3 readthrough (NMD candidate)///cyclin dependent kinase 3	-0.469	3.718
1284_at	PRKD3	protein kinase D3	-0.312	2.335
1289_at	GSTM5	glutathione S-transferase mu 5	-0.384	2.797
1290_g_at	GSTM5	glutathione S-transferase mu 5	-0.528	2.614
1293_s_at	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	-0.414	2.704
1295_at	RELA	RELA proto-oncogene, NF-kB subunit	1.172	3.99
1296_at	CDH15	cadherin 15	-0.32	2.056
1297_at	RBPMS	RNA binding protein with multiple splicing	-0.285	2.007
1300_at	XRCC2	X-ray repair cross complementing 2	-0.74	1.734
1304_at			-0.455	4.374
1306_at	EIF4G1	eukaryotic translation initiation factor 4 gamma 1	-0.277	2.752
1307_at	XPA	XPA, DNA damage recognition and repair factor	0.922	5.375
130_s_at	NKX2-1	NK2 homeobox 1	-0.641	5.925
1314_at	PSMD1	proteasome 26S subunit, non-ATPase 1	0.632	2.813
1316_at	THRA	thyroid hormone receptor, alpha	-0.358	2.409
1318_at	RBBP4	RB binding protein 4, chromatin remodeling factor	1.078	6.906
1320_at	PTPN21	protein tyrosine phosphatase, non-receptor type 21	-0.484	2.204
1322_at	E2F1	E2F transcription factor 1	-0.636	4.496
1325_at	SMAD1	SMAD family member 1	0.576	1.991
1330_at	MAP3K3	mitogen-activated protein kinase kinase kinase 3	-0.774	6.817
1334_s_at	CSF3	colony stimulating factor 3	-0.42	4.547
1335_at	IGF1R	insulin like growth factor 1 receptor	-0.418	2.351
1336_s_at	PRKCB	protein kinase C beta	-0.57	2.564
1338_s_at	CYP2A13///CYP2A7///CYP2A6	cytochrome P450 family 2 subfamily A member 13///cytochrome P450 family 2 subfamily A member 7///cytochrome P450 family 2 subfamily A member 6	-0.677	2.412
1339_s_at	BCR	BCR, RhoGEF and GTPase activating protein	-0.354	1.896
1341_at	SPI1	Spi-1 proto-oncogene	-0.502	3.064
1342_g_at	TERF1	telomeric repeat binding factor 1	0.623	1.898
1344_at	PAX3	paired box 3	-0.526	4.957
1345_s_at	PAX3	paired box 3	-0.308	2.025
1346_at	MT3	metallothionein 3	-0.567	5.92
1350_at	CYP4F2	cytochrome P450 family 4 subfamily F member 2	1.671	2.877
1351_at	EPHB4	EPH receptor B4	-0.302	1.893
1354_at	NTRK2	neurotrophic receptor tyrosine kinase 2	-0.372	1.824
135_g_at	ABI2	abl-interactor 2	-0.401	1.76
1361_at	TERF1	telomeric repeat binding factor 1	0.532	3.643
1362_s_at	RXRB	retinoid X receptor beta	-0.482	5.044
1364_at	PTPRZ1	protein tyrosine phosphatase, receptor type Z1	-0.788	1.865
1366_i_at	UBC	ubiquitin C	-0.554	1.87
136_at	GPR31	G protein-coupled receptor 31	-0.505	4.974
1373_at	TCF3	transcription factor 3	0.319	2.028
1379_at	EPHA2	EPH receptor A2	-0.39	4.644
137_at	KLF1	Kruppel like factor 1	-0.508	4.108
1382_at	RPA1	replication protein A1	0.637	3.505
1383_at	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha	0.678	5.068
1386_at	PTPN9	protein tyrosine phosphatase, non-receptor type 9	-0.386	4.02
1387_at	IL2	interleukin 2	-0.479	4.943
138_at	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	-0.539	3.396
1392_at	GRK6	G protein-coupled receptor kinase 6	-0.537	5.022
1393_at	OCM2	oncomodulin 2	-0.586	3.349
