ID	Gene.symbol	Gene.title	log2(fold change)(TX vs NR)	-log10(Pvalue)(TX vs NR)
32362_r_at	TOP3B	topoisomerase (DNA) III beta	-1.019	7.04
32363_at	CH25H	cholesterol 25-hydroxylase	-0.369	2.659
32364_at	SIX6	SIX homeobox 6	-0.467	4.114
32366_at	CNTFR	ciliary neurotrophic factor receptor	-0.385	3.138
32368_at	PCDH8	protocadherin 8	-0.457	1.907
32374_at	PCDHA12	protocadherin alpha 12	-0.426	3.907
32378_at	PKM	pyruvate kinase, muscle	0.716	2.536
32384_g_at	GHRHR	growth hormone releasing hormone receptor	-0.442	4.213
32391_g_at	FMO6P	flavin containing monooxygenase 6 pseudogene	-0.924	9.682
32397_r_at	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	-0.327	1.81
323_at	PSKH1	protein serine kinase H1	-0.45	2.632
32401_at	NRTN	neurturin	-0.307	2.49
32404_at	CNGA3	cyclic nucleotide gated channel alpha 3	-0.718	2.645
32407_f_at			-0.436	2.73
32408_s_at	HNRNPCL4///HNRNPCL3///HNRNPCL2///HNRNPCL1///HNRNPC	heterogeneous nuclear ribonucleoprotein C-like 4///heterogeneous nuclear ribonucleoprotein C-like 3///heterogeneous nuclear ribonucleoprotein C-like 2///heterogeneous nuclear ribonucleoprotein C-like 1///heterogeneous nuclear ribonucleoprotein C (C1/C2)	1.001	4.364
32410_at	MYOG	myogenin (myogenic factor 4)	-0.382	3.032
32416_at	IL23A	interleukin 23 subunit alpha	-0.669	4.415
32419_at	PDE1C	phosphodiesterase 1C	-0.368	2.633
32420_at	GPR6	G protein-coupled receptor 6	-0.495	2.026
32422_at	DOC2B	double C2 domain beta	-0.459	5.11
32424_at	HAS1	hyaluronan synthase 1	-0.374	2.501
32425_at	CHRNA2	cholinergic receptor nicotinic alpha 2 subunit	-0.42	2.42
32427_at	CRYGD	crystallin gamma D	-0.621	2.291
32431_at	ZP2	zona pellucida glycoprotein 2	-0.333	2.555
32433_at	RPL15	ribosomal protein L15	0.517	1.87
32434_at	MARCKS	myristoylated alanine rich protein kinase C substrate	1.636	3.039
32439_at	ATP4B	ATPase H+/K+ transporting beta subunit	-0.435	3.376
32441_at	CTPS1	CTP synthase 1	0.401	1.957
32442_at	LOC100506699	uncharacterized LOC100506699	-0.448	4.402
32445_at	PAFAH1B2	platelet activating factor acetylhydrolase 1b catalytic subunit 2	-0.556	2.447
32446_at	TACR3	tachykinin receptor 3	-0.573	2.957
32447_at	NR5A1	nuclear receptor subfamily 5 group A member 1	-0.31	2.673
32448_at	UPK2	uroplakin 2	-0.486	3.305
32449_at	DGKQ	diacylglycerol kinase theta	-0.408	3.246
32450_at	SCN7A	sodium voltage-gated channel alpha subunit 7	-0.512	2.23
32452_at	TEN1-CDK3///CDK3	TEN1-CDK3 readthrough (NMD candidate)///cyclin dependent kinase 3	-0.265	2.246
32454_at			0.523	3.112
32455_s_at	PELP1	proline, glutamate and leucine rich protein 1	-0.464	2.27
32456_s_at	ATP2B3	ATPase plasma membrane Ca2+ transporting 3	-0.495	3.489
32457_f_at	PRB4	proline rich protein BstNI subfamily 4	-0.588	4.986
32458_f_at	PRB4	proline rich protein BstNI subfamily 4	-0.562	3.232
32459_at	SLC5A5	solute carrier family 5 member 5	-0.363	2.533
32461_f_at	ZNF81	zinc finger protein 81	-0.58	1.832
32463_at	ARHGAP6	Rho GTPase activating protein 6	-0.445	2.73
32471_at	TSHR	thyroid stimulating hormone receptor	-0.286	2.138
32472_at	OXT	oxytocin/neurophysin I prepropeptide	-0.502	3.649
32476_at	MAGEB3	MAGE family member B3	-1.065	2.729
32483_at	GPR135	G protein-coupled receptor 135	-0.381	2.406
32484_at	ACKR2	atypical chemokine receptor 2	-0.48	2.896
32491_at	DRD3	dopamine receptor D3	-0.427	2.006
32492_g_at	DRD3	dopamine receptor D3	-0.457	2.584
32496_at	KCNE1	potassium voltage-gated channel subfamily E regulatory subunit 1	-0.534	2.763
32498_at	GRM2	glutamate metabotropic receptor 2	-0.289	2.158
32499_at	PDIA2	protein disulfide isomerase family A member 2	-0.706	3.096
32500_at			-0.499	2.846
32502_at	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	-0.762	7.432
32503_at	SNX27	sorting nexin family member 27	-0.641	4.605
32505_at	GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1	-0.426	3.902
32506_at	TBC1D1	TBC1 domain family member 1	0.558	3.108
32507_at			-0.436	2.739
32510_at	AKR7A2	aldo-keto reductase family 7 member A2	0.939	2.152
32514_s_at	CTSZ	cathepsin Z	-0.643	1.658
32515_s_at	CTSZ	cathepsin Z	-0.591	6.497
32517_at	CAPN7	calpain 7	-0.547	2.567
32519_at	MAP2K2	mitogen-activated protein kinase kinase 2	-0.486	4.818
32520_at	NR1D1///THRA	nuclear receptor subfamily 1 group D member 1///thyroid hormone receptor, alpha	-0.375	3.605
32523_at	CLTB	clathrin light chain B	0.876	4.524
32525_r_at			-1.106	8.635
32526_at	JAM3	junctional adhesion molecule 3	-0.492	2.177
32528_at	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	-0.443	5.015
32530_at	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	0.522	2.86
32531_at	GJA1	gap junction protein alpha 1	0.867	3.473
32534_f_at	VAMP5	vesicle associated membrane protein 5	-0.443	1.719
32537_at	ACSBG1	acyl-CoA synthetase bubblegum family member 1	-0.305	1.8
32538_at	TF	transferrin	-0.55	2.296
32539_at	COPS8	COP9 signalosome subunit 8	0.402	2.783
32542_at	FHL1	four and a half LIM domains 1	1.042	1.801
32543_at	CALR	calreticulin	-0.567	1.944
32548_at	PTGES3	prostaglandin E synthase 3	1.478	6.505
32549_at	PAPPA	pappalysin 1	-0.956	5.726
32550_r_at	CEBPA	CCAAT/enhancer binding protein alpha	-0.719	5.577
32553_at	MAZ	MYC associated zinc finger protein	-0.301	1.824
32554_s_at	TBL1X	transducin (beta)-like 1X-linked	1.011	3.175
32555_at	TBL1X	transducin (beta)-like 1X-linked	-0.719	5.375
32556_at	U2AF2	U2 small nuclear RNA auxiliary factor 2	-0.428	4.438
32557_at	U2AF2	U2 small nuclear RNA auxiliary factor 2	-0.519	3.908
32562_at	ENG	endoglin	-0.453	3.669
32567_at	CHKA	choline kinase alpha	-0.692	5.277
32569_at	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	1.477	7.754
32570_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	1.342	4.614
32571_at	MAT2A	methionine adenosyltransferase 2A	0.703	4.852
32573_at	GATC///SRSF9	glutamyl-tRNA amidotransferase subunit C///serine and arginine rich splicing factor 9	0.751	5.121
32574_at	SMPD1	sphingomyelin phosphodiesterase 1	0.685	5.168
32575_at	NAP1L4	nucleosome assembly protein 1 like 4	0.408	2.486
32576_at	EIF3F	eukaryotic translation initiation factor 3 subunit F	1.059	6.872
32577_s_at	PSMC3IP	PSMC3 interacting protein	-0.599	5.124
32579_at	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	0.804	4.439
32580_at	RGS12	regulator of G-protein signaling 12	-0.317	2.114
32582_at	MYH11	myosin heavy chain 11	-0.466	1.666
32586_at	LARP4B	La ribonucleoprotein domain family member 4B	0.451	4.272
32587_at	ZFP36L2	ZFP36 ring finger protein like 2	0.781	3.034
32588_s_at	ZFP36L2	ZFP36 ring finger protein like 2	1.281	6.769
32592_at	KHNYN	KH and NYN domain containing	-0.449	2.289
32593_at	RFTN1	raftlin, lipid raft linker 1	0.452	1.703
32594_at	CCT4	chaperonin containing TCP1 subunit 4	0.449	3.538
32595_at	GRSF1	G-rich RNA sequence binding factor 1	0.369	2.591
32597_at	RBL2	RB transcriptional corepressor like 2	1.333	4.85
32600_at	DOK4	docking protein 4	-0.564	3.266
32601_s_at	POLR2C	RNA polymerase II subunit C	-0.326	3.129
32603_at	RPA2	replication protein A2	-0.499	1.729
32604_s_at	CEP68	centrosomal protein 68	-0.351	3.332
32612_at	GSN	gelsolin	1.15	3.371
32613_at	SV2B	synaptic vesicle glycoprotein 2B	-0.708	3.302
32615_at	DARS	aspartyl-tRNA synthetase	0.929	4.544
32621_at	DR1	down-regulator of transcription 1	0.436	3.734
32622_at	DNM2	dynamin 2	0.848	5.822
32624_at	RALGAPA1	Ral GTPase activating protein catalytic alpha subunit 1	0.528	4.322
32626_at	GFPT1	glutamine--fructose-6-phosphate transaminase 1	0.732	5.597
32628_at	VEZF1	vascular endothelial zinc finger 1	0.664	3.995
32631_at	LOC100510710///GBAP1///GBA	glucosylceramidase-like///glucosylceramidase beta pseudogene 1///glucosylceramidase beta	-0.514	2.059
32634_s_at	ICA1	islet cell autoantigen 1	-0.335	2.02
32636_f_at	LOC101060386///BOLA2///SMG1	putative uncharacterized SMG1-like protein///bolA family member 2///SMG1, nonsense mediated mRNA decay associated PI3K related kinase	1.001	2.126
32637_r_at	LOC101060386///BOLA2///SMG1	putative uncharacterized SMG1-like protein///bolA family member 2///SMG1, nonsense mediated mRNA decay associated PI3K related kinase	0.641	2.826
32638_s_at	LOC101060386///BOLA2///SMG1	putative uncharacterized SMG1-like protein///bolA family member 2///SMG1, nonsense mediated mRNA decay associated PI3K related kinase	1.466	5.294
32639_at	NUPL2	nucleoporin like 2	0.801	5.334
32643_at	GBE1	glucan (1,4-alpha-), branching enzyme 1	1.499	7.272
32645_at	LOC101930416///LOC101929792///LOC100996724///PDE4DIP	myomegalin-like///uncharacterized LOC101929792///phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein	-0.496	2.108
32646_at	KIF21B	kinesin family member 21B	-0.393	3.14
32647_at	VTI1B	vesicle transport through interaction with t-SNAREs 1B	1.31	4.41
32652_g_at	TAGLN3	transgelin 3	-0.564	4.95
32654_g_at	BRD8	bromodomain containing 8	1.304	8.652
32655_s_at	BRD8	bromodomain containing 8	0.5	4.385
32656_at	MPDZ	multiple PDZ domain crumbs cell polarity complex component	1.47	5.351
32659_at	EIF2B4	eukaryotic translation initiation factor 2B subunit delta	-0.599	3.993
32660_at	TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1	-0.542	2.155
32662_at	MDC1	mediator of DNA damage checkpoint 1	0.537	4.597
32664_at	RNASE4	ribonuclease A family member 4	0.593	2.07
32665_at	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B	1.447	7.074
32666_at	CXCL12	C-X-C motif chemokine ligand 12	1.55	4.257
32667_at	COL4A5	collagen type IV alpha 5 chain	0.401	1.787
32668_at	SSBP2	single stranded DNA binding protein 2	0.288	1.665
32669_at	SOCS5	suppressor of cytokine signaling 5	0.449	2.226
32671_at	TTLL4	tubulin tyrosine ligase like 4	-0.517	3.32
32674_at	ZNF638-IT1///ZNF638	ZNF638 intronic transcript 1///zinc finger protein 638	1.009	7.731
32676_at	ALDH6A1	aldehyde dehydrogenase 6 family member A1	1.349	3.016
32678_at	MYO5A	myosin VA	-0.515	2.012
32679_at	MTFR1	mitochondrial fission regulator 1	-0.394	3.035
32680_at	TNIK	TRAF2 and NCK interacting kinase	-1.628	4.925
32681_at	SLC9A1	solute carrier family 9 member A1	-0.376	3.31
32686_at	PTGER3	prostaglandin E receptor 3	0.749	2.342
32689_s_at	PTGER3	prostaglandin E receptor 3	0.576	2.377
32690_s_at	PTGER3	prostaglandin E receptor 3	-0.756	1.957
32692_at	PTGER3	prostaglandin E receptor 3	-0.566	2.701
32694_at	RARB	retinoic acid receptor beta	0.647	2.446
32695_at	HTATSF1	HIV-1 Tat specific factor 1	0.917	4.378
32696_at	PBX3	PBX homeobox 3	1.012	4.363
32697_at	IMPA1	inositol monophosphatase 1	0.44	3.673
32698_at	PVR	poliovirus receptor	-0.432	3.841
32699_s_at	PVR	poliovirus receptor	-0.551	3.945
32701_at	ARVCF	armadillo repeat gene deleted in velocardiofacial syndrome	-0.279	1.962
32702_at	TROAP	trophinin associated protein	-0.52	2.138
32704_at	DOCK2	dedicator of cytokinesis 2	-0.877	7.664
32705_at	CYP3A7-CYP3A51P///CYP3A7	CYP3A7-CYP3A51P readthrough///cytochrome P450 family 3 subfamily A member 7	0.632	3.231
32707_at	KATNA1	katanin catalytic subunit A1	0.952	6.323
32708_g_at	KATNA1	katanin catalytic subunit A1	0.828	6.354
32709_at	KCNAB1	potassium voltage-gated channel subfamily A member regulatory beta subunit 1	0.39	2.797
32714_s_at	ACVRL1	activin A receptor like type 1	-0.777	4.73
32715_at	VAMP8	vesicle associated membrane protein 8	0.547	2.036
32716_at	DGKA	diacylglycerol kinase alpha	-0.52	3.128
32717_at	NEURL1	neuralized E3 ubiquitin protein ligase 1	-0.459	3.588
32719_at	NRG1	neuregulin 1	-0.426	2.503
32720_at	ATG12	autophagy related 12	1.589	10.073
32723_at	CSTF1	cleavage stimulation factor subunit 1	0.782	3.853
32726_g_at	BID	BH3 interacting domain death agonist	-0.63	3.652
32729_at	MYH3	myosin, heavy chain 3, skeletal muscle, embryonic	-0.921	2.826
32733_at	MRPS14	mitochondrial ribosomal protein S14	-0.597	1.775
32734_at	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon	0.694	2.473
32735_at	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	0.505	3.395
32736_at	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	-0.554	2.169
32737_at	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	-0.441	3.921
32738_at	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	0.686	2.759
32739_at	PGM3	phosphoglucomutase 3	-0.496	2.253
32745_at	MRPL40	mitochondrial ribosomal protein L40	0.722	3.379
32747_at	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	0.702	1.906
32749_s_at	FLNA	filamin A	0.576	3.542
32751_at	ILF3	interleukin enhancer binding factor 3	0.46	3.578
32753_at	SF3B3	splicing factor 3b subunit 3	-0.343	2.713
32759_at			-0.77	2.535
32760_at	SEMG1	semenogelin I	-0.445	2.619
32761_at	SRRM2	serine/arginine repetitive matrix 2	-0.798	6.211
32764_at	CPQ	carboxypeptidase Q	-0.226	2.16
32768_at	TDRD3	tudor domain containing 3	0.394	1.712
32769_at	WDFY3	WD repeat and FYVE domain containing 3	1.272	2.994
32775_r_at	PLSCR1	phospholipid scramblase 1	1.32	1.931
32777_at	WRB	tryptophan rich basic protein	0.748	4.815
32780_at	DST	dystonin	0.888	3.182
32781_f_at	DST	dystonin	1.307	3.009
32783_at	FBLN2	fibulin 2	-0.317	2.727
32784_at	PRPF4B	pre-mRNA processing factor 4B	0.51	1.674
32787_at	ERBB3	erb-b2 receptor tyrosine kinase 3	0.573	2.989
32790_at	NCBP2	nuclear cap binding protein subunit 2	0.574	5.307
32793_at	TRBC1	T cell receptor beta constant 1	-0.565	1.799
32794_g_at	TRBC1	T cell receptor beta constant 1	-0.437	1.963
32795_at			-0.336	2.428
32796_f_at	PRSS2	protease, serine 2	-0.476	2.127
32797_at			-0.388	2.233
32802_at	MARCH6	membrane associated ring-CH-type finger 6	1.444	9.79
32803_at	CNIH1	cornichon family AMPA receptor auxiliary protein 1	0.863	5.793
32805_at	LOC101930400///AKR1C2///AKR1C1	aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2///aldo-keto reductase family 1 member C1	1.168	2.822
32806_at	TSPO	translocator protein	0.753	3.362
32809_at	ZNF24	zinc finger protein 24	0.351	2.438
32810_at	TPMT	thiopurine S-methyltransferase	-0.475	4.642
32811_at	MYO1C	myosin IC	-0.329	2.503
32812_at	LIMCH1	LIM and calponin homology domains 1	0.947	4.554
32815_at			2.424	8.524
32819_at	HIST1H2BK	histone cluster 1, H2bk	-0.437	1.77
32821_at	LCN2	lipocalin 2	-0.911	2.58
32822_at	SLC25A4	solute carrier family 25 member 4	0.679	2.896
32825_at	PRMT1	protein arginine methyltransferase 1	0.788	3.292
32826_at	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	-0.399	3.035
32827_at	RRAS2	related RAS viral (r-ras) oncogene homolog 2	1.171	5.529
32831_at	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)	0.636	3.157
32833_at	CLK1	CDC like kinase 1	0.929	3.587
32834_r_at	RIOK3	RIO kinase 3	1.578	8.343
32838_at	MYH10	myosin, heavy chain 10, non-muscle	1.427	6.677
32840_at			-0.747	4.088
32841_at	CNBP	CCHC-type zinc finger nucleic acid binding protein	1.246	3.049
32843_s_at	FBL	fibrillarin	0.618	5.229
32844_at	EIF4G1	eukaryotic translation initiation factor 4 gamma 1	0.346	3.927
32850_at	NUP153	nucleoporin 153	1.226	2.949
32853_at	TOMM70	translocase of outer mitochondrial membrane 70	1.309	5.726
32854_at	FBXW11	F-box and WD repeat domain containing 11	0.912	4.042
32857_at	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2	0.405	1.739
32859_at	STAT1	signal transducer and activator of transcription 1	0.54	1.675
32862_at	RASA3	RAS p21 protein activator 3	-0.928	4.118
32863_at	CAMK1G	calcium/calmodulin dependent protein kinase IG	-0.456	2.72
32864_at	SRY	sex determining region Y	-0.388	2.059
32866_at	ADAMTSL2	ADAMTS like 2	-0.308	2.233
32868_at	TGM3	transglutaminase 3	-0.442	2.448
32873_at	KCND2	potassium voltage-gated channel subfamily D member 2	-0.455	1.809
32875_at	RHO	rhodopsin	-0.352	3.273
32876_s_at	RHO	rhodopsin	-0.348	2.58
32879_at			-0.693	2.162
32881_at	BICDL1	BICD family like cargo adaptor 1	-0.33	2.384
32882_at	SOAT2	sterol O-acyltransferase 2	-0.396	3.699
32884_at	PHF20	PHD finger protein 20	-0.582	2.901
32894_at	AGFG2	ArfGAP with FG repeats 2	-0.484	2.553
32895_f_at	AGFG2	ArfGAP with FG repeats 2	-0.452	3.97
32898_at	ACTL8	actin like 8	-0.536	3.198
328_at	ZNF92	zinc finger protein 92	-0.525	2.9
32907_at	HTR6	5-hydroxytryptamine receptor 6	-0.514	3.245
32908_at	UBN1	ubinuclein 1	-0.326	3.251
32909_at	AQP5	aquaporin 5	-0.306	2.131
32910_at	KDM7A	lysine demethylase 7A	-0.704	3.851
32914_f_at	CACTIN	cactin, spliceosome C complex subunit	-0.287	2.017
32917_at	LCT	lactase	-0.622	5.743
32918_at	ZSWIM8-AS1///NDST2	ZSWIM8 antisense RNA 1///N-deacetylase and N-sulfotransferase 2	-0.441	4.005
32920_at	HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4	-0.578	2.345
32923_r_at	SYN1	synapsin I	-0.761	4.309
32924_at	MMP24	matrix metallopeptidase 24	-0.317	1.936
32926_at			-0.531	2.338
32929_at	DOLPP1	dolichyldiphosphatase 1	-0.519	5.619
32931_at			-0.632	4.796
32933_r_at			-0.423	2.799
32938_at	EFR3B	EFR3 homolog B	-0.46	2.087
32939_g_at	EFR3B	EFR3 homolog B	-0.395	3.379
32941_at	IRF8	interferon regulatory factor 8	-0.477	1.924
32943_at	DBH	dopamine beta-hydroxylase	-0.326	1.883
32944_at	ROBO1	roundabout guidance receptor 1	-0.421	1.706
32945_i_at	MBL2	mannose binding lectin 2	-0.533	1.81
32949_at	DSCR4	Down syndrome critical region 4	-0.427	3.079
32950_at	POU6F2	POU class 6 homeobox 2	-0.507	2.252
32951_g_at	POU6F2	POU class 6 homeobox 2	-0.337	4.064
32952_at	POU6F2	POU class 6 homeobox 2	-0.429	3.697
32954_at	RIF1	replication timing regulatory factor 1	0.797	5.437
32955_at	TRIAP1	TP53 regulated inhibitor of apoptosis 1	0.735	3.21
32959_at	ATP6V1B1	ATPase H+ transporting V1 subunit B1	0.629	5.741
32962_at	CTH	cystathionine gamma-lyase	1.387	9.047
32963_s_at	RRAGD	Ras related GTP binding D	0.785	2.503
32965_f_at	HSPA1B	heat shock protein family A (Hsp70) member 1B	-0.548	5.88
32968_s_at	SEZ6L	seizure related 6 homolog like	-0.556	2.494
32969_r_at	VGF	VGF nerve growth factor inducible	-0.704	6.341
32970_f_at	HABP4	hyaluronan binding protein 4	0.858	9.075
32978_g_at	FAM65B	family with sequence similarity 65 member B	-0.315	2.467
32983_at	ADRA1B	adrenoceptor alpha 1B	-0.411	3.67
32984_s_at	CLCNKB///CLCNKA	chloride voltage-gated channel Kb///chloride voltage-gated channel Ka	0.579	2.254
32985_at	SALL1	spalt like transcription factor 1	1.048	5.271
32986_s_at	SMAD9	SMAD family member 9	-0.563	2.115
32987_at	CENPI	centromere protein I	-0.476	3.889
32989_at	RFX1	regulatory factor X1	-0.513	3.831
32990_at	SLC6A11	solute carrier family 6 member 11	-0.374	2.089
32993_s_at	ZMYND10	zinc finger MYND-type containing 10	-0.451	4.413
32994_at	ASB4	ankyrin repeat and SOCS box containing 4	-0.446	1.962
32996_g_at	ASB4	ankyrin repeat and SOCS box containing 4	-0.435	4.09
32997_at	PAGE1	PAGE family member 1	-0.729	2.927
32999_at	BFSP1	beaded filament structural protein 1	-0.296	1.764
33001_s_at	TGM5	transglutaminase 5	-0.386	1.822
33008_at	OR7E24	olfactory receptor family 7 subfamily E member 24	-0.363	1.754
33009_at	MAP3K1	mitogen-activated protein kinase kinase kinase 1	-0.661	2.851
33010_at	SLC5A4	solute carrier family 5 member 4	-0.342	3.097
33013_at	PDHA2	pyruvate dehydrogenase (lipoamide) alpha 2	-0.501	3.167
33014_at	MAFK	MAF bZIP transcription factor K	-0.394	3.028
33015_at			-0.34	1.876
33016_at	TSPO2	translocator protein 2	-0.473	5.32
33017_at	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	-0.388	1.996
33018_at	HIST1H3I	histone cluster 1, H3i	-0.588	3.883
33019_at	PARK2	parkin RBR E3 ubiquitin protein ligase	-0.584	4.849
33022_at	RDH16	retinol dehydrogenase 16 (all-trans)	-0.388	3.205
33024_at	CMA1	chymase 1	-0.582	2.817
33025_at	TP53TG5	TP53 target 5	-0.56	6.036
33027_at	LOC101060581///AGAP5///AGAP7P///AGAP9///AGAP12P///AGAP6///BMS1P5///AGAP11///AGAP4///SYNPO2L	arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5-like///ArfGAP with GTPase domain, ankyrin repeat and PH domain 5///ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene///ArfGAP with GTPase domain, ankyrin repeat and PH domain 9///ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene///ArfGAP with GTPase domain, ankyrin repeat and PH domain 6///BMS1, ribosome biogenesis factor pseudogene 5///ArfGAP with GTPase domain, ankyrin repeat and PH domain 11///ArfGAP with GTPase domain, ankyrin repeat and PH domain 4///synaptopodin 2 like	-0.256	1.692
33028_at	SLC6A5	solute carrier family 6 member 5	-0.429	3.665
33029_at	ALOX12B	arachidonate 12-lipoxygenase, 12R type	-0.495	5.424
33030_at	HIST1H1D	histone cluster 1, H1d	-0.494	5.691
33035_at	TIPRL	TOR signaling pathway regulator	0.616	4.62
33036_at	TRPA1	transient receptor potential cation channel subfamily A member 1	-0.429	1.873
33042_r_at			-1.026	4.013
33043_at	USP6	ubiquitin specific peptidase 6	-0.427	2.376
33045_r_at	EMX1	empty spiracles homeobox 1	-0.606	3.935
33051_at	GABRR1	gamma-aminobutyric acid type A receptor rho1 subunit	-0.429	2.459
33054_at	DNAH3	dynein axonemal heavy chain 3	-0.286	1.958
33056_at	EXOG	endo/exonuclease (5'-3'), endonuclease G-like	-0.673	2.909
33057_g_at	EXOG	endo/exonuclease (5'-3'), endonuclease G-like	-0.428	2.267
33058_at	KRT75	keratin 75	-0.406	2.89
33059_at	PART1	prostate androgen-regulated transcript 1 (non-protein coding)	-0.961	3.103
33063_at	GP1BA	glycoprotein Ib platelet alpha subunit	-0.476	2.405
33065_at	JPH3	junctophilin 3	-0.292	2.892
33067_at	HIST1H1A	histone cluster 1, H1a	-0.531	1.897
33072_at	HCRTR2	hypocretin receptor 2	-0.729	2.252
33073_at	PAK3	p21 (RAC1) activated kinase 3	-0.264	1.658
33076_at			-1.537	3.153
33077_at			-0.45	3.3
33078_at	PRAMEF12	PRAME family member 12	-0.323	2.056
33081_at			-0.39	2.149
33083_at	KIAA0509	uncharacterized LOC57242	-0.43	2.189
33085_at	PDCD1	programmed cell death 1	-0.277	1.737
33087_s_at	KCNH1	potassium voltage-gated channel subfamily H member 1	-0.552	3.184
33089_s_at	EFNA2	ephrin A2	-0.418	2.366
33090_at	EFNA2	ephrin A2	-0.522	5.2
33091_at	HOXD13	homeobox D13	-0.268	1.9
33097_at	CEBPE	CCAAT/enhancer binding protein epsilon	-0.468	3.401
33098_at	CCR3	C-C motif chemokine receptor 3	-0.6	3.052
33099_at	FUT5	fucosyltransferase 5	-0.422	2.577
33101_g_at	FETUB	fetuin B	-0.535	3.134
33102_at	ADD3	adducin 3	1.175	3.794
33103_s_at	ADD3	adducin 3	1.655	7.316
33104_at	PLEKHB1	pleckstrin homology domain containing B1	-0.528	3.181
33105_at	PLEKHB1	pleckstrin homology domain containing B1	-0.583	4.856
33107_at	TRIM37	tripartite motif containing 37	0.404	1.747
33108_i_at	SOX2	SRY-box 2	-0.567	3.892
33109_f_at	SOX2	SRY-box 2	-0.316	1.698
33110_at	SOX2	SRY-box 2	-0.389	1.947
33113_at	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	1.258	5.732
33115_at	HOXC6	homeobox C6	-0.332	1.74
33119_at	FAM134B	family with sequence similarity 134 member B	-0.721	2.034
33126_at	GLT8D1	glycosyltransferase 8 domain containing 1	0.573	7.657
33127_at	LOXL2	lysyl oxidase like 2	-0.456	2.969
33128_s_at	CST6	cystatin E/M	-0.425	2.602
33129_at	CST6	cystatin E/M	-0.444	1.657
33130_at	HOXD1	homeobox D1	0.399	3.183
33131_at	SOX4	SRY-box 4	-0.322	1.918
33132_at	MIR6849///MIR1234///MIR939///CPSF1	microRNA 6849///microRNA 1234///microRNA 939///cleavage and polyadenylation specific factor 1	0.335	1.801
33136_at	UBE2I	ubiquitin conjugating enzyme E2 I	0.421	3.069
33144_at	CSNK1D	casein kinase 1 delta	-0.334	2.137
33145_at	FANCA	Fanconi anemia complementation group A	-0.531	4.301
33146_at	MCL1	BCL2 family apoptosis regulator	0.883	3.178
33147_at	ZFR	zinc finger RNA binding protein	-0.718	2.489
33148_at	ZFR	zinc finger RNA binding protein	0.354	2.106
33149_at	CLP1	cleavage and polyadenylation factor I subunit 1	0.408	2.481
33150_at	UTP3	UTP3, small subunit processome component homolog (S. cerevisiae)	0.719	2.835
33151_s_at	UTP3	UTP3, small subunit processome component homolog (S. cerevisiae)	-0.626	6.013
33152_at	ARF6	ADP ribosylation factor 6	0.742	4.977
33153_at	ALOX5	arachidonate 5-lipoxygenase	-0.587	4.282
33155_at	IDUA	iduronidase, alpha-L-	-0.423	3.894
33156_at	IDUA	iduronidase, alpha-L-	-0.739	3.507
33157_at	INSM1	INSM transcriptional repressor 1	-0.322	2.473
33160_at	NRL	neural retina leucine zipper	-0.612	3.115
33165_at	TOE1	target of EGR1, member 1 (nuclear)	-0.304	1.698
33166_at	TRADD	TNFRSF1A associated via death domain	-0.658	5.1
33167_r_at	ADSS	adenylosuccinate synthase	-0.954	3.412
33169_at	NEO1	neogenin 1	0.332	3.11
33172_at	SEPT11	septin 11	0.411	2.208
33173_g_at	SEPT11	septin 11	0.825	7.422
33176_at	DOHH	deoxyhypusine hydroxylase/monooxygenase	-0.49	3.162
33177_at	DOHH	deoxyhypusine hydroxylase/monooxygenase	-0.307	2.981
33178_at	JAG1	jagged 1	-0.47	4.192
33179_at	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2	-0.456	2.343
