ID	Gene.symbol	Gene.title	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)
1000_at	MAPK3	mitogen-activated protein kinase 3	0.295	1.973
1008_f_at	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	-0.875	2.508
1013_at	SMAD5	SMAD family member 5	0.562	2.232
1016_s_at	IL13RA2	interleukin 13 receptor subunit alpha 2	-0.465	2.265
1018_at	WNT10B	Wnt family member 10B	-0.424	5.842
1021_at	IFNG	interferon gamma	0.518	5.283
1023_at	EPO	erythropoietin	-0.305	2.613
1026_s_at	COL11A2	collagen type XI alpha 2 chain	-0.363	3.96
102_at	HIPK3	homeodomain interacting protein kinase 3	-0.365	3.009
1035_g_at	TIMP3	TIMP metallopeptidase inhibitor 3	-0.538	4.974
1036_at	IL15	interleukin 15	0.881	4.37
1038_s_at	IFNGR1	interferon gamma receptor 1	1.869	7.72
1039_s_at	HIF1A	hypoxia inducible factor 1 alpha subunit	0.833	2.134
1040_s_at	ABI2	abl-interactor 2	-0.455	3.13
1055_g_at	RFC4	replication factor C subunit 4	0.408	2.875
1057_at	CRABP2	cellular retinoic acid binding protein 2	-0.91	4.767
105_at	NR1I3	nuclear receptor subfamily 1 group I member 3	-0.369	2.037
1062_g_at	IL10RA	interleukin 10 receptor subunit alpha	1.333	9.449
1064_at	TWF1	twinfilin actin binding protein 1	0.636	3.289
106_at	RUNX3	runt related transcription factor 3	1.067	6.501
1078_at	PRLR	prolactin receptor	-0.544	1.937
1079_g_at	PRLR	prolactin receptor	-0.454	2.501
1080_s_at	CYP1A2	cytochrome P450 family 1 subfamily A member 2	-0.585	5.633
1083_s_at	MUC1	mucin 1, cell surface associated	-0.421	3.592
1086_at	CSF2RB	colony stimulating factor 2 receptor beta common subunit	-0.454	3.983
1087_at	EPOR	erythropoietin receptor	-0.379	3.688
1089_i_at			-0.637	4.356
1093_at	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	-0.57	2.551
1105_s_at	IL23A	interleukin 23 subunit alpha	0.997	3.859
1106_s_at	TRAC///TRAJ17///TRAV20///TRDV2	T-cell receptor alpha constant///T cell receptor alpha joining 17///T cell receptor alpha variable 20///T cell receptor delta variable 2	1.987	7.88
1109_s_at	PDGFA	platelet derived growth factor subunit A	-0.368	3.153
1114_at	BMP4	bone morphogenetic protein 4	-0.481	2.216
1119_at	RPA2	replication protein A2	0.558	4.566
1121_g_at	GSTM3	glutathione S-transferase mu 3	-0.498	3.252
1124_at	KMT2A	lysine methyltransferase 2A	-0.223	2.052
1125_s_at	CD44	CD44 molecule (Indian blood group)	-0.22	2.183
1126_s_at	CD44	CD44 molecule (Indian blood group)	1.127	3.107
1127_at	RPS6KA1	ribosomal protein S6 kinase A1	0.318	2.392
112_g_at	TAF1	TATA-box binding protein associated factor 1	-0.396	4.073
1144_at	FGFR2	fibroblast growth factor receptor 2	-0.317	1.86
1145_g_at	FGFR2	fibroblast growth factor receptor 2	-0.433	2.286
1151_at	RPL22	ribosomal protein L22	0.603	2.025
1163_at	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	-0.455	3.302
1166_at	PSMD2	proteasome 26S subunit, non-ATPase 2	0.429	2.224
1169_at	PCDHGB7	protocadherin gamma subfamily B, 7	-0.607	2.64
116_at	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha	-0.398	3.091
1173_g_at	SAT1	spermidine/spermine N1-acetyltransferase 1	0.961	3.938
1178_at	DHFR	dihydrofolate reductase	-0.541	1.979
1181_at	GNL1	G protein nucleolar 1 (putative)	0.245	1.948
1182_at	PLCL1	phospholipase C like 1	-0.955	4.612
1184_at	MIR7703///PSME2	microRNA 7703///proteasome activator subunit 2	1.887	9.344
1189_at	CDK8	cyclin dependent kinase 8	-0.68	4.335
1194_g_at	UBE3A	ubiquitin protein ligase E3A	-0.316	2.719
1196_at	RCC1	regulator of chromosome condensation 1	-0.268	2.381
1199_at	LOC101928634///SENP3-EIF4A1///SNORD10///SNORA48///SNORA67///EIF4A1	uncharacterized LOC101928634///SENP3-EIF4A1 readthrough (NMD candidate)///small nucleolar RNA, C/D box 10///small nucleolar RNA, H/ACA box 48///small nucleolar RNA, H/ACA box 67///eukaryotic translation initiation factor 4A1	0.914	6.764
1202_g_at	RAB33A	RAB33A, member RAS oncogene family	0.42	2.491
1208_at	PTK6	protein tyrosine kinase 6	-0.367	4.36
120_at	ITGA1	integrin subunit alpha 1	0.69	5.714
1212_at	GSTZ1	glutathione S-transferase zeta 1	-0.277	1.874
1213_at	SRPK2	SRSF protein kinase 2	0.855	4.432
1219_at	IRF2	interferon regulatory factor 2	-0.395	2.412
1224_at	CDK16	cyclin dependent kinase 16	-0.445	4.814
1228_s_at	CTAGE5	CTAGE family member 5, ER export factor	-0.436	2.715
122_at	PRIM2	primase (DNA) subunit 2	-0.518	2.911
1230_g_at	MTMR11	myotubularin related protein 11	-0.552	3.418
1233_s_at	AXL	AXL receptor tyrosine kinase	-0.333	2.439
1234_at	EPHA3	EPH receptor A3	-0.616	5.259
1235_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	0.616	2.95
123_at	PRKD1	protein kinase D1	-0.53	2.599
1241_at	PTP4A2	protein tyrosine phosphatase type IVA, member 2	1.369	7.46
1242_at	ERF	ETS2 repressor factor	-0.529	5.103
1246_at	PTPRS	protein tyrosine phosphatase, receptor type S	-0.584	4.357
1247_g_at	PTPRS	protein tyrosine phosphatase, receptor type S	-0.37	2.073
1250_at	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	0.707	2.447
1256_at	PTPRD	protein tyrosine phosphatase, receptor type D	-0.494	2.77
1258_s_at	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	-0.331	2.291
1259_at	ZNF23	zinc finger protein 23	-0.421	2.99
1260_s_at	GSTA3///GSTA2///GSTA1	glutathione S-transferase alpha 3///glutathione S-transferase alpha 2///glutathione S-transferase alpha 1	-2.217	7.208
1261_i_at	GSTA2///GSTA1	glutathione S-transferase alpha 2///glutathione S-transferase alpha 1	-2.972	8.552
1266_s_at	LCK	LCK proto-oncogene, Src family tyrosine kinase	-0.375	2.116
1270_at	RAP1GAP	RAP1 GTPase activating protein	-0.46	4.352
1274_s_at	CDC34	cell division cycle 34	-0.233	2.089
1276_g_at	RBPMS	RNA binding protein with multiple splicing	-0.429	3.149
1277_at	ARHGEF16	Rho guanine nucleotide exchange factor 16	-0.253	2.531
1279_s_at	TEN1-CDK3///CDK3	TEN1-CDK3 readthrough (NMD candidate)///cyclin dependent kinase 3	-0.451	3.979
1284_at	PRKD3	protein kinase D3	-0.32	2.735
1285_at	NEK1	NIMA related kinase 1	-0.622	5.942
1287_at	PARP1	poly(ADP-ribose) polymerase 1	0.482	2.855
1292_at	DUSP2	dual specificity phosphatase 2	1.022	2.147
1294_at	MIR5193///UBA7	microRNA 5193///ubiquitin like modifier activating enzyme 7	0.377	2.77
1295_at	RELA	RELA proto-oncogene, NF-kB subunit	0.729	2.339
1305_s_at	CYP4F2///CYP4F3	cytochrome P450 family 4 subfamily F member 2///cytochrome P450 family 4 subfamily F member 3	-0.515	2.32
1309_at	PSMB3	proteasome subunit beta 3	0.496	2.665
1314_at	PSMD1	proteasome 26S subunit, non-ATPase 1	0.454	2.024
1318_at	RBBP4	RB binding protein 4, chromatin remodeling factor	0.426	2.147
1322_at	E2F1	E2F transcription factor 1	-0.546	3.962
1335_at	IGF1R	insulin like growth factor 1 receptor	-0.42	2.681
1343_s_at	SERPINB3	serpin family B member 3	-0.495	1.981
1347_at	CDC25B	cell division cycle 25B	0.847	4.278
1348_s_at	PCCA	propionyl-CoA carboxylase alpha subunit	-0.848	2.224
1350_at	CYP4F2	cytochrome P450 family 4 subfamily F member 2	-1.233	1.952
1357_at	USP4	ubiquitin specific peptidase 4	0.518	3.187
1358_s_at	IFI6	interferon alpha inducible protein 6	1.285	3.801
135_g_at	ABI2	abl-interactor 2	-0.499	2.763
1362_s_at	RXRB	retinoid X receptor beta	-0.334	3.485
1363_at	FGFR2	fibroblast growth factor receptor 2	-0.704	5.65
1366_i_at	UBC	ubiquitin C	0.639	2.458
1368_at	IL1R1	interleukin 1 receptor type 1	0.721	2.389
1370_at	IL7R	interleukin 7 receptor	1.613	5.932
1371_s_at	CYP2B7P///CYP2B6	cytochrome P450 family 2 subfamily B member 7, pseudogene///cytochrome P450 family 2 subfamily B member 6	-0.66	3.172
1374_g_at	TCF3	transcription factor 3	0.338	2.24
1377_at	NFKB1	nuclear factor kappa B subunit 1	1.056	4.355
1379_at	EPHA2	EPH receptor A2	-0.226	2.478
1380_at	FGF7	fibroblast growth factor 7	-0.461	1.901
1384_at	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	-0.496	2.25
1385_at	TGFBI	transforming growth factor beta induced	1.502	6.101
1387_at	IL2	interleukin 2	-0.221	1.887
1389_at	MME	membrane metallo-endopeptidase	-1.041	8.12
1390_s_at	GHRH	growth hormone releasing hormone	-0.219	1.967
1391_s_at	CYP4A22///CYP4A11	cytochrome P450 family 4 subfamily A member 22///cytochrome P450 family 4 subfamily A member 11	-0.504	2.117
1394_at	RHOA	ras homolog family member A	0.853	5.412
1398_g_at	MAP3K11	mitogen-activated protein kinase kinase kinase 11	-0.58	5.224
139_at	DLGAP1	DLG associated protein 1	-0.225	2.216
1400_at	CSF2	colony stimulating factor 2	-0.417	3.962
1402_at	LYN	LYN proto-oncogene, Src family tyrosine kinase	1.108	2.383
1403_s_at	CCL5	C-C motif chemokine ligand 5	2.618	8.1
1404_r_at	CCL5	C-C motif chemokine ligand 5	1.537	4.313
1405_i_at	CCL5	C-C motif chemokine ligand 5	1.619	4.758
1406_at	NR2C1	nuclear receptor subfamily 2 group C member 1	-0.703	6.274
1407_g_at	NR2C1	nuclear receptor subfamily 2 group C member 1	-0.34	1.889
140_s_at	TRA2B	transformer 2 beta homolog (Drosophila)	1.034	5.918
1410_at	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	-0.409	2.116
1411_at	CYP11B1	cytochrome P450 family 11 subfamily B member 1	0.928	4.113
1412_g_at	CYP11B2///CYP11B1	cytochrome P450 family 11 subfamily B member 2///cytochrome P450 family 11 subfamily B member 1	-0.424	4.568
1423_at	UBE2G1	ubiquitin conjugating enzyme E2 G1	-0.861	3.257
1424_s_at	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	1.545	8.681
1425_at	PCDHB11	protocadherin beta 11	-0.454	2.059
1426_at	SLA	Src-like-adaptor	0.455	2.811
1427_g_at	SLA	Src-like-adaptor	2.061	7.634
1431_at	CYP2E1	cytochrome P450 family 2 subfamily E member 1	-0.52	4.849
1437_at	PRKCA	protein kinase C alpha	-0.508	4.851
1439_s_at	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	-0.406	1.862
1447_at	PSMB1	proteasome subunit beta 1	0.657	2.499
1449_at	PSMA4	proteasome subunit alpha 4	0.982	6.905
1450_g_at	PSMA4	proteasome subunit alpha 4	1.328	8.457
1452_at	LMO4	LIM domain only 4	0.941	4.942
1453_at	SMAD2	SMAD family member 2	0.575	2.083
1456_s_at	IFI16	interferon gamma inducible protein 16	1.448	6.938
1459_at	PTPN4	protein tyrosine phosphatase, non-receptor type 4	-0.262	2.757
145_s_at	TBX5	T-box 5	-0.611	5.564
1461_at	NFKBIA	NFKB inhibitor alpha	1.789	5.114
1462_s_at	POLD1	DAN polymerase delta 1, catalytic subunit	-0.606	4.747
1463_at	PTPN12	protein tyrosine phosphatase, non-receptor type 12	1.119	2.838
146_at	PI4KB	phosphatidylinositol 4-kinase beta	-0.418	4.581
1475_s_at	MYB	MYB proto-oncogene, transcription factor	-0.406	2.138
1476_s_at	MYB	MYB proto-oncogene, transcription factor	-0.594	5.247
1478_at	ITK	IL2 inducible T-cell kinase	1.513	6.584
1487_at	ESRRA	estrogen related receptor alpha	-0.411	2.429
1489_s_at	MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog	-0.257	2.022
1491_at	PTX3	pentraxin 3	0.703	2.921
1493_r_at	CYP2A6	cytochrome P450 family 2 subfamily A member 6	-0.722	2.115
1497_at	LTBR	lymphotoxin beta receptor	-0.318	3.457
1499_at	FNTA	farnesyltransferase, CAAX box, alpha	0.784	3.453
149_at	DDX39A	DEAD-box helicase 39A	1.117	7.253
1500_at	WT1	Wilms tumor 1	-0.621	3.613
1507_s_at	EDNRA	endothelin receptor type A	0.442	2.775
1511_at	SHC3	SHC adaptor protein 3	-0.312	2.247
1512_at	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	0.838	4.359
1515_at	FEN1	flap structure-specific endonuclease 1	0.252	2.039
1516_g_at	FEN1	flap structure-specific endonuclease 1	0.333	3.52
151_s_at	TUBB	tubulin beta class I	0.599	2.496
1521_at	NME1	NME/NM23 nucleoside diphosphate kinase 1	0.502	2.319
1527_s_at	N4BP2L1	NEDD4 binding protein 2 like 1	0.383	2.901
152_f_at	HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I	histone cluster 2, H4b///histone cluster 4, H4///histone cluster 2, H4a///histone cluster 1, H4l///histone cluster 1, H4e///histone cluster 1, H4b///histone cluster 1, H4h///histone cluster 1, H4c///histone cluster 1, H4j///histone cluster 1, H4k///histone cluster 1, H4f///histone cluster 1, H4d///histone cluster 1, H4a///histone cluster 1, H4i	-0.348	3.215
1532_g_at	N4BP2L2	NEDD4 binding protein 2 like 2	0.432	2.929
1537_at	EGFR	epidermal growth factor receptor	-0.313	3.045
1538_s_at	IL2	interleukin 2	-0.579	4.092
1541_f_at	IFNA6///IFNA5	interferon alpha 6///interferon alpha 5	0.521	4.463
1542_at	EGF	epidermal growth factor	-0.429	4.546
1546_at	HYAL1	hyaluronoglucosaminidase 1	-0.564	3.275
1548_s_at	IL10	interleukin 10	-0.314	3.181
1553_r_at	CYP2A13	cytochrome P450 family 2 subfamily A member 13	-0.508	4.533
1554_f_at	CYP2A13	cytochrome P450 family 2 subfamily A member 13	-0.252	2.135
1559_at	PAK2	p21 (RAC1) activated kinase 2	-0.71	4.031
1564_at	AKT1	AKT serine/threonine kinase 1	0.386	4.545
1568_s_at	IFNAR2	interferon alpha and beta receptor subunit 2	0.837	3.496
1572_s_at	INSR	insulin receptor	-0.437	2.864
1573_at	PDGFB	platelet derived growth factor subunit B	0.284	3.81
1576_g_at	ABCB4///ABCB1	ATP binding cassette subfamily B member 4///ATP binding cassette subfamily B member 1	-0.574	5.084
1579_at	OSM	oncostatin M	0.392	4.534
157_at	PRAME	preferentially expressed antigen in melanoma	-0.609	3.119
1583_at	TNFRSF1B	TNF receptor superfamily member 1B	2.055	7.031
1589_s_at	IFNAR2	interferon alpha and beta receptor subunit 2	0.507	2.194
1598_g_at	GAS6	growth arrest specific 6	-0.299	3.37
159_at	VEGFC	vascular endothelial growth factor C	0.38	2.889
160022_at	CSF1R	colony stimulating factor 1 receptor	0.433	2.197
160025_at	TGFA	transforming growth factor alpha	-0.385	2.462
160029_at	PRKCB	protein kinase C beta	1.385	6.704
160030_at	GHR	growth hormone receptor	-0.426	2.022
160033_s_at	XRCC1	X-ray repair cross complementing 1	-0.325	2.974
160038_s_at	INS	insulin	-0.23	1.953
160044_g_at	ACO2	aconitase 2	-1.095	4.721
1601_s_at	IGFBP5	insulin like growth factor binding protein 5	-0.405	2.536
1610_s_at	DHFR	dihydrofolate reductase	-0.359	3.255
1616_at	FGF9	fibroblast growth factor 9	-0.742	2.35
1619_g_at	CYP19A1	cytochrome P450 family 19 subfamily A member 1	-0.279	2.142
1624_at	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	0.364	2.498
1625_at	IGF1	insulin like growth factor 1	-0.607	2.798
1629_s_at	PTPN13	protein tyrosine phosphatase, non-receptor type 13	-0.41	3.413
162_at	USP11	ubiquitin specific peptidase 11	-0.783	4.889
1633_g_at	PIM2	Pim-2 proto-oncogene, serine/threonine kinase	1.212	5.868
1637_at	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	0.311	2.863
1659_s_at	RHEB	Ras homolog enriched in brain	0.65	2.709
1662_r_at			-0.826	4.411
1665_s_at	TYMP	thymidine phosphorylase	0.543	3.241
1666_at	IFNA1	interferon alpha 1	-0.633	4.837
166_at	GPR68	G protein-coupled receptor 68	-0.348	2.607
1675_at	RASA1	RAS p21 protein activator 1	0.546	5.214
1677_at	IGFBP5	insulin like growth factor binding protein 5	-0.553	3.791
1678_g_at	IGFBP5	insulin like growth factor binding protein 5	-0.508	2.29
1688_s_at	MNAT1	MNAT1, CDK activating kinase assembly factor	-0.413	2.4
1692_s_at	GFRA2	GDNF family receptor alpha 2	-0.336	1.846
1693_s_at	TIMP1	TIMP metallopeptidase inhibitor 1	1.97	10.588
1694_s_at	HNRNPU	heterogeneous nuclear ribonucleoprotein U	-0.587	2.858
1695_at	NEDD8	neural precursor cell expressed, developmentally down-regulated 8	0.434	3.562
169_at	CDX1	caudal type homeobox 1	-0.57	2.315
1701_at	TEP1	telomerase associated protein 1	-0.275	2.614
1706_at	ARAF	A-Raf proto-oncogene, serine/threonine kinase	-0.311	2.958
1707_g_at	ARAF	A-Raf proto-oncogene, serine/threonine kinase	-0.241	1.865
1711_at	TP53BP1	tumor protein p53 binding protein 1	0.434	3.772
1713_s_at	CDKN2A	cyclin dependent kinase inhibitor 2A	-0.467	3.327
1715_at	TNFSF10	tumor necrosis factor superfamily member 10	1.207	2.851
1717_s_at	BIRC3	baculoviral IAP repeat containing 3	2.984	8.258
1718_at	ARPC2	actin related protein 2/3 complex subunit 2	1.593	8.533
1719_at	MSH3	mutS homolog 3	-0.59	1.852
1720_at	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	-0.554	4.196
1722_at	MAP2K5	mitogen-activated protein kinase kinase 5	-0.353	2.108
1723_g_at	ERBB3	erb-b2 receptor tyrosine kinase 3	-0.595	5.861
1726_at	POLE	DNA polymerase epsilon, catalytic subunit	0.216	1.996
1732_at	FGF5	fibroblast growth factor 5	-0.525	2.392
1737_s_at	IGFBP4	insulin like growth factor binding protein 4	-0.818	2.364
1739_at	FOLH1B///FOLH1	folate hydrolase 1B///folate hydrolase (prostate-specific membrane antigen) 1	-0.751	2.483
1740_g_at	FOLH1B///FOLH1	folate hydrolase 1B///folate hydrolase (prostate-specific membrane antigen) 1	-0.951	5.651
1745_at	RET	ret proto-oncogene	-0.43	2.067
174_s_at	ITSN2	intersectin 2	1.161	4.517
1756_f_at	CYP3A4	cytochrome P450 family 3 subfamily A member 4	-0.609	4.457
1768_s_at	CSK	c-src tyrosine kinase	0.416	3.69
176_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	0.759	4.558
1771_s_at	PDGFRB	platelet derived growth factor receptor beta	-0.517	5.272
1776_at	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator	0.73	4.966
1781_at	ELK1	ELK1, ETS transcription factor	-0.367	2.968
1785_at	KDM5A	lysine demethylase 5A	0.684	4.661
1787_at	CDKN1C	cyclin dependent kinase inhibitor 1C	-0.361	2.456
1794_at	CCND3	cyclin D3	0.473	4.97
1795_g_at	CCND3	cyclin D3	0.912	8.57
1798_at	SLC39A6	solute carrier family 39 member 6	0.667	2.608
1801_at	BARD1	BRCA1 associated RING domain 1	0.61	5.6
1804_at	KLK3	kallikrein related peptidase 3	-0.429	3.343
1807_g_at	MCF2	MCF.2 cell line derived transforming sequence	-0.45	2.275
1810_s_at	PRKCD	protein kinase C delta	-0.347	1.929
1814_at	TGFBR2	transforming growth factor beta receptor 2	0.603	2.355
1815_g_at	TGFBR2	transforming growth factor beta receptor 2	0.955	3.444
1819_at	RAP2A	RAP2A, member of RAS oncogene family	0.467	3.847
1821_at	RAP2B	RAP2B, member of RAS oncogene family	0.319	2.959
1825_at	IQGAP1	IQ motif containing GTPase activating protein 1	1.375	5.583
1826_at	RHOB	ras homolog family member B	-0.288	1.86
1827_s_at	MYC	v-myc avian myelocytomatosis viral oncogene homolog	-0.512	2.984
182_at	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	0.622	3.084
1846_at	LGALS8	galectin 8	0.959	4.619
1848_at	RAP1A	RAP1A, member of RAS oncogene family	1.006	2.607
1849_s_at	ARID4A	AT-rich interaction domain 4A	-0.677	3.913
1851_s_at	FASLG	Fas ligand	-0.32	2.755
1870_at	PTPN11	protein tyrosine phosphatase, non-receptor type 11	-0.649	2.758
1876_at	RALA	RALA Ras like proto-oncogene A	-0.3	2.244
1884_s_at	PCNA	proliferating cell nuclear antigen	0.561	2.363
188_at	EFNB1	ephrin B1	0.254	1.907
1892_s_at	NTRK1	neurotrophic receptor tyrosine kinase 1	-0.393	2.527
1894_f_at	NF2	neurofibromin 2	-0.939	4.452
1897_at	TGFBR3	transforming growth factor beta receptor 3	-0.53	3.22
1898_at	TRIM29	tripartite motif containing 29	-0.687	5.044
1910_s_at	BCL2	BCL2, apoptosis regulator	0.28	1.939
1911_s_at	GADD45A	growth arrest and DNA damage inducible alpha	-0.787	2.257
1919_at	VAV1	vav guanine nucleotide exchange factor 1	0.638	2.286
1924_at	CCNH	cyclin H	0.372	1.981
192_at	TAF7	TATA-box binding protein associated factor 7	0.958	5.08
1935_at	MDM4	MDM4, p53 regulator	-0.533	5.444
1940_at	KRAS	KRAS proto-oncogene, GTPase	0.865	2.714
1941_at	SKP2	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase	-0.347	2.407
1944_f_at	MLH1	mutL homolog 1	-0.552	2.707
1946_at	WT1-AS	WT1 antisense RNA	-0.644	4.746
1947_g_at	WT1-AS	WT1 antisense RNA	-0.298	2.528
1951_at	ANGPT2	angiopoietin 2	0.251	2.032
1953_at	VEGFA	vascular endothelial growth factor A	-0.544	2.545
1956_s_at			-0.416	3.07
1959_at	AZIN1	antizyme inhibitor 1	0.818	2.228
195_s_at	CASP4	caspase 4	2.755	9.348
1964_g_at	FLT1	fms related tyrosine kinase 1	-0.592	4.572
1967_f_at			-0.555	4.301
1970_s_at	FGFR2	fibroblast growth factor receptor 2	-0.477	2.356
1972_s_at	MAP2	microtubule associated protein 2	-0.28	1.972
1975_s_at	IGF1	insulin like growth factor 1	-0.486	3.879
1978_at	ITGA2	integrin subunit alpha 2	-0.658	6.842
1981_s_at	MAX	MYC associated factor X	-0.363	2.62
1984_s_at	ARHGDIB	Rho GDP dissociation inhibitor beta	1.674	6.034
1988_at	PDGFRA	platelet derived growth factor receptor alpha	-0.557	4.714
1992_at	FHIT	fragile histidine triad	-0.457	3.616
1996_s_at	CCNF	cyclin F	-0.342	2.622
1998_i_at	BAX	BCL2 associated X, apoptosis regulator	-0.782	3.59
2003_s_at	MSH6	mutS homolog 6	0.47	3.979
2009_at	PTK2B	protein tyrosine kinase 2 beta	-0.49	3.208
2012_s_at	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	0.322	2.257
2014_s_at	MAP2K6	mitogen-activated protein kinase kinase 6	-0.591	3.385
201_s_at	B2M	beta-2-microglobulin	1.197	3.336
2022_at	AKT2	AKT serine/threonine kinase 2	-0.442	2.017
2024_s_at	LYN	LYN proto-oncogene, Src family tyrosine kinase	0.937	1.979
2027_at	S100A2	S100 calcium binding protein A2	0.894	3.038
2028_s_at	E2F1	E2F transcription factor 1	-0.324	2.128
2029_at	ARHGAP5	Rho GTPase activating protein 5	-0.839	3.032
202_at	HSF2	heat shock transcription factor 2	0.551	3.926
2036_s_at	CD44	CD44 molecule (Indian blood group)	1.59	3.971
203_at	GATA2	GATA binding protein 2	-0.323	1.937
2042_s_at	MYB	MYB proto-oncogene, transcription factor	-0.623	2.135
2044_s_at	RB1	RB transcriptional corepressor 1	1.199	5.171
2047_s_at	JUP	junction plakoglobin	-0.508	4.041
2050_s_at	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	1.153	8.346
2056_at	FGFR1	fibroblast growth factor receptor 1	0.344	3.143
2057_g_at	FGFR1	fibroblast growth factor receptor 1	0.427	3.147
205_g_at	HOXA4	homeobox A4	-0.475	2.411
2064_g_at	BIVM-ERCC5///ERCC5	BIVM-ERCC5 readthrough///ERCC excision repair 5, endonuclease	0.492	4.247
2065_s_at	BAX	BCL2 associated X, apoptosis regulator	-0.64	2.988
2066_at	BAX	BCL2 associated X, apoptosis regulator	-0.451	3.885
2068_s_at	E2F2	E2F transcription factor 2	-0.581	4.792
2071_s_at	MAPK8	mitogen-activated protein kinase 8	-0.59	5.001
2073_s_at	CDH13	cadherin 13	-0.47	2.702
2078_s_at	MYCN	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog	-0.597	6.412
2081_s_at	PRKCQ	protein kinase C theta	0.354	2.25
2082_s_at	CDH1	cadherin 1	-0.422	3.981
2088_s_at	EPHB2	EPH receptor B2	-0.77	3.032
2089_s_at	ERBB3	erb-b2 receptor tyrosine kinase 3	-0.411	1.959
213_at	ROR1	receptor tyrosine kinase like orphan receptor 1	-0.368	2.139
218_at	IK	IK cytokine, down-regulator of HLA II	0.714	3.389
220_r_at	MAP2	microtubule associated protein 2	-0.837	2.656
240_at	SRM	spermidine synthase	-0.2	2.101
245_at	SELL	selectin L	1.97	4.736
246_at	KLK1	kallikrein 1	-0.923	2.98
250_at	NFATC3	nuclear factor of activated T-cells 3	0.289	2.116
253_g_at	GPR18	G protein-coupled receptor 18	-0.407	1.992
254_at	H3F3AP4///H3F3B///H3F3A	H3 histone, family 3A, pseudogene 4///H3 histone, family 3B///H3 histone, family 3A	0.635	2.107
260_at	QDPR	quinoid dihydropteridine reductase	-0.839	3.026
265_s_at	SELE	selectin E	-0.586	3.578
268_at	PECAM1	platelet and endothelial cell adhesion molecule 1	0.753	4.036
270_at	CYP3A4	cytochrome P450 family 3 subfamily A member 4	-0.427	2.948
272_at	GRP	gastrin releasing peptide	-0.448	2.173
275_at	DUSP3	dual specificity phosphatase 3	-0.563	3.301
276_at	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1	1.029	2.817
277_at	MCL1	BCL2 family apoptosis regulator	1.751	7.225
279_at	NR4A1	nuclear receptor subfamily 4 group A member 1	-0.839	8.958
281_s_at	PPP3CA	protein phosphatase 3 catalytic subunit alpha	-0.328	2.401
288_s_at	LBR	lamin B receptor	1.335	6.196
292_s_at	CLK1	CDC like kinase 1	1.052	5.132
298_at	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming	-0.561	2.916
301_at	LOC100508689	mucin	-0.333	3.505
303_at	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1	-0.376	3.325
306_s_at	HMGN1	high mobility group nucleosome binding domain 1	0.827	3.275
310_s_at	MAPT	microtubule associated protein tau	-0.426	2.836
311_s_at	FN1	fibronectin 1	0.826	5.852
312_s_at	PTK2	protein tyrosine kinase 2	-0.62	2.048
31309_r_at			-0.776	2.189
31317_r_at	SKAP2///IGHG1	src kinase associated phosphoprotein 2///immunoglobulin heavy constant gamma 1 (G1m marker)	-0.474	3
31320_at	GPR12	G protein-coupled receptor 12	-0.494	3.473
31325_at			-0.614	3.708
31328_at	SLC34A1	solute carrier family 34 member 1	-1.084	4.895
31330_at	RPS19	ribosomal protein S19	0.862	3.809
31333_at	TLL1	tolloid like 1	-0.637	2.508
31339_at	PI15	peptidase inhibitor 15	-0.753	2.871
31342_at	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2	-0.5	4.253
31343_at	IL1RN	interleukin 1 receptor antagonist	-0.544	2.81
31346_at	DUX1	double homeobox 1	-0.344	3.075
