ID	Gene.symbol	Gene.title	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)
33839_at	ITPR2	inositol 1,4,5-trisphosphate receptor type 2	0.361	2.158
33841_at	FAM214B	family with sequence similarity 214 member B	-0.309	3.37
33842_at	FAM214B	family with sequence similarity 214 member B	-0.395	2.663
33843_g_at	FAM214B	family with sequence similarity 214 member B	-0.465	4.232
33844_at	CNOT9	CCR4-NOT transcription complex subunit 9	0.351	2.837
33845_at			0.918	3.037
33851_at	CFAP20	cilia and flagella associated protein 20	-0.529	4.689
33852_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	0.584	2.486
33862_at	PLPP3	phospholipid phosphatase 3	-0.463	2.426
33872_at	ADGRL2	adhesion G protein-coupled receptor L2	-0.431	2.753
33877_s_at	MTDH	metadherin	0.586	3.286
33878_at	EFHD1	EF-hand domain family member D1	-0.998	3.623
33880_at	ACSL3	acyl-CoA synthetase long-chain family member 3	0.45	1.988
33888_at	ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta	-0.233	2.233
33895_at	SH3YL1	SH3 and SYLF domain containing 1	-1.145	3.321
33899_at	ALDH9A1	aldehyde dehydrogenase 9 family member A1	-0.577	1.907
338_at	ATF6	activating transcription factor 6	-0.204	2.114
33902_at	GPD1	glycerol-3-phosphate dehydrogenase 1	-0.948	6.383
33905_at	MBD2	methyl-CpG binding domain protein 2	0.506	2.646
33908_at	CAPN1	calpain 1	0.86	4.411
33909_at	SF3B4	splicing factor 3b subunit 4	-0.481	3.379
33910_at	PTPRD	protein tyrosine phosphatase, receptor type D	-1.023	2.637
33913_at	PRRC2A	proline rich coiled-coil 2A	-0.421	3.105
33916_at	NISCH	nischarin	0.45	2.972
33918_s_at	HIRIP3	HIRA interacting protein 3	-0.267	3.193
33921_at	SLC37A4	solute carrier family 37 member 4	-1.038	4.727
33927_i_at	YLPM1	YLP motif containing 1	-0.353	1.95
33933_at	WFDC2	WAP four-disulfide core domain 2	1.196	5.949
33936_at	GALC	galactosylceramidase	0.661	2.016
33945_at	CD40LG	CD40 ligand	-0.322	1.879
33947_at	GPR3	G protein-coupled receptor 3	-0.331	2.59
33949_at	CRHR2	corticotropin releasing hormone receptor 2	-0.495	2.262
33955_at	IL12A	interleukin 12A	-0.523	2.261
33956_at	LY96	lymphocyte antigen 96	2.605	6.22
33961_at			0.348	2.621
33964_at	CRYGC	crystallin gamma C	-0.344	2.67
