ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)
1118_at	PTGER4	prostaglandin E receptor 4	-0.368	4.395
1119_at	RPA2	replication protein A2	0.596	5.598
1120_at	GSTM3	glutathione S-transferase mu 3	-0.616	2.64
1125_s_at	CD44	CD44 molecule (Indian blood group)	-0.516	7.646
1129_at	GBX1	gastrulation brain homeobox 1	-0.493	4.695
112_g_at	TAF1	TATA-box binding protein associated factor 1	-0.231	2.198
1132_s_at	RARG	retinoic acid receptor gamma	-0.359	3.408
1133_at	EN2	engrailed homeobox 2	-0.485	4.158
1134_at	TNK2	tyrosine kinase non receptor 2	-0.7	8.659
1136_at	DTYMK	deoxythymidylate kinase	-0.443	3.052
1138_at	SLC20A1	solute carrier family 20 member 1	-0.707	6.393
113_i_at	MAPT	microtubule associated protein tau	-0.658	4.042
1140_at	ITGAE	integrin subunit alpha E	0.493	2.776
1141_at	MC5R	melanocortin 5 receptor	-0.317	2.051
1142_at			-0.476	1.736
1143_s_at	FGFR2	fibroblast growth factor receptor 2	-0.251	2.316
1144_at	FGFR2	fibroblast growth factor receptor 2	-0.279	1.775
1145_g_at	FGFR2	fibroblast growth factor receptor 2	-0.564	3.786
1146_at	CD4	CD4 molecule	-0.559	6.312
1147_at	NR2F1	nuclear receptor subfamily 2 group F member 1	0.688	2.974
1149_at	TFEB	transcription factor EB	-0.584	4.547
114_r_at	MAPT	microtubule associated protein tau	-0.84	4.567
1151_at	RPL22	ribosomal protein L22	0.957	4.273
1152_i_at	CGB2///CGB1///CGB8///CGB7///CGB5///CGB3	chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///chorionic gonadotropin beta subunit 3	-0.841	2.439
1155_at	MYCLP1	MYCL pseudogene 1	-0.825	5.41
1156_at	SP1	Sp1 transcription factor	-0.197	1.568
1158_s_at	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1	-0.161	1.558
115_at	THBS1	thrombospondin 1	0.281	2.184
1161_at	HSP90AB1	heat shock protein 90 alpha family class B member 1	0.69	3.758
1163_at	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	-0.407	3.231
1166_at	PSMD2	proteasome 26S subunit, non-ATPase 2	0.418	2.462
1167_s_at	MMP15	matrix metallopeptidase 15	-0.899	5.246
1168_at	PCDHB17P	protocadherin beta 17 pseudogene	-1.035	3.246
1169_at	PCDHGB7	protocadherin gamma subfamily B, 7	-0.863	4.835
116_at	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha	-0.668	6.877
1173_g_at	SAT1	spermidine/spermine N1-acetyltransferase 1	0.549	2.147
1177_at			-0.416	3.969
1178_at	DHFR	dihydrofolate reductase	-0.409	1.514
1179_at	SNORD14D///SNORD14C///HSPA8	small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8	1	2.95
117_at	HSPA6	heat shock protein family A (Hsp70) member 6	-0.602	3.544
1180_g_at	SNORD14D///SNORD14C///HSPA8	small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8	0.37	1.678
