ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)
2072_at	CDH12	cadherin 12	-0.65	5.062
2073_s_at	CDH13	cadherin 13	-0.769	5.922
2074_at	GJA5	gap junction protein alpha 5	-0.309	2.526
2075_s_at	LOC100996792///MAP2K3	dual specificity mitogen-activated protein kinase kinase 3///mitogen-activated protein kinase kinase 3	-0.22	2.516
2077_at	ITGA6	integrin subunit alpha 6	0.355	1.891
2078_s_at	MYCN	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog	-0.911	11.212
2079_s_at	IGF2	insulin like growth factor 2	-0.538	3.574
2080_s_at	ERCC6	ERCC excision repair 6, chromatin remodeling factor	-0.639	1.971
2082_s_at	CDH1	cadherin 1	-0.705	8.598
2083_at	CCKBR	cholecystokinin B receptor	-0.605	1.546
2084_s_at	ETV4	ETS variant 4	-0.869	3.156
2085_s_at	CTNNA1	catenin alpha 1	1.562	5.129
2087_s_at	CDH11	cadherin 11	0.611	1.846
208_at	CTNNA2	catenin alpha 2	-0.853	2.797
2090_i_at	WNT6	Wnt family member 6	-0.425	2.09
2091_at	WNT4	Wnt family member 4	-0.455	3.192
2093_s_at	XRCC5	X-ray repair cross complementing 5	1.111	6.095
2094_s_at	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	-0.654	5.701
209_at	NRG1	neuregulin 1	-0.529	3.798
210_at	PLCB2	phospholipase C beta 2	-0.705	9.268
211_at	DR1	down-regulator of transcription 1	-0.213	1.636
212_at	ROR2	receptor tyrosine kinase like orphan receptor 2	-0.268	2.138
213_at	ROR1	receptor tyrosine kinase like orphan receptor 1	-0.707	5.882
214_at	MSX1	msh homeobox 1	-0.344	3.069
215_g_at	MSX1	msh homeobox 1	-0.191	1.542
218_at	IK	IK cytokine, down-regulator of HLA II	0.986	5.899
220_r_at	MAP2	microtubule associated protein 2	-1.338	5.553
222_at	EXT1	exostosin glycosyltransferase 1	-0.188	1.807
224_at	KLF10	Kruppel like factor 10	0.829	2.287
225_at	GNB3	G protein subunit beta 3	-0.562	4.926
226_at	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	1.424	6.109
227_g_at	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	1.599	5.709
228_at	RALB	RALB Ras like proto-oncogene B	0.441	1.862
229_at	CEBPZ	CCAAT/enhancer binding protein zeta	0.448	3.086
230_s_at	FSHB	follicle stimulating hormone beta subunit	-0.765	3.144
231_at	TGM2	transglutaminase 2	-0.371	4.254
235_at	S100B	S100 calcium binding protein B	-0.793	5.359
237_s_at	PPP2CA	protein phosphatase 2 catalytic subunit alpha	0.977	7.658
240_at	SRM	spermidine synthase	-0.401	6.136
241_g_at	SRM	spermidine synthase	-0.266	3.429
247_s_at	CYP21A1P///CYP21A2	cytochrome P450 family 21 subfamily A member 1, pseudogene///cytochrome P450 family 21 subfamily A member 2	-0.425	4.177
248_at	COPS2	COP9 signalosome subunit 2	0.586	2.333
249_at	NFATC4	nuclear factor of activated T-cells 4	-0.461	4.73
252_at	GPR18	G protein-coupled receptor 18	-0.457	4.747
253_g_at	GPR18	G protein-coupled receptor 18	-0.935	7.016
255_s_at	INHA	inhibin alpha subunit	-0.681	8.908
256_s_at	RPSAP9///SNORA6///RPSAP58///RPSAP15///SNORA62///RPSA	ribosomal protein SA pseudogene 9///small nucleolar RNA, H/ACA box 6///ribosomal protein SA pseudogene 58///ribosomal protein SA pseudogene 15///small nucleolar RNA, H/ACA box 62///ribosomal protein SA	0.755	1.86
257_at	ITGAV	integrin subunit alpha V	1.016	5.921
258_at	LTA	lymphotoxin alpha	-0.511	4.425
259_s_at	TNF	tumor necrosis factor	-0.237	2.017
260_at	QDPR	quinoid dihydropteridine reductase	1.254	6.153
262_at	AMD1	adenosylmethionine decarboxylase 1	0.775	4.17
263_g_at	AMD1	adenosylmethionine decarboxylase 1	0.426	3.466
264_at	ADRA2A	adrenoceptor alpha 2A	-0.447	4.992
265_s_at	SELE	selectin E	-0.303	1.631
266_s_at	CD24	CD24 molecule	1.026	1.932
268_at	PECAM1	platelet and endothelial cell adhesion molecule 1	0.404	1.835
269_at	OASL	2'-5'-oligoadenylate synthetase like	-0.323	3.799
270_at	CYP3A4	cytochrome P450 family 3 subfamily A member 4	-0.548	4.732
271_s_at	CTSE	cathepsin E	-0.59	4.734
272_at	GRP	gastrin releasing peptide	-0.993	7.095
273_g_at	GRP	gastrin releasing peptide	-0.351	4.016
276_at	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1	1.335	4.483
277_at	MCL1	BCL2 family apoptosis regulator	1.091	4.919
278_at	NPR2	natriuretic peptide receptor 2	-0.417	3.166
279_at	NR4A1	nuclear receptor subfamily 4 group A member 1	-0.567	6.356
280_g_at	NR4A1	nuclear receptor subfamily 4 group A member 1	-0.667	5.966
281_s_at	PPP3CA	protein phosphatase 3 catalytic subunit alpha	-0.439	4.122
282_at	KIF20B	kinesin family member 20B	-0.47	4.875
283_at	UQCRC1	ubiquinol-cytochrome c reductase core protein I	1.064	4.428
284_at	HIST1H2AH///HIST1H2AG///HIST1H2AM///HIST1H2AL///HIST1H2AK///HIST1H2AI	histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2am///histone cluster 1, H2al///histone cluster 1, H2ak///histone cluster 1, H2ai	-0.829	5.605
287_at	ATF3	activating transcription factor 3	-0.74	1.703
288_s_at	LBR	lamin B receptor	1.131	5.572
290_s_at	GPR3	G protein-coupled receptor 3	-0.543	7.535
291_s_at	TACSTD2	tumor-associated calcium signal transducer 2	0.933	2.054
292_s_at	CLK1	CDC like kinase 1	0.896	4.633
293_at	VENTXP7	VENT homeobox pseudogene 7	-0.373	5.145
294_s_at	CDK11A///CDK11B	cyclin dependent kinase 11A///cyclin dependent kinase 11B	-0.453	6.281
296_at	TUBB2A	tubulin beta 2A class IIa	1.074	3.729
297_g_at	TUBB2A	tubulin beta 2A class IIa	0.742	4.834
298_at	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming	-0.943	6.466
299_i_at			-0.644	2.628
301_at	LOC100508689	mucin	-0.8	10.993
302_at			-0.672	5.283
303_at	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1	-0.725	8.476
305_g_at	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2	0.501	5.121
306_s_at	HMGN1	high mobility group nucleosome binding domain 1	1.223	6.02
307_at	ALOX5	arachidonate 5-lipoxygenase	-0.535	3.382
308_f_at	GH2	growth hormone 2	-0.349	2.367
309_f_at	GH2	growth hormone 2	-0.283	1.897
311_s_at	FN1	fibronectin 1	0.341	1.896
312_s_at	PTK2	protein tyrosine kinase 2	-0.774	3.215
31308_at			-0.623	2.683
31309_r_at			-1.185	4.444
31310_at	GLRA1	glycine receptor alpha 1	-0.296	2.226
31311_at			-0.395	2.947
31312_at	KCNB2	potassium voltage-gated channel subfamily B member 2	-2.083	6.571
31316_at			-0.452	1.795
31317_r_at	SKAP2///IGHG1	src kinase associated phosphoprotein 2///immunoglobulin heavy constant gamma 1 (G1m marker)	-0.967	8.736
31318_at	KITLG	KIT ligand	-0.562	2.294
31320_at	GPR12	G protein-coupled receptor 12	-0.741	6.751
31321_at			-0.378	3.347
31322_at	YME1L1	YME1 like 1 ATPase	-0.472	1.703
31323_r_at	SLC1A2	solute carrier family 1 member 2	-0.594	4.832
31325_at			-0.864	6.483
31326_at	C1orf68	chromosome 1 open reading frame 68	-0.516	3.95
31327_at	IGHV3-23///IGHV4-31///IGHM///IGHG1///IGHA1	immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 1	-0.534	2.918
31328_at	SLC34A1	solute carrier family 34 member 1	1.008	4.692
31330_at	RPS19	ribosomal protein S19	0.398	1.529
31331_at			-0.408	3.09
31332_at			-0.67	5.089
31333_at	TLL1	tolloid like 1	-0.783	3.821
31334_at	GPR45	G protein-coupled receptor 45	-0.922	3.825
31335_at	IGF1R	insulin like growth factor 1 receptor	-0.458	6.331
31336_at	ZNF749	zinc finger protein 749	-0.527	1.507
31337_at	GNRH2	gonadotropin releasing hormone 2	-1.503	6.466
31339_at	PI15	peptidase inhibitor 15	-1.196	5.937
31340_at	MMP20	matrix metallopeptidase 20	-0.63	3.267
31341_at	KCNC3	potassium voltage-gated channel subfamily C member 3	-0.451	3.548
31342_at	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2	-0.59	5.949
31343_at	IL1RN	interleukin 1 receptor antagonist	-0.873	5.881
31346_at	DUX1	double homeobox 1	-0.418	4.587
31348_at			-0.486	2.205
31349_at	PPBPP2	pro-platelet basic protein pseudogene 2	-0.549	2.105
31350_at	OR10H3	olfactory receptor family 10 subfamily H member 3	-1.128	3.839
31351_at			-0.827	4.362
31352_at	RNASE1	ribonuclease A family member 1, pancreatic	-0.508	1.801
31353_f_at	FOXE1	forkhead box E1	-0.413	3.047
31354_r_at	FOXE1	forkhead box E1	-0.619	5.392
31355_at	ASCL2	achaete-scute family bHLH transcription factor 2	-0.296	2.779
31356_at	JAKMIP1	janus kinase and microtubule interacting protein 1	-0.332	2.341
31357_at			-0.306	2.4
31358_at			-0.323	2.495
31359_at	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	-0.618	3.555
31361_at			-0.605	3.707
31363_at			-0.736	7.492
31364_i_at	NFAT5	nuclear factor of activated T-cells 5	-0.873	5.054
31365_f_at	NFAT5	nuclear factor of activated T-cells 5	-0.335	1.637
31367_at	TTLL5	tubulin tyrosine ligase like 5	-0.503	2.829
31369_at			-0.434	2.869
31372_at	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	-0.494	4.199
31373_at			-0.52	5.051
31374_at			-0.333	2.681
31376_at			-0.542	2.101
31377_r_at			-0.525	5.641
31378_at	PITX3	paired like homeodomain 3	-0.535	5.787
31380_at	ERN1	endoplasmic reticulum to nucleus signaling 1	-0.249	1.694
31381_at	PGLYRP1	peptidoglycan recognition protein 1	-0.246	1.725
31383_at	LOC643733	caspase 4, apoptosis-related cysteine peptidase pseudogene	-0.534	3.726
31384_at			-0.442	3.978
31385_at	MIR6805///RPL28	microRNA 6805///ribosomal protein L28	0.674	2.235
31387_at			-0.451	4.89
31389_at			-0.348	1.584
31391_at	HAP1	huntingtin associated protein 1	-0.596	6.918
31392_r_at	ERC2-IT1	ERC2 intronic transcript 1	-0.322	1.726
31393_r_at	UTF1	undifferentiated embryonic cell transcription factor 1	-1.378	8.478
31394_at	SERPINI2	serpin family I member 2	-0.5	1.783
31396_r_at	MSI1	musashi RNA binding protein 1	-0.907	7.576
31398_at	ABCB11	ATP binding cassette subfamily B member 11	-0.648	6.414
31399_at	BMP10	bone morphogenetic protein 10	-0.685	5.602
313_at	GTF2A1	general transcription factor IIA subunit 1	-0.541	5.934
31404_at	GRK1	G protein-coupled receptor kinase 1	-0.515	3.185
31405_at	MTNR1B	melatonin receptor 1B	-0.359	4.796
31406_at	GPR50	G protein-coupled receptor 50	-0.401	5.444
31408_at	RRH	retinal pigment epithelium-derived rhodopsin homolog	-0.301	2.983
31409_at	SERPINB10	serpin family B member 10	-0.661	5.397
31410_at	TNFRSF13B	TNF receptor superfamily member 13B	-0.208	1.531
31411_at	BPY2	basic charge, Y-linked, 2	-0.375	2.297
31412_at	LOC100509646///PRY2///PRY	PTPN13-like protein, Y-linked-like///PTPN13-like, Y-linked 2///PTPN13-like, Y-linked	-0.227	2.116
31415_at	XKRY2///XKRY	XK related, Y-linked 2///XK related, Y-linked	-0.576	6.898
31418_at			-0.373	1.769
31419_r_at			-0.989	7.672
31420_at			-0.461	3.782
31423_at			-1.636	6.393
31425_g_at	OR2F2///OR2F1	olfactory receptor family 2 subfamily F member 2///olfactory receptor family 2 subfamily F member 1 (gene/pseudogene)	-0.516	4.177
31426_at	GPR15	G protein-coupled receptor 15	-0.264	2.466
31427_at			0.686	4.372
31429_at	YME1L1	YME1 like 1 ATPase	-0.834	5.479
31430_at			-0.343	2.8
31431_at	FCGRT	Fc fragment of IgG receptor and transporter	0.803	4.755
31432_g_at	FCGRT	Fc fragment of IgG receptor and transporter	0.658	6.103
31435_at	ADAM7	ADAM metallopeptidase domain 7	-0.802	6.807
31437_r_at	ESR2	estrogen receptor 2	-0.478	3.394
31440_at	TCF7	transcription factor 7 (T-cell specific, HMG-box)	-0.637	8.419
31441_at	ECRP	ribonuclease A family member 2 pseudogene	-0.779	6.408
31443_at	LOC101928269///LOC100506403///RUNX1	uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1	-0.404	3.221
31444_s_at	ANXA2P3///ANXA2P1///ANXA2	annexin A2 pseudogene 3///annexin A2 pseudogene 1///annexin A2	0.695	4.093
31446_s_at	SMR3A///SMR3B	submaxillary gland androgen regulated protein 3A///submaxillary gland androgen regulated protein 3B	0.252	2.264
31450_s_at	RIT2	Ras like without CAAX 2	-0.283	1.867
31451_at	ARHGAP1	Rho GTPase activating protein 1	-0.539	6.426
31452_at	SMNP	survival of motor neuron 1, telomeric pseudogene	-0.366	2.711
31453_s_at	LILRA1	leukocyte immunoglobulin like receptor A1	-0.703	5.593
31455_r_at			-0.463	2.195
31456_at			-0.591	3.373
31457_at	FOXD2	forkhead box D2	-0.702	6.605
31458_at	KRT76	keratin 76	-0.424	4.035
31459_i_at	IGLV1-44	immunoglobulin lambda variable 1-44	-0.722	2.111
31461_at			-0.553	1.938
31462_f_at	SSX5	SSX family member 5	-0.823	6.972
31463_s_at	LOC101929491///HNRNPA1P33///HNRNPA1P10///HNRNPA1L2///HNRNPA1	uncharacterized LOC101929491///heterogeneous nuclear ribonucleoprotein A1 pseudogene 33///heterogeneous nuclear ribonucleoprotein A1 pseudogene 10///heterogeneous nuclear ribonucleoprotein A1-like 2///heterogeneous nuclear ribonucleoprotein A1	0.879	2.15
31465_g_at	DCT	dopachrome tautomerase	-0.456	7.003
31466_at	HLA-DRB6	major histocompatibility complex, class II, DR beta 6 (pseudogene)	-0.409	3.72
31467_at	HLA-DOA	major histocompatibility complex, class II, DO alpha	-0.536	5.578
31469_s_at	RUBCN	RUN and cysteine rich domain containing beclin 1 interacting protein	-0.851	6.155
31470_at	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	-0.52	2.942
31471_at	ZNF674	zinc finger protein 674	-0.49	5.039
31472_s_at	CD44	CD44 molecule (Indian blood group)	-0.372	2.89
31475_at	TNKS	tankyrase	-0.365	2.114
31476_g_at	TNKS	tankyrase	-0.791	5.92
31479_f_at	LOC1720	dihydrofolate reductase pseudogene	-0.733	3.478
31480_f_at	MAGEA12	MAGE family member A12	-0.71	3.071
31482_at	CELP	carboxyl ester lipase pseudogene	-0.395	2.669
31484_at			-0.5	3.202
31486_s_at	MN1	MN1 proto-oncogene, transcriptional regulator	-0.358	2.817
31488_s_at	PGK1	phosphoglycerate kinase 1	1.757	6.24
31490_at	SCN5A	sodium voltage-gated channel alpha subunit 5	-0.357	4.269
31491_s_at	CASP8	caspase 8	-0.655	3.494
31492_at	EIF3K	eukaryotic translation initiation factor 3 subunit K	0.81	2.516
31494_at			-0.927	5.109
31495_at	XCL2	X-C motif chemokine ligand 2	-0.366	3.333
31497_at	GAGE8///GAGE2A///GAGE2D///GAGE13///GAGE2B///GAGE2E///GAGE2C///GAGE1	G antigen 8///G antigen 2A///G antigen 2D///G antigen 13///G antigen 2B///G antigen 2E///G antigen 2C///G antigen 1	-1.083	2.057
314_at	PIGB	phosphatidylinositol glycan anchor biosynthesis class B	0.3	2.415
31500_at			-0.538	2.372
31501_at			-1.098	3.908
31502_at	PKP1	plakophilin 1	-0.537	4.53
31503_at			0.595	2.314
31504_at	HDLBP	high density lipoprotein binding protein	0.358	2.273
31507_at	KMT2D	lysine methyltransferase 2D	-0.776	8.464
31508_at	TXNIP	thioredoxin interacting protein	0.549	2.682
31510_s_at	MIR4738///H3F3B///H3F3A	microRNA 4738///H3 histone, family 3B///H3 histone, family 3A	1.12	3.199
31511_at	RPS9	ribosomal protein S9	0.338	3.253
31513_at	LBX1	ladybird homeobox 1	-0.619	3.555
31514_at	DOK2	docking protein 2	-0.272	2.887
31516_f_at	BTF3P11	basic transcription factor 3 pseudogene 11	0.26	1.561
31518_i_at	BTF3P13	basic transcription factor 3 pseudogene 13	-0.5	3.003
31520_at	CBX2	chromobox 2	-0.372	4.752
31522_f_at	HIST1H2BC///HIST1H2BI///HIST1H2BE///HIST1H2BF///HIST1H2BG	histone cluster 1, H2bc///histone cluster 1, H2bi///histone cluster 1, H2be///histone cluster 1, H2bf///histone cluster 1, H2bg	-0.36	2.676
31525_s_at	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	1.379	3.395
31526_f_at	CCDC144B///USP32P2///USP32P1///USP32///USP6	coiled-coil domain containing 144B (pseudogene)///ubiquitin specific peptidase 32 pseudogene 2///ubiquitin specific peptidase 32 pseudogene 1///ubiquitin specific peptidase 32///ubiquitin specific peptidase 6	1.237	3.925
31527_at	SNORA64///RPS2	small nucleolar RNA, H/ACA box 64///ribosomal protein S2	0.78	3.154
31528_f_at	HIST1H2BM	histone cluster 1, H2bm	-0.602	5.734
31533_s_at	KCND3	potassium voltage-gated channel subfamily D member 3	-0.874	6.986
31536_at	RTN4	reticulon 4	0.822	2.49
31538_at	RPLP0	ribosomal protein lateral stalk subunit P0	0.528	2.511
31540_at	TNFRSF9	TNF receptor superfamily member 9	-0.405	2.658
31542_at	FLG	filaggrin	-0.579	4.155
31543_at	OPRPN	opiorphin prepropeptide	-0.426	3.189
31544_at	FOXI1	forkhead box I1	-0.408	2.307
31546_at	RPL18	ribosomal protein L18	0.56	1.969
31548_at	ADPRH	ADP-ribosylarginine hydrolase	-0.508	7.915
31549_at	MAS1	MAS1 proto-oncogene, G protein-coupled receptor	-0.389	3.589
31550_at	ADRB1	adrenoceptor beta 1	-0.607	3.371
31551_at	GABRR2	gamma-aminobutyric acid type A receptor rho2 subunit	-0.513	4.755
31553_at	ZNF460	zinc finger protein 460	-0.407	1.639
31554_at	CHRND	cholinergic receptor nicotinic delta subunit	-0.542	5.812
31556_at	YME1L1	YME1 like 1 ATPase	-0.306	2.577
31557_at	TMSB4X	thymosin beta 4, X-linked	0.634	4.549
31561_at			-0.447	4.424
31562_at	GRK1	G protein-coupled receptor kinase 1	-0.502	2.348
31563_at	TRBV16	T cell receptor beta variable 16 (gene/pseudogene)	-0.727	5.789
31565_at	Igk	immunoglobulin kappa chain complex	-0.291	2.856
31569_at	SLC1A7	solute carrier family 1 member 7	-0.42	2.058
31570_at	SIM1	single-minded family bHLH transcription factor 1	-0.446	3.539
31572_at	S100A12	S100 calcium binding protein A12	-0.65	7.474
31575_f_at			-0.726	3.184
31576_at			-0.526	2.145
31579_at	LINC00302	long intergenic non-protein coding RNA 302	-0.532	4.173
31585_at	LOC100996542///GRM7	uncharacterized LOC100996542///glutamate metabotropic receptor 7	-0.729	5.706
31586_f_at	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant	1.69	1.975
31587_at	LOC101930602///SLC14A2	putative uncharacterized protein encoded by LINC00596-like///solute carrier family 14 member 2	-0.545	4.372
31588_at			-0.355	2.043
31590_g_at	OR2H1///OR2H2	olfactory receptor family 2 subfamily H member 1///olfactory receptor family 2 subfamily H member 2	-0.533	2.852
31591_s_at	CFHR4	complement factor H related 4	-0.601	3.049
31592_at			-0.423	4.536
31595_at	SARDH	sarcosine dehydrogenase	0.275	2.01
31597_r_at	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	-1.089	9.844
31598_s_at	GALE	UDP-galactose-4-epimerase	0.287	2.368
31599_f_at	MAGEA6///MAGEA3	MAGE family member A6///MAGE family member A3	-0.407	5.468
31600_s_at	PMS2P9///PMS2P5///PMS2P4///PMS2P2///PMS2P1	PMS1 homolog 2, mismatch repair system component pseudogene 9///PMS1 homolog 2, mismatch repair system component pseudogene 5///PMS1 homolog 2, mismatch repair system component pseudogene 4///PMS1 homolog 2, mismatch repair system component pseudogene 2///PMS1 homolog 2, mismatch repair system component pseudogene 1	1.128	9.724
31601_s_at	RBMY1J///RBMY1E///RBMY1D///RBMY1B///RBMY1F///RBMY3AP///RBMY1A1	RNA binding motif protein, Y-linked, family 1, member J///RNA binding motif protein, Y-linked, family 1, member E///RNA binding motif protein, Y-linked, family 1, member D///RNA binding motif protein, Y-linked, family 1, member B///RNA binding motif protein, Y-linked, family 1, member F///RNA binding motif protein, Y-linked, family 3, member A pseudogene///RNA binding motif protein, Y-linked, family 1, member A1	-0.257	2.303
31602_at	TBX6	T-box 6	-0.847	10.678
31603_at	AIM2	absent in melanoma 2	-0.716	4.357
31604_at	GNAS	GNAS complex locus	-0.503	5.266
31605_at	DSTNP2	destrin, actin depolymerizing factor pseudogene 2	1.351	10.36
31606_at	RIMS1	regulating synaptic membrane exocytosis 1	-0.396	3.119
31608_g_at	VDAC1	voltage dependent anion channel 1	1.428	8.007
31611_s_at	BCL2L11	BCL2 like 11	-0.716	4.096
31613_at	LAMB4	laminin subunit beta 4	-0.811	4.113
31616_r_at	CD44	CD44 molecule (Indian blood group)	-0.799	3.011
31617_at	PDPN	podoplanin	-0.961	4.017
31624_at	ALX3	ALX homeobox 3	-0.39	3.985
31625_at	TTC39A	tetratricopeptide repeat domain 39A	-0.525	1.581
31626_i_at	AOC4P	amine oxidase, copper containing 4, pseudogene	-0.423	3.578
31627_f_at	AOC4P	amine oxidase, copper containing 4, pseudogene	-0.895	10.294
31630_at	RBM17	RNA binding motif protein 17	-0.678	1.81
31632_at	ZNF259P1	zinc finger protein 259 pseudogene 1	-0.314	2.654
31633_g_at	ZNF259P1///ZPR1	zinc finger protein 259 pseudogene 1///ZPR1 zinc finger	-0.354	1.852
31634_at	PRH1	proline rich protein HaeIII subfamily 1	-0.535	1.698
31635_g_at	PRH1	proline rich protein HaeIII subfamily 1	-1.061	8.051
31636_s_at	SLC18A3	solute carrier family 18 member A3	-0.358	3.47
31637_s_at	NR1D1///THRA	nuclear receptor subfamily 1 group D member 1///thyroid hormone receptor, alpha	-0.464	4.502
31639_f_at	SOX1	SRY-box 1	-0.524	3.862
31640_r_at	SOX1	SRY-box 1	-0.848	7.235
31643_at	NEU3	neuraminidase 3	-0.658	4.038
31644_at	CCL27	C-C motif chemokine ligand 27	-0.341	3.563
31647_at	CAPN11	calpain 11	-0.32	3.01
31650_g_at	KIF25-AS1	KIF25 antisense RNA 1	-1.616	6.092
31652_at	MYH15	myosin heavy chain 15	-1.154	5.401
31653_at	SLC6A2	solute carrier family 6 member 2	-0.536	3.343
31656_at	DKFZP547J0410	DKFZP547J0410 protein	-0.765	4.227
31657_at	LOC100287387	uncharacterized LOC100287387	-0.416	1.636
31659_at	LRIT1	leucine rich repeat, Ig-like and transmembrane domains 1	-0.549	5.019
31660_at	DKFZP434A062	uncharacterized LOC26102	-0.72	6.174
31662_at	VPS45	vacuolar protein sorting 45 homolog	-0.946	6.1
31663_at	HGC6.3	uncharacterized LOC100128124	-0.734	5.673
31664_at	AGFG2	ArfGAP with FG repeats 2	-0.59	2.824
31666_f_at	RASSF2	Ras association domain family member 2	-0.527	2.155
31667_r_at	NR2E3	nuclear receptor subfamily 2 group E member 3	-0.429	3.723
31668_f_at			-0.559	2.385
31670_s_at	SRP72	signal recognition particle 72	1.096	6.919
31674_s_at	BRD3	bromodomain containing 3	-0.35	3.691
31675_s_at	PTENP1///PTEN	phosphatase and tensin homolog pseudogene 1///phosphatase and tensin homolog	0.89	2.459
31678_at			-0.809	3.009
31680_at	TOP1P2	topoisomerase (DNA) I pseudogene 2	0.914	5.113
31681_at	EPOR	erythropoietin receptor	-0.362	2.714
31682_s_at	VCAN	versican	0.408	2.597
31683_at	THRA1/BTR	uncharacterized LOC105371807	-0.394	1.754
31684_at	ANXA2P1	annexin A2 pseudogene 1	1.041	4.973
31685_at	FEV	FEV, ETS transcription factor	-0.727	5.326
31687_f_at	HBB	hemoglobin subunit beta	1.563	4.349
31690_at	GLUD2	glutamate dehydrogenase 2	1.147	8.082
31691_g_at	GLUD1	glutamate dehydrogenase 1	1.177	6.442
31692_at	HSPA1L///HSPA1B///HSPA1A	heat shock protein family A (Hsp70) member 1 like///heat shock protein family A (Hsp70) member 1B///heat shock protein family A (Hsp70) member 1A	0.995	2.611
31693_f_at	HIST1H3D///HIST1H2AD	histone cluster 1, H3d///histone cluster 1, H2ad	-0.792	3.1
31695_g_at	DDI2///RSC1A1	DNA damage inducible 1 homolog 2///regulatory solute carrier protein, family 1, member 1	-0.678	1.603
31698_at	FOXC2	forkhead box C2	-0.377	4.654
316_g_at	PRDM2	PR/SET domain 2	0.432	1.524
31700_at	GPR35	G protein-coupled receptor 35	-0.219	2.452
31701_r_at	HAB1	B1 for mucin	-0.751	4.614
31703_at	CHRNA6	cholinergic receptor nicotinic alpha 6 subunit	-0.356	2.466
31704_at	DNASE1L2	deoxyribonuclease 1 like 2	-0.263	3.36
31705_at	SLURP1	secreted LY6/PLAUR domain containing 1	-0.413	6.186
31707_at	ZNF10	zinc finger protein 10	-0.587	2.795
31708_at	RPL30	ribosomal protein L30	0.553	1.741
31710_at	YME1L1	YME1 like 1 ATPase	-0.589	6.031
31713_s_at	DLGAP2	DLG associated protein 2	-0.403	2.1
31715_at	TEX28	testis expressed 28	-0.252	1.909
31716_at	PCDH1	protocadherin 1	-0.196	1.579
31720_s_at	FN1	fibronectin 1	1.057	6.068
31722_at	SNORD83B///SNORD139///RPL3	small nucleolar RNA, C/D box 83B///small nucleolar RNA, C/D box 139///ribosomal protein L3	0.536	1.545
31724_at	SHH	sonic hedgehog	-0.35	3.996
31725_s_at	ABCA2	ATP binding cassette subfamily A member 2	-0.774	5.463
31726_at	GABRA3	gamma-aminobutyric acid type A receptor alpha3 subunit	0.435	1.771
31728_at	HLA-DOA	major histocompatibility complex, class II, DO alpha	0.358	1.677
31730_at	HIST1H1T	histone cluster 1, H1t	-0.5	4.563
31731_at	CBX4	chromobox 4	-0.921	4.428
31733_at	P2RX3	purinergic receptor P2X 3	-0.816	7.158
31734_at	HOXC11	homeobox C11	-0.696	4.782
31735_at	PPP1R2P9	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 9	-0.469	4.933
31739_at			-0.814	4.782
31740_s_at	PAX4	paired box 4	-0.838	8.595
31741_at	PAX4	paired box 4	-0.87	2.38
31745_at	MUC3B///MUC3A	mucin 3B, cell surface associated///mucin 3A, cell surface associated	-0.174	1.707
31746_at	POM121L2	POM121 transmembrane nucleoporin like 2	-0.316	2.919
31747_g_at	POM121L2	POM121 transmembrane nucleoporin like 2	-0.654	6.457
31748_at	POM121L2	POM121 transmembrane nucleoporin like 2	-0.84	7.766
31749_f_at	HIST1H2AK	histone cluster 1, H2ak	0.356	1.555
31750_at	HIST1H1B	histone cluster 1, H1b	-0.466	3.681
31753_at	NALCN-AS1	NALCN antisense RNA 1	-0.183	1.569
31754_at	ABCA12	ATP binding cassette subfamily A member 12	-0.404	2.697
31755_at	EN2	engrailed homeobox 2	-0.516	5.099
31757_at	STK35	serine/threonine kinase 35	-0.763	7.606
31759_at	SAG	S-antigen visual arrestin	-0.683	7.899
31760_at	SAG	S-antigen visual arrestin	-1.068	6.669
31762_at			-0.903	5.443
31763_at	OR7A5	olfactory receptor family 7 subfamily A member 5	-0.395	2.186
31765_at	DOCK10	dedicator of cytokinesis 10	-0.608	2.134
31766_s_at	DOCK10	dedicator of cytokinesis 10	-0.558	6.221
