ID	Gene.symbol	Gene.title	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)
32725_at	BID	BH3 interacting domain death agonist	0.413	2.279
32734_at	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon	-0.492	1.804
32735_at	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	-0.314	2.056
32736_at	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	1.141	6.202
32737_at	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	0.811	9.324
32738_at	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	-0.752	3.624
32745_at	MRPL40	mitochondrial ribosomal protein L40	-0.817	4.609
32747_at	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	-1.568	7.183
32750_r_at	FLNA	filamin A	0.413	2.653
32753_at	SF3B3	splicing factor 3b subunit 3	0.446	4.548
32756_at	ECH1	enoyl-CoA hydratase 1	-0.674	3.774
32757_at	RAE1	ribonucleic acid export 1	0.297	1.948
32761_at	SRRM2	serine/arginine repetitive matrix 2	0.702	6.214
32768_at	TDRD3	tudor domain containing 3	-0.36	1.76
32769_at	WDFY3	WD repeat and FYVE domain containing 3	-0.804	1.915
32771_at	GC	GC, vitamin D binding protein	-0.957	1.824
32773_at	LOC100509457///HLA-DQA1	HLA class II histocompatibility antigen, DQ alpha 1 chain-like///major histocompatibility complex, class II, DQ alpha 1	1.495	3.626
32777_at	WRB	tryptophan rich basic protein	-0.788	5.905
32780_at	DST	dystonin	-1.135	5.05
32781_f_at	DST	dystonin	-1.316	3.629
32783_at	FBLN2	fibulin 2	0.255	2.32
32784_at	PRPF4B	pre-mRNA processing factor 4B	0.442	1.747
32786_at	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit	0.935	1.802
32787_at	ERBB3	erb-b2 receptor tyrosine kinase 3	-0.551	3.282
32790_at	NCBP2	nuclear cap binding protein subunit 2	-0.573	6.091
32793_at	TRBC1	T cell receptor beta constant 1	1.423	6.508
32794_g_at	TRBC1	T cell receptor beta constant 1	0.727	4.534
32795_at			0.255	1.87
32802_at	MARCH6	membrane associated ring-CH-type finger 6	-1.007	7.806
32803_at	CNIH1	cornichon family AMPA receptor auxiliary protein 1	-0.913	7.004
32805_at	LOC101930400///AKR1C2///AKR1C1	aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2///aldo-keto reductase family 1 member C1	-1.515	4.61
32810_at	TPMT	thiopurine S-methyltransferase	0.514	5.896
32811_at	MYO1C	myosin IC	0.288	2.431
32812_at	LIMCH1	LIM and calponin homology domains 1	-0.918	5.089
32813_s_at	KATNB1	katanin regulatory subunit B1	0.461	2.292
32815_at			-1.754	7.187
32816_at	SGTA	small glutamine rich tetratricopeptide repeat containing alpha	-0.357	2.386
32819_at	HIST1H2BK	histone cluster 1, H2bk	0.739	4.267
32821_at	LCN2	lipocalin 2	1.389	5.428
32822_at	SLC25A4	solute carrier family 25 member 4	-1.18	6.85
32825_at	PRMT1	protein arginine methyltransferase 1	-0.479	1.884
32826_at	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	0.687	7.144
32827_at	RRAS2	related RAS viral (r-ras) oncogene homolog 2	-1.494	8.308
32831_at	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)	-0.75	4.59
32834_r_at	RIOK3	RIO kinase 3	-1.278	8.096
32838_at	MYH10	myosin, heavy chain 10, non-muscle	-1.385	7.391
32843_s_at	FBL	fibrillarin	-0.467	4.077
32844_at	EIF4G1	eukaryotic translation initiation factor 4 gamma 1	-0.515	7.445
32847_at	MYLK	myosin light chain kinase	-0.639	1.959
32851_at	CELF2	CUGBP, Elav-like family member 2	0.669	6.288
32853_at	TOMM70	translocase of outer mitochondrial membrane 70	-1.479	7.465
32854_at	FBXW11	F-box and WD repeat domain containing 11	-1.061	5.649
32858_at	UBN1	ubinuclein 1	0.293	2.543
32859_at	STAT1	signal transducer and activator of transcription 1	0.833	4.355
32860_g_at	STAT1	signal transducer and activator of transcription 1	0.92	3.148
32862_at	RASA3	RAS p21 protein activator 3	0.554	2.254
32863_at	CAMK1G	calcium/calmodulin dependent protein kinase IG	0.352	2.176
32866_at	ADAMTSL2	ADAMTS like 2	0.28	2.284
32868_at	TGM3	transglutaminase 3	0.411	2.557
32869_at	MRE11A	MRE11 homolog A, double strand break repair nuclease	0.299	1.825
32872_at			0.358	3.636
32875_at	RHO	rhodopsin	0.3	2.999
32884_at	PHF20	PHD finger protein 20	0.381	1.792
32889_at	RUNDC3B	RUN domain containing 3B	-0.415	2.751
32893_s_at	LOC102724197///LOC100132705///GGT2///GGTLC1///GGTLC2///GGT3P///GGT1	inactive gamma-glutamyltranspeptidase 2-like///immunoglobulin superfamily member 3-like///gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 3 pseudogene///gamma-glutamyltransferase 1	-1.92	6.372
328_at	ZNF92	zinc finger protein 92	0.448	2.621
32904_at	PRF1	perforin 1	0.234	1.839
32907_at	HTR6	5-hydroxytryptamine receptor 6	0.557	4.225
32909_at	AQP5	aquaporin 5	0.381	3.393
32912_at	POU3F4	POU class 3 homeobox 4	0.349	2.313
32917_at	LCT	lactase	0.618	6.454
32918_at	ZSWIM8-AS1///NDST2	ZSWIM8 antisense RNA 1///N-deacetylase and N-sulfotransferase 2	0.473	5.073
32923_r_at	SYN1	synapsin I	0.427	2.33
32926_at			0.512	2.547
32929_at	DOLPP1	dolichyldiphosphatase 1	0.557	6.967
32931_at			0.528	4.281
32933_r_at			0.311	2.141
32941_at	IRF8	interferon regulatory factor 8	0.441	1.989
32951_g_at	POU6F2	POU class 6 homeobox 2	0.24	2.891
32952_at	POU6F2	POU class 6 homeobox 2	0.266	2.138
32954_at	RIF1	replication timing regulatory factor 1	-0.33	1.977
32959_at	ATP6V1B1	ATPase H+ transporting V1 subunit B1	-0.858	9.241
32962_at	CTH	cystathionine gamma-lyase	-1.523	11.054
32963_s_at	RRAGD	Ras related GTP binding D	-0.776	2.887
32965_f_at	HSPA1B	heat shock protein family A (Hsp70) member 1B	0.432	5.003
32966_at	APOF	apolipoprotein F	0.335	2.46
32967_at	FCMR	Fc fragment of IgM receptor	0.292	3.226
32969_r_at	VGF	VGF nerve growth factor inducible	0.639	6.439
32970_f_at	HABP4	hyaluronan binding protein 4	-0.933	10.954
32977_at	FAM65B	family with sequence similarity 65 member B	0.481	1.993
32978_g_at	FAM65B	family with sequence similarity 65 member B	0.416	4.255
32983_at	ADRA1B	adrenoceptor alpha 1B	0.254	2.107
32984_s_at	CLCNKB///CLCNKA	chloride voltage-gated channel Kb///chloride voltage-gated channel Ka	-0.825	4.279
32985_at	SALL1	spalt like transcription factor 1	-1.385	8.039
32987_at	CENPI	centromere protein I	0.295	2.242
32989_at	RFX1	regulatory factor X1	0.296	1.975
32990_at	SLC6A11	solute carrier family 6 member 11	0.403	2.707
32993_s_at	ZMYND10	zinc finger MYND-type containing 10	0.281	2.728
32996_g_at	ASB4	ankyrin repeat and SOCS box containing 4	0.304	2.849
32997_at	PAGE1	PAGE family member 1	0.674	3.008
33001_s_at	TGM5	transglutaminase 5	0.468	2.804
33010_at	SLC5A4	solute carrier family 5 member 4	0.395	4.391
33013_at	PDHA2	pyruvate dehydrogenase (lipoamide) alpha 2	0.492	3.558
33016_at	TSPO2	translocator protein 2	0.563	7.449
33019_at	PARK2	parkin RBR E3 ubiquitin protein ligase	0.416	3.475
33022_at	RDH16	retinol dehydrogenase 16 (all-trans)	0.237	1.808
33024_at	CMA1	chymase 1	0.441	2.157
33025_at	TP53TG5	TP53 target 5	0.498	5.924
33027_at	LOC101060581///AGAP5///AGAP7P///AGAP9///AGAP12P///AGAP6///BMS1P5///AGAP11///AGAP4///SYNPO2L	arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5-like///ArfGAP with GTPase domain, ankyrin repeat and PH domain 5///ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene///ArfGAP with GTPase domain, ankyrin repeat and PH domain 9///ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene///ArfGAP with GTPase domain, ankyrin repeat and PH domain 6///BMS1, ribosome biogenesis factor pseudogene 5///ArfGAP with GTPase domain, ankyrin repeat and PH domain 11///ArfGAP with GTPase domain, ankyrin repeat and PH domain 4///synaptopodin 2 like	0.289	2.352
33029_at	ALOX12B	arachidonate 12-lipoxygenase, 12R type	0.248	2.354
33030_at	HIST1H1D	histone cluster 1, H1d	0.352	4.172
33034_at	RHBDL1	rhomboid like 1	0.306	2.503
33035_at	TIPRL	TOR signaling pathway regulator	-0.446	3.487
33039_at	TRAT1	T cell receptor associated transmembrane adaptor 1	0.428	1.921
33040_at	UNC93A	unc-93 homolog A (C. elegans)	0.368	2.899
33044_f_at	EMX1	empty spiracles homeobox 1	0.517	2.001
33045_r_at	EMX1	empty spiracles homeobox 1	0.339	2.121
33051_at	GABRR1	gamma-aminobutyric acid type A receptor rho1 subunit	0.349	2.075
33054_at	DNAH3	dynein axonemal heavy chain 3	0.352	3.072
33056_at	EXOG	endo/exonuclease (5'-3'), endonuclease G-like	0.584	2.716
33057_g_at	EXOG	endo/exonuclease (5'-3'), endonuclease G-like	0.468	2.994
33058_at	KRT75	keratin 75	0.447	3.84
33059_at	PART1	prostate androgen-regulated transcript 1 (non-protein coding)	0.863	3.035
33063_at	GP1BA	glycoprotein Ib platelet alpha subunit	0.566	3.582
33064_at	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1	0.199	1.927
33065_at	JPH3	junctophilin 3	0.399	5.16
33067_at	HIST1H1A	histone cluster 1, H1a	0.483	1.914
33068_f_at	UGT2B15	UDP glucuronosyltransferase family 2 member B15	-0.322	1.839
33076_at			1.069	1.938
33077_at			0.258	1.689
33078_at	PRAMEF12	PRAME family member 12	0.467	4.019
33080_s_at	RAP1GAP	RAP1 GTPase activating protein	-0.54	2.348
33081_at			0.383	2.431
33085_at	PDCD1	programmed cell death 1	0.291	2.176
33089_s_at	EFNA2	ephrin A2	0.549	4.015
33090_at	EFNA2	ephrin A2	0.277	2.626
33093_at	IL18RAP	interleukin 18 receptor accessory protein	0.428	2.086
33096_r_at	BFSP2	beaded filament structural protein 2	0.229	1.838
330_s_at	TUBA4A	tubulin alpha 4a	0.342	1.673
33101_g_at	FETUB	fetuin B	0.303	1.682
33102_at	ADD3	adducin 3	-1.357	5.246
33103_s_at	ADD3	adducin 3	-1.666	8.385
33104_at	PLEKHB1	pleckstrin homology domain containing B1	0.762	6.093
33105_at	PLEKHB1	pleckstrin homology domain containing B1	0.571	5.391
33106_at	NR1H3	nuclear receptor subfamily 1 group H member 3	0.38	2.145
33108_i_at	SOX2	SRY-box 2	0.356	2.28
33113_at	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	-0.67	2.96
33115_at	HOXC6	homeobox C6	0.41	2.754
33119_at	FAM134B	family with sequence similarity 134 member B	0.664	2.062
33121_g_at	RGS10	regulator of G-protein signaling 10	0.91	5.276
33122_at	RGS10	regulator of G-protein signaling 10	0.52	1.869
33126_at	GLT8D1	glycosyltransferase 8 domain containing 1	-0.564	8.517
33127_at	LOXL2	lysyl oxidase like 2	0.324	2.087
33128_s_at	CST6	cystatin E/M	0.416	2.927
33129_at	CST6	cystatin E/M	0.415	1.758
33130_at	HOXD1	homeobox D1	-0.584	6.061
33131_at	SOX4	SRY-box 4	0.471	3.827
33134_at	ADCY3	adenylate cyclase 3	0.411	2.407
33135_at	SLC19A1	solute carrier family 19 member 1	0.304	2.796
33136_at	UBE2I	ubiquitin conjugating enzyme E2 I	-0.338	2.628
33137_at	LTBP4	latent transforming growth factor beta binding protein 4	0.3	2.497
33141_at	HSD17B1	hydroxysteroid 17-beta dehydrogenase 1	0.277	2.842
33143_s_at	MIR6787///SLC16A3	microRNA 6787///solute carrier family 16 member 3	0.683	3.249
33144_at	CSNK1D	casein kinase 1 delta	0.325	2.386
33145_at	FANCA	Fanconi anemia complementation group A	0.448	3.947
33147_at	ZFR	zinc finger RNA binding protein	0.718	2.868
33148_at	ZFR	zinc finger RNA binding protein	-0.517	4.106
33150_at	UTP3	UTP3, small subunit processome component homolog (S. cerevisiae)	-0.469	1.832
33151_s_at	UTP3	UTP3, small subunit processome component homolog (S. cerevisiae)	0.468	4.665
33152_at	ARF6	ADP ribosylation factor 6	-0.485	3.334
33153_at	ALOX5	arachidonate 5-lipoxygenase	0.534	4.316
33155_at	IDUA	iduronidase, alpha-L-	0.649	7.752
33156_at	IDUA	iduronidase, alpha-L-	0.76	4.191
33157_at	INSM1	INSM transcriptional repressor 1	0.288	2.443
33159_at	NRL	neural retina leucine zipper	0.516	3.223
33166_at	TRADD	TNFRSF1A associated via death domain	0.91	8.584
33167_r_at	ADSS	adenylosuccinate synthase	0.575	1.844
33169_at	NEO1	neogenin 1	-0.416	4.889
33172_at	SEPT11	septin 11	-0.356	2.1
33173_g_at	SEPT11	septin 11	-0.86	8.784
33177_at	DOHH	deoxyhypusine hydroxylase/monooxygenase	0.248	2.561
33178_at	JAG1	jagged 1	0.416	4.173
33179_at	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2	0.47	2.841
33180_at	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2	-0.909	4.514
33182_at	NTRK2	neurotrophic receptor tyrosine kinase 2	-0.721	3.131
33190_g_at	LOC143286	uncharacterized LOC143286	0.477	2.291
33192_g_at	SLF2	SMC5-SMC6 complex localization factor 2	0.258	1.819
33193_at	WIPI1	WD repeat domain, phosphoinositide interacting 1	-0.326	2.335
331_at	MAPT	microtubule associated protein tau	0.539	3.759
33200_at	LLGL1	LLGL1, scribble cell polarity complex component	0.626	5.472
33201_at			0.462	6.331
33202_f_at	FXN	frataxin	0.256	1.676
33203_s_at	FOXD1	forkhead box D1	0.181	1.729
33204_at			-0.327	2.594
33209_at	YY1	YY1 transcription factor	0.271	2.087
33211_at	RRBP1	ribosome binding protein 1	0.297	2.649
33214_at	MRPS12	mitochondrial ribosomal protein S12	-0.54	4.526
33216_at	MRPS12	mitochondrial ribosomal protein S12	0.457	4.081
33218_at	ERBB2	erb-b2 receptor tyrosine kinase 2	-0.585	6.682
33219_at	USP33	ubiquitin specific peptidase 33	-0.807	3.302
33225_at	CYHR1	cysteine and histidine rich 1	0.314	2.428
33227_at	IL10RB	interleukin 10 receptor subunit beta	0.886	4.925
33229_at	RPS6KA3	ribosomal protein S6 kinase A3	-1.213	5.152
33231_at	PRPF19	pre-mRNA processing factor 19	0.356	3.033
33232_at	CRIP1	cysteine rich protein 1	0.322	1.837
33233_at	ARID4B///RBM34	AT-rich interaction domain 4B///RNA binding motif protein 34	-0.379	2.868
33234_at	ARID4B///RBM34	AT-rich interaction domain 4B///RNA binding motif protein 34	-0.485	2.985
33236_at	RARRES3	retinoic acid receptor responder 3	0.663	1.711
33238_at	LCK	LCK proto-oncogene, Src family tyrosine kinase	0.821	5.28
33240_at	PDZRN3	PDZ domain containing ring finger 3	-1.043	10.084
33241_at	MFAP3L	microfibrillar associated protein 3 like	-1.32	5.919
33243_at	TNFAIP8	TNF alpha induced protein 8	0.552	1.973
33244_at	CHN2	chimerin 2	-0.364	1.991
33246_at			0.46	3.254
33247_at	PSMD14	proteasome 26S subunit, non-ATPase 14	-0.985	3.82
33249_at	NR3C2	nuclear receptor subfamily 3 group C member 2	-1.231	10.229
33255_at	NASP	nuclear autoantigenic sperm protein	0.596	6.717
33257_at	DLST	dihydrolipoamide S-succinyltransferase	0.378	2.319
33261_at	LOC100996809///HLA-DRB5///HLA-DRB3///HLA-DRB1	HLA class II histocompatibility antigen, DRB1-10 beta chain-like///major histocompatibility complex, class II, DR beta 5///major histocompatibility complex, class II, DR beta 3///major histocompatibility complex, class II, DR beta 1	0.858	2.238
33263_at	ENOSF1	enolase superfamily member 1	-1.332	10.626
33264_at	ENOSF1	enolase superfamily member 1	-0.608	2.266
33265_at	PEX2	peroxisomal biogenesis factor 2	-0.637	4.905
33266_at	AURKB	aurora kinase B	0.431	4.045
33270_i_at	DMXL1	Dmx like 1	-1.08	5.25
33271_r_at	DMXL1	Dmx like 1	-1.593	6.398
33272_at	SAA1	serum amyloid A1	0.576	4.179
33278_at	ACSM3	acyl-CoA synthetase medium-chain family member 3	-1.914	7.386
33279_s_at	ACSM3	acyl-CoA synthetase medium-chain family member 3	-0.637	3.948
33280_r_at	ACSM3	acyl-CoA synthetase medium-chain family member 3	-0.371	1.688
33281_at	IKBKE	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon	0.438	5.356
33284_at	MPO	myeloperoxidase	0.377	2.468
33287_at	SPOUT1	SPOUT domain containing methyltransferase 1	0.44	6.267
33293_at	FAIM2	Fas apoptotic inhibitory molecule 2	0.554	5.784
33294_at	EXOSC7	exosome component 7	-0.968	5.762
33295_at	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	0.719	5.258
33296_at	GLCE	glucuronic acid epimerase	-0.862	4.292
33297_at	OARD1	O-acyl-ADP-ribose deacylase 1	-1.274	7.328
33298_at	STRN	striatin	0.433	2.01
33304_at	ISG20	interferon stimulated exonuclease gene 20	1.098	6.812
33305_at	SERPINB1	serpin family B member 1	0.677	1.778
33306_at	ZNF24	zinc finger protein 24	0.36	4.004
33307_at	RRP7A	ribosomal RNA processing 7 homolog A	-0.351	2.874
33310_at	ABHD5	abhydrolase domain containing 5	0.546	2.202
33311_at	LOC102724652///CRYAA	alpha-crystallin A chain///crystallin alpha A	-1.72	10.741
33313_g_at	LOC102724652///CRYAA	alpha-crystallin A chain///crystallin alpha A	-3.161	12.078
33314_at	GCDH	glutaryl-CoA dehydrogenase	-1.094	6.751
33318_at	MBNL2	muscleblind like splicing regulator 2	-0.47	2.775
33319_at	AXIN1	axin 1	0.293	2.294
33322_i_at	SFN	stratifin	0.935	6.216
33323_r_at	SFN	stratifin	0.875	4.989
33325_at	RPS6KA2	ribosomal protein S6 kinase A2	-0.331	2.793
33330_at	CLTCL1	clathrin heavy chain like 1	0.324	1.94
33332_at	SERHL2///SERHL	serine hydrolase-like 2///serine hydrolase-like (pseudogene)	0.55	4.687
33335_at	COG7	component of oligomeric golgi complex 7	0.685	3.946
33338_at	STAT1	signal transducer and activator of transcription 1	2.043	8.315
33339_g_at	STAT1	signal transducer and activator of transcription 1	1.373	4.061
33340_at	PJA2	praja ring finger ubiquitin ligase 2	-1.017	6.312
33343_at	RNF14	ring finger protein 14	-1.089	4.798
33344_at	MED14	mediator complex subunit 14	0.658	4.197
33346_r_at	TUBG1	tubulin gamma 1	-0.458	1.726
33347_at	RNF5P1///RNF5	ring finger protein 5 pseudogene 1///ring finger protein 5	-0.217	1.93
33354_at	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	-0.77	5.394
33355_at	PBX1	PBX homeobox 1	-0.652	4.735
33357_at	NCKAP1	NCK associated protein 1	-1.108	4.354
33358_at	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H	-0.603	5.613
33363_at	EIF2AK1	eukaryotic translation initiation factor 2 alpha kinase 1	0.506	3.045
33366_at	SGSM3	small G protein signaling modulator 3	0.309	3.448
33368_at	AZIN1	antizyme inhibitor 1	-0.647	2.048
33369_at	MSMO1	methylsterol monooxygenase 1	-1.66	8.32
33370_r_at	MSMO1	methylsterol monooxygenase 1	-1	3.865
33371_s_at	RAB31	RAB31, member RAS oncogene family	0.866	6.386
33374_at	C2	complement component 2	0.261	1.782
33375_at	MYO6	myosin VI	-0.27	1.919
33376_at			0.284	1.945
33377_at	SEBOX///VTN	SEBOX homeobox///vitronectin	-0.554	4.198
33379_at	SSX2IP	SSX family member 2 interacting protein	0.372	2.896
33385_g_at	CAST	calpastatin	-0.417	2.278
33387_at	GAS7	growth arrest specific 7	0.403	1.832
33390_at	CD68	CD68 molecule	0.935	4.914
33391_r_at	LOC101928634///SNORA67///CD68	uncharacterized LOC101928634///small nucleolar RNA, H/ACA box 67///CD68 molecule	0.83	5.645
33393_at	DDX19B	DEAD-box helicase 19B	-0.244	2.971
33395_at	SZRD1	SUZ RNA binding domain containing 1	0.44	5.225
33398_at	ACIN1	apoptotic chromatin condensation inducer 1	0.358	2.353
33399_at	SPTSSA	serine palmitoyltransferase small subunit A	-1.212	7.62
333_s_at	RBMS1	RNA binding motif single stranded interacting protein 1	-0.343	2.106
33400_r_at	SPTSSA	serine palmitoyltransferase small subunit A	-0.825	2.118
33401_at	MASP1	mannan binding lectin serine peptidase 1	0.287	1.779
33403_at	CHTOP	chromatin target of PRMT1	-0.793	4.424
33404_at	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	-1.116	10.344
33405_at	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	-0.773	2.724
33408_at	DIP2C	disco interacting protein 2 homolog C	-0.573	5.605
33409_at	FKBP2	FK506 binding protein 2	-1.067	6.091
33410_at	ITGA6	integrin subunit alpha 6	-0.36	2.231
33411_g_at	ITGA6	integrin subunit alpha 6	-0.754	6.339
33414_at	LOC101060373///NOMO3///NOMO2///NOMO1	uncharacterized LOC101060373///NODAL modulator 3///NODAL modulator 2///NODAL modulator 1	-0.422	3.338
33416_at	TCF25	transcription factor 25	0.499	3.503
33418_at	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1	-0.343	3.985
33421_s_at	SC5D	sterol-C5-desaturase	-1.12	6.684
33423_g_at	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component	-0.855	5.892
33428_s_at	ATRN	attractin	-0.321	1.889
33432_at	MED8	mediator complex subunit 8	-0.391	3.748
33433_at	FAM98A	family with sequence similarity 98 member A	-0.978	2.546
33434_at	BET1	Bet1 golgi vesicular membrane trafficking protein	-0.496	2.903
33436_at	SOX9	SRY-box 9	-0.305	2.487
33437_at	FTSJ1	FtsJ RNA methyltransferase homolog 1 (E. coli)	-0.253	1.715
33438_at	WBP2	WW domain binding protein 2	-0.727	2.543
33439_at	SIK1	salt inducible kinase 1	-0.673	3.935
33440_at	ZEB1	zinc finger E-box binding homeobox 1	-0.646	2.712
33441_at	TCTA	T-cell leukemia translocation altered	0.177	1.997
33442_at	PRUNE2	prune homolog 2	-1.159	8.176
33443_at	SERINC1	serine incorporator 1	-1.45	4.043
33444_at	NBR1	NBR1, autophagy cargo receptor	0.46	3.798
33445_at	ABAT	4-aminobutyrate aminotransferase	0.447	3.313
33446_at	ABAT	4-aminobutyrate aminotransferase	-2.509	7.7
33451_s_at	RPL22	ribosomal protein L22	-0.63	3.113
33453_at	PTPN18	protein tyrosine phosphatase, non-receptor type 18	0.355	2.107
33455_at	ALDOB	aldolase, fructose-bisphosphate B	-2.101	4.483
33457_at	FAM208A	family with sequence similarity 208 member A	-0.48	1.751
33462_at	P2RY14	purinergic receptor P2Y14	0.886	2.215
33468_at	DSG2	desmoglein 2	-0.337	1.719
33470_at	GRIP2	glutamate receptor interacting protein 2	0.87	3.476
33471_g_at	GRIP2	glutamate receptor interacting protein 2	0.279	1.744
33472_at	FMO4	flavin containing monooxygenase 4	-0.753	5.523
33473_at	CLUL1	clusterin like 1	-0.53	1.891
33474_at	GLI1	GLI family zinc finger 1	0.524	4.9
33475_at	PKP4	plakophilin 4	-0.362	2.177
33477_at	RAB40A	RAB40A, member RAS oncogene family	0.336	2.212
33480_at	MLN	motilin	0.455	3.962
33482_at	MYOD1	myogenic differentiation 1	0.683	4.653
33487_at	HPD	4-hydroxyphenylpyruvate dioxygenase	-3.048	9.595
33488_at	TLR3	toll like receptor 3	-0.727	3.129
33494_at	ETFDH	electron transfer flavoprotein dehydrogenase	-0.708	4.466
33496_at	AGTR2	angiotensin II receptor type 2	0.445	2.053
33498_at	REG1CP	regenerating family member 1 gamma, pseudogene	0.307	2.238
334_s_at	VIP	vasoactive intestinal peptide	0.317	3.353
33503_at	AIPL1	aryl hydrocarbon receptor interacting protein like 1	0.446	3.047
33505_at	RARRES1	retinoic acid receptor responder 1	0.477	2.604
33512_at	GUCA2B	guanylate cyclase activator 2B	1.046	6.063
33513_at	SLAMF1	signaling lymphocytic activation molecule family member 1	0.489	3.668
33514_at	CAMK4	calcium/calmodulin dependent protein kinase IV	0.66	5.469
33516_at	HBD	hemoglobin subunit delta	-1.139	2.252
33521_at	ATP4A	ATPase H+/K+ transporting alpha subunit	0.298	2.332
33525_at	NPY2R	neuropeptide Y receptor Y2	0.562	2.07
33557_at	C22orf31	chromosome 22 open reading frame 31	0.384	4.172
33559_at	PTK6	protein tyrosine kinase 6	-0.445	2.256
33564_at	AFM	afamin	-3.082	12.551
33569_at	CLEC10A	C-type lectin domain family 10 member A	0.618	5.807
33574_at	C6orf10	chromosome 6 open reading frame 10	0.588	3.539
33580_r_at	GALR3	galanin receptor 3	0.547	6.628
33583_r_at	RBMS3	RNA binding motif single stranded interacting protein 3	0.592	5.994
33586_at			0.386	2.479
33589_at			0.304	2.32
33590_at			0.381	2.231
33592_at	ZBTB7B	zinc finger and BTB domain containing 7B	0.342	2.186
33599_at	RAB30	RAB30, member RAS oncogene family	0.436	1.698
335_r_at	SF3A2	splicing factor 3a subunit 2	0.635	4.797
33600_at	GRAP	GRB2-related adaptor protein	0.232	2.033
33601_at	ZNF804A	zinc finger protein 804A	-0.435	1.902
33602_at	S1PR4	sphingosine-1-phosphate receptor 4	0.315	2.423
33604_at	IRS4	insulin receptor substrate 4	0.317	2.24
33608_at	LY6G6F///LY6G6D	lymphocyte antigen 6 complex, locus G6F///lymphocyte antigen 6 complex, locus G6D	0.355	3.356
33611_g_at	CLDN8	claudin 8	-1.828	9.345
33613_at	IGH	immunoglobulin heavy locus	0.7	1.686
33617_s_at	ZBTB25	zinc finger and BTB domain containing 25	0.819	8.073
33620_at	HOXB3	homeobox B3	0.48	6.27
33622_at	CACNA1C	calcium voltage-gated channel subunit alpha1 C	0.326	2.631
33628_g_at	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	0.323	1.671
33630_s_at	SPTBN2	spectrin beta, non-erythrocytic 2	-0.333	1.812
33631_at	TXNL4A	thioredoxin like 4A	-0.92	5.733
33632_g_at	TXNL4A	thioredoxin like 4A	-0.543	2.843
33633_at	PPAN-P2RY11///P2RY11	PPAN-P2RY11 readthrough///purinergic receptor P2Y11	0.487	5.09
33636_at	CTAG1A///CTAG1B	cancer/testis antigen 1A///cancer/testis antigen 1B	0.315	2.806
33640_at	AIF1	allograft inflammatory factor 1	0.278	2.133
33641_g_at	AIF1	allograft inflammatory factor 1	1.347	8.224
33648_at	ERICH1	glutamate rich 1	0.307	2.569
33651_at	AQP8	aquaporin 8	0.29	1.685
33658_at	ZNF124	zinc finger protein 124	-0.924	5.158
33661_at	FAM69A	family with sequence similarity 69 member A	-0.432	4.329
33663_at	FAM161A	family with sequence similarity 161 member A	0.233	1.736
33678_i_at	TUBB4B	tubulin beta 4B class IVb	-0.555	3.383
33689_s_at	DDTL///DDT	D-dopachrome tautomerase-like///D-dopachrome tautomerase	-1.143	5.133
33691_at	SPATA31C2	SPATA31 subfamily C member 2	0.503	2.837
33695_at	CBARP	CACN beta subunit associated regulatory protein	0.386	1.875
33697_at	P2RX7	purinergic receptor P2X 7	0.507	5.693
33699_at	PGC	progastricsin	0.386	2.632
33700_at	SPRY2	sprouty RTK signaling antagonist 2	-0.579	3.776
33701_at	LOC101929036///PAH	uncharacterized LOC101929036///phenylalanine hydroxylase	-3.226	9.224
33702_f_at	PCK1	phosphoenolpyruvate carboxykinase 1	-2.452	3.784
33703_f_at	PCK1	phosphoenolpyruvate carboxykinase 1	-3.323	5.13
