ID	Gene.symbol	Gene.title	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)
1167_s_at	MMP15	matrix metallopeptidase 15	0.468	2.006
116_at	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha	0.27	1.771
1179_at	SNORD14D///SNORD14C///HSPA8	small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8	-0.976	2.604
117_at	HSPA6	heat shock protein family A (Hsp70) member 6	0.73	4.224
1181_at	GNL1	G protein nucleolar 1 (putative)	0.247	2.035
1182_at	PLCL1	phospholipase C like 1	-0.958	4.754
1183_at	CCL17	C-C motif chemokine ligand 17	0.602	4.491
1184_at	MIR7703///PSME2	microRNA 7703///proteasome activator subunit 2	0.794	3.198
1185_at	IL3RA	interleukin 3 receptor subunit alpha	0.539	5.579
1191_s_at	PSMD11	proteasome 26S subunit, non-ATPase 11	-1.482	9.73
1192_at	PSMD12	proteasome 26S subunit, non-ATPase 12	-0.905	4.826
1194_g_at	UBE3A	ubiquitin protein ligase E3A	0.384	3.563
1196_at	RCC1	regulator of chromosome condensation 1	0.498	5.607
1199_at	LOC101928634///SENP3-EIF4A1///SNORD10///SNORA48///SNORA67///EIF4A1	uncharacterized LOC101928634///SENP3-EIF4A1 readthrough (NMD candidate)///small nucleolar RNA, C/D box 10///small nucleolar RNA, H/ACA box 48///small nucleolar RNA, H/ACA box 67///eukaryotic translation initiation factor 4A1	0.409	2.22
1200_at	GLI2	GLI family zinc finger 2	0.575	5.581
1201_at	RAB33A	RAB33A, member RAS oncogene family	0.323	2.036
1203_at	INHBA	inhibin beta A subunit	0.594	4.573
1205_at			0.395	2.525
1208_at	PTK6	protein tyrosine kinase 6	0.234	2.334
120_at	ITGA1	integrin subunit alpha 1	-0.282	1.783
1210_s_at	TNFRSF25	TNF receptor superfamily member 25	0.465	4.331
1211_s_at	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	-0.685	4.202
1217_g_at	PRKCB	protein kinase C beta	0.748	3.718
1218_at	NR2F6	nuclear receptor subfamily 2 group F member 6	-0.25	2.711
1221_at	RAB5B	RAB5B, member RAS oncogene family	0.469	3.046
1223_at	CDK18	cyclin dependent kinase 18	0.254	2.014
1224_at	CDK16	cyclin dependent kinase 16	-0.337	3.375
1225_g_at	CDK16	cyclin dependent kinase 16	-0.677	7.863
1228_s_at	CTAGE5	CTAGE family member 5, ER export factor	-1.192	9.86
1229_at	MTMR11	myotubularin related protein 11	-0.9	7.393
1230_g_at	MTMR11	myotubularin related protein 11	-0.67	4.599
1231_at	UBE2B	ubiquitin conjugating enzyme E2 B	-0.686	1.965
1233_s_at	AXL	AXL receptor tyrosine kinase	0.488	4.711
1234_at	EPHA3	EPH receptor A3	-0.308	2.03
1239_s_at	CASP2	caspase 2	0.63	3.299
1243_at	DDB2	damage specific DNA binding protein 2	0.34	2.707
1244_at	STAT2	signal transducer and activator of transcription 2	0.272	3.505
1246_at	PTPRS	protein tyrosine phosphatase, receptor type S	0.287	1.695
