ID	Gene.symbol	Gene.title	log2(fold change)(Stg2-Tumor vs Stg2-Normal)	-log10(Pvalue)(Stg2-Tumor vs Stg2-Normal)
1053_at	RFC2	replication factor C subunit 2	1.099	2.588
121_at	PAX8	paired box 8	-1.012	4.748
1405_i_at	CCL5	C-C motif chemokine ligand 5	4.221	3.384
1487_at	ESRRA	estrogen related receptor alpha	-1.029	6.735
1729_at	TRADD	TNFRSF1A associated via death domain	1.344	4.533
200003_s_at	MIR6805///RPL28	microRNA 6805///ribosomal protein L28	0.954	5.898
200019_s_at	FAU	FAU, ubiquitin like and ribosomal protein S30 fusion	0.615	2.339
200022_at	RPL18	ribosomal protein L18	0.86	3.644
200024_at	RPS5	ribosomal protein S5	0.752	3.325
200028_s_at	STARD7	StAR related lipid transfer domain containing 7	-0.561	3.04
200029_at	RPL19	ribosomal protein L19	0.387	2.483
200030_s_at	SLC25A3	solute carrier family 25 member 3	-0.591	4.337
200037_s_at	CBX3	chromobox 3	0.762	3.636
200062_s_at	RPL30	ribosomal protein L30	0.402	2.211
200064_at	HSP90AB1	heat shock protein 90 alpha family class B member 1	0.517	2.892
200075_s_at	GUK1	guanylate kinase 1	0.586	3.288
200076_s_at	KXD1	KxDL motif containing 1	0.806	5.323
200078_s_at	ATP6V0B	ATPase H+ transporting V0 subunit b	-0.565	2.31
200084_at	C11orf58	chromosome 11 open reading frame 58	0.387	2.074
200087_s_at	TMED2	transmembrane p24 trafficking protein 2	0.836	3.892
200088_x_at	NBEAL1///RPL12	neurobeachin like 1///ribosomal protein L12	0.453	2.076
200599_s_at	MIR3652///HSP90B1	microRNA 3652///heat shock protein 90 beta family member 1	0.992	3.984
200603_at	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	-0.381	2.069
200606_at	DSP	desmoplakin	-1.131	2.311
200612_s_at	AP2B1	adaptor related protein complex 2 beta 1 subunit	-0.678	2.048
200620_at	TMEM59	transmembrane protein 59	-0.457	2.329
200623_s_at	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1	0.475	2.225
200625_s_at	CAP1	adenylate cyclase associated protein 1	0.533	3.65
200632_s_at	NDRG1	N-myc downstream regulated 1	0.899	5.661
200633_at	UBB	ubiquitin B	-0.67	4.798
200638_s_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	0.977	2.06
200640_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	0.826	3.089
200642_at	SOD1	superoxide dismutase 1, soluble	-0.759	5.605
200644_at	MARCKSL1	MARCKS like 1	0.905	2.105
200650_s_at	LDHA	lactate dehydrogenase A	1.608	9.669
200651_at	SNORD96A///SNORD95///RACK1	small nucleolar RNA, C/D box 96A///small nucleolar RNA, C/D box 95///receptor for activated C kinase 1	0.435	3.012
200652_at	SSR2	signal sequence receptor subunit 2	0.476	2.057
200654_at	P4HB	prolyl 4-hydroxylase subunit beta	1.001	3.832
200657_at	SLC25A5	solute carrier family 25 member 5	-1.164	7.389
200658_s_at	PHB	prohibitin	-0.87	4.177
200659_s_at	PHB	prohibitin	-1.017	5.368
200660_at	S100A11	S100 calcium binding protein A11	1.564	3.917
200663_at	CD63	CD63 molecule	0.696	6.164
200665_s_at	SPARC	secreted protein acidic and cysteine rich	1.584	4.962
200675_at	CD81	CD81 molecule	0.626	3.064
200677_at	PTTG1IP	pituitary tumor-transforming 1 interacting protein	1.101	3.463
200685_at	SRSF11	serine and arginine rich splicing factor 11	0.915	2.442
200687_s_at	SF3B3	splicing factor 3b subunit 3	0.561	2.166
200694_s_at	DDX24	DEAD-box helicase 24	-0.531	3.096
200695_at	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	-0.597	2.43
200697_at	HK1	hexokinase 1	1.2	4.056
200700_s_at	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2	0.761	2.088
200702_s_at	DDX24	DEAD-box helicase 24	-1.128	4.396
200708_at	GOT2	glutamic-oxaloacetic transaminase 2	-0.974	3.722
200709_at	LOC101929368///FKBP1A	uncharacterized LOC101929368///FK506 binding protein 1A	0.589	2.551
200725_x_at	SNORA70///RPL10	small nucleolar RNA, H/ACA box 70///ribosomal protein L10	0.451	2.566
200737_at	PGK1	phosphoglycerate kinase 1	1.078	5.733
200738_s_at	PGK1	phosphoglycerate kinase 1	0.434	3.212
200746_s_at	GNB1	G protein subunit beta 1	0.589	3.047
200749_at	RAN	RAN, member RAS oncogene family	0.585	2.436
200750_s_at	RAN	RAN, member RAS oncogene family	0.597	2.97
200755_s_at	CALU	calumenin	1.269	3.842
200757_s_at	CALU	calumenin	1.364	7.308
200758_s_at	NFE2L1	nuclear factor, erythroid 2 like 1	-0.512	2.301
200761_s_at	ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5	0.714	2.611
200762_at	DPYSL2	dihydropyrimidinase like 2	1.212	2.975
200770_s_at	LAMC1	laminin subunit gamma 1	0.754	2.111
200771_at	LAMC1	laminin subunit gamma 1	1.128	4.517
200779_at	ATF4	activating transcription factor 4	0.576	2.505
200782_at	ANXA5	annexin A5	0.788	3.822
200785_s_at	LRP1	LDL receptor related protein 1	1.094	3.508
200787_s_at	PEA15	phosphoprotein enriched in astrocytes 15	0.811	3.069
200788_s_at	PEA15	phosphoprotein enriched in astrocytes 15	0.924	5.272
200791_s_at	IQGAP1	IQ motif containing GTPase activating protein 1	0.982	5.821
200793_s_at	ACO2	aconitase 2	-0.734	2.191
200794_x_at	DAZAP2	DAZ associated protein 2	-0.357	2.067
200804_at	TMBIM6	transmembrane BAX inhibitor motif containing 6	-0.842	4.174
200805_at	LMAN2	lectin, mannose binding 2	1.343	3.449
