Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Chemical carcinogenesis	3/239	0.0010123669033533502	0.0012409658815299132	0	0	17.930084745762713	123.63625784574283	AKT2;AKT3;AKT1
Shigellosis	3/246	0.00110029148524434	0.001334396056572923	0	0	17.40740740740741	118.58239516357604	AKT2;AKT3;AKT1
Salmonella infection	3/249	0.0011394095230522288	0.0013672914276626745	0	0	17.192508710801395	116.51784564047831	AKT2;AKT3;AKT1
Human papillomavirus infection	3/331	0.002571266900032793	0.003053379443788942	0	0	12.840810104529616	76.57432897131075	AKT2;AKT3;AKT1
Herpes simplex virus 1 infection	3/498	0.008045168119133765	0.009455146036920097	0	0	8.436363636363636	40.685912564639224	AKT2;AKT3;AKT1
Parkinson disease	2/249	0.018563800511008227	0.02159462508423406	0	0	10.653711201079622	42.471465067376975	PSMB5;PSMD3
Prion disease	2/273	0.02205822820529637	0.02540038399397764	0	0	9.69840098400984	36.990376220694564	PSMB5;PSMD3
Pentose phosphate pathway	1/30	0.025206075066878136	0.028734925576241074	0	0	43.00431034482759	158.28468525367578	PRPS1
Huntington disease	2/306	0.027273956314360328	0.03078446554294136	0	0	8.631140350877192	31.087839946637516	PSMB5;PSMD3
Glycine, serine and threonine metabolism	1/40	0.033474383104990776	0.03741254582322499	0	0	31.96153846153846	108.57254123777712	GATM
Amyotrophic lateral sclerosis	2/364	0.037519025102053016	0.04152591127800043	0	0	7.226887661141805	23.725201092640393	PSMB5;PSMD3
Type II diabetes mellitus	1/46	0.03840363883149023	0.04209629641144121	0	0	27.691666666666666	90.26384147630849	SLC2A4
Ovarian steroidogenesis	1/51	0.04249326897973699	0.046135549178000154	0	0	24.91625	78.6957230101767	IGF1
Long-term depression	1/60	0.04981338361381649	0.05357288426391585	0	0	21.10593220338983	63.306643893512835	IGF1
p53 signaling pathway	1/73	0.06029395078422422	0.06388050168237872	0	0	17.283854166666668	48.54211057952261	IGF1
Pathways of neurodegeneration	2/475	0.060518370014885095	0.06388050168237872	0	0	5.499647639182523	15.425457474277943	PSMB5;PSMD3
Hypertrophic cardiomyopathy	1/90	0.07383520219328692	0.07722213807371292	0	0	13.970505617977528	36.406015342407166	IGF1
Dilated cardiomyopathy	1/96	0.07857046186584668	0.08142756957005928	0	0	13.08421052631579	33.28308421675135	IGF1
Inflammatory mediator regulation of TRP channels	1/98	0.08014381161944185	0.08230986058212947	0	0	12.813144329896907	32.33951284796603	IGF1
Oocyte meiosis	1/129	0.10420971821743223	0.10513192811316172	0	0	9.69482421875	21.923389670646692	IGF1
Purine metabolism	1/129	0.10420971821743223	0.10513192811316172	0	0	9.69482421875	21.923389670646692	PRPS1
Transcriptional misregulation in cancer	1/192	0.1513037348386507	0.1513037348386507	0	0	6.476439790575916	12.230536173954645	IGF1
