Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Focal Adhesion WP306	4/199	2.0448472775379377E-5	1.2141280710381505E-4	0	0	31.223668639053255	337.1407581591326	AKT2;AKT3;AKT1;IGF1
AMP Activated Protein Kinase Signaling WP1403	3/67	2.3626087672544297E-5	1.360289896298005E-4	0	0	66.69308035714286	710.4919923519662	AKT2;AKT1;SLC2A4
Melanoma WP4685	3/68	2.4703551446813377E-5	1.3804925808513357E-4	0	0	65.66373626373627	696.597918519208	AKT2;AKT3;AKT1
Non Small Cell Lung Cancer WP4255	3/72	2.9336526015324558E-5	1.5288874358045492E-4	0	0	61.84472049689441	645.4533841428498	AKT2;AKT3;AKT1
Chromosomal And Microsatellite Instability In Colorectal Cancer WP4216	3/73	3.0577748716090986E-5	1.5288874358045492E-4	0	0	60.95816326530612	633.674613945843	AKT2;AKT3;AKT1
MECP2 And Associated Rett Syndrome WP3584	3/73	3.0577748716090986E-5	1.5288874358045492E-4	0	0	60.95816326530612	633.674613945843	AKT1;IGF1;SGK1
Head And Neck Squamous Cell Carcinoma WP4674	3/73	3.0577748716090986E-5	1.5288874358045492E-4	0	0	60.95816326530612	633.674613945843	AKT2;AKT3;AKT1
Glioblastoma Signaling Pathways WP2261	3/82	4.333397336418876E-5	2.1111422921015036E-4	0	0	53.98915009041591	542.4059714070494	AKT2;AKT3;AKT1
MicroRNAs In Cardiomyocyte Hypertrophy WP1544	3/83	4.493539698083695E-5	2.1344313565897552E-4	0	0	53.31160714285714	533.664366505298	AKT2;AKT1;IGF1
Female Steroid Hormones In Cardiomyocyte Energy Metabolism WP5318	2/13	5.274920091662329E-5	2.444475164428884E-4	0	0	242.0848484848485	2384.5265424278687	AKT2;SLC2A4
Pancreatic Adenocarcinoma Pathway WP4263	3/89	5.536499618141265E-5	2.5046069701115245E-4	0	0	49.57724252491694	485.9344660627651	AKT2;AKT3;AKT1
ErbB Signaling Pathway WP673	3/90	5.724406606069783E-5	2.5293889654726944E-4	0	0	49.004926108374384	478.68926110000643	AKT2;AKT3;AKT1
Small Cell Lung Cancer WP4658	3/95	6.726813167588696E-5	2.9047602314587553E-4	0	0	46.32996894409938	445.08385571006966	AKT2;AKT3;AKT1
Integrin Mediated Cell Adhesion WP185	3/101	8.073522203341371E-5	3.408820485855246E-4	0	0	43.48032069970846	409.77313520380227	AKT2;AKT3;AKT1
Toll Like Receptor Signaling Pathway WP75	3/102	8.313806875052501E-5	3.4339637092608156E-4	0	0	43.03896103896104	404.351376958666	AKT2;AKT3;AKT1
DNA Damage Response Only ATM Dependent WP710	3/110	1.0406304392893897E-4	4.206803903510299E-4	0	0	39.80507343124165	365.03296927462304	AKT2;AKT3;AKT1
Embryonic Stem Cell Pluripotency Pathways WP3931	3/116	1.218275680350221E-4	4.8223412347196253E-4	0	0	37.68015170670038	339.6075858837729	AKT2;AKT3;AKT1
Roles Of Ceramides In Development Of Insulin Resistance WP5181	2/23	1.7024519462281439E-4	6.601344281292802E-4	0	0	126.74285714285715	1099.9088411626703	AKT1;SLC2A4
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	3/132	1.7857607743831144E-4	6.785890942655835E-4	0	0	32.98006644518272	284.6343263704548	AKT2;AKT1;SLC2A4
Follicle Stimulating Hormone FSH Signaling Pathway WP2035	2/24	1.8562933966781003E-4	6.915602850369393E-4	0	0	120.97575757575757	1039.394514011186	AKT1;SGK1
Hepatitis B Infection WP4666	3/150	2.6029567201271784E-4	9.51080340046469E-4	0	0	28.91545189504373	238.65924476860718	AKT2;AKT3;AKT1
Nonalcoholic Fatty Liver Disease WP4396	3/154	2.812358691023792E-4	0.0010082040590462652	0	0	28.1438032166509	230.11265243241235	AKT2;AKT3;AKT1
Epithelial To Mesenchymal Transition In Colorectal Cancer WP4239	3/160	3.1464441058746343E-4	0.0011070821854003343	0	0	27.06005459508644	218.21410442862694	AKT2;AKT3;AKT1
Chemokine Signaling Pathway WP3929	3/165	3.443659739035212E-4	0.0011896279098485279	0	0	26.21825396825397	209.0592600122804	AKT2;AKT3;AKT1
Factors And Pathways Affecting Insulin Like Growth Factor IGF1 Akt Signaling WP3850	2/36	4.2118795951153783E-4	0.0014228446609211064	0	0	78.23137254901961	608.0479736697338	AKT1;IGF1
Pleural Mesothelioma WP5087	4/437	4.268533982763319E-4	0.0014228446609211064	0	0	13.892343222597264	107.7916626008489	AKT2;AKT3;AKT1;IGF1
TNF Related Weak Inducer Of Apoptosis TWEAK Signaling Pathway WP2036	2/38	4.695231348152325E-4	0.0015254945681415918	0	0	73.87777777777778	566.183995087973	AKT2;AKT1
Ras Signaling WP4223	3/184	4.737062080018627E-4	0.0015254945681415918	0	0	23.443567482241516	179.4587096133883	AKT2;AKT3;AKT1
Kisspeptin Kisspeptin Receptor System In The Ovary WP4871	2/39	4.946556969674145E-4	0.0015664097070634793	0	0	71.87747747747748	547.1061007477681	AKT2;AKT1
RANKL RANK Signaling Pathway WP2018	2/50	8.132713373134499E-4	0.0025331402309763194	0	0	55.375	393.96243373102385	AKT2;AKT1
MAPK Signaling Pathway WP382	3/246	0.00110029148524434	0.0033718610031681384	0	0	17.40740740740741	118.58239516357604	AKT2;AKT3;AKT1
Proteasome Degradation WP183	2/62	0.0012479263816052336	0.003763587500079276	0	0	44.27333333333333	296.02354900771934	PSMB5;PSMD3
Endochondral Ossification WP474	2/63	0.0012881987531393893	0.003765504047638215	0	0	43.54535519125683	289.7730168913341	AKT1;IGF1
Endochondral Ossification With Skeletal Dysplasias WP4808	2/63	0.0012881987531393893	0.003765504047638215	0	0	43.54535519125683	289.7730168913341	AKT1;IGF1
Clock Controlled Autophagy In Bone Metabolism WP5205	2/80	0.002066724775608501	0.0059496622328123515	0	0	34.02564102564103	210.33937283796348	AKT1;IGF1
Apoptosis WP254	2/84	0.00227539112013874	0.006452601683975532	0	0	32.359349593495935	196.92616533267545	AKT1;IGF1
Orexin Receptor Pathway WP5094	2/88	0.002493640221385313	0.006967524147988374	0	0	30.848062015503874	184.90364463692268	SLC2A4;SGK1
Metabolic Epileptic Disorders WP5355	2/92	0.002721412381013439	0.007493744237573237	0	0	29.47111111111111	174.07419089900034	GATM;SLC2A4
Hormonal Control Of Pubertal Growth Spurt WP4194	1/5	0.004243143988996933	0.011517105112991676	0	0	312.171875	1705.2235013634931	IGF1
SCFA And Skeletal Muscle Substrate Metabolism WP4030	1/6	0.005089741453570572	0.013431262169144564	0	0	249.725	1318.6799159042428	SLC2A4
Somatroph Axis GH And Its Relationship To Dietary Restriction And Aging WP4186	1/6	0.005089741453570572	0.013431262169144564	0	0	249.725	1318.6799159042428	AKT1
Adipogenesis WP236	2/131	0.005429170370171551	0.014130717401816368	0	0	20.52093023255814	107.03653477551352	SLC2A4;IGF1
Neuroinflammation And Glutamatergic Signaling WP5083	2/140	0.006176090840766997	0.015857530537104453	0	0	19.17391304347826	97.53903318014085	AKT1;IGF1
NRF2 Pathway WP2884	2/141	0.006261834324439534	0.015863313621913486	0	0	19.035011990407675	96.56998586537334	SLC6A8;SLC2A4
Resolvin E1 And Resolvin D1 Signaling Pathways Promoting Inflammation Resolution WP5191	1/12	0.010155125895608219	0.02505810285929301	0	0	113.47727272727273	520.8353408254836	AKT1
Biomarkers For Urea Cycle Disorders WP4583	1/12	0.010155125895608219	0.02505810285929301	0	0	113.47727272727273	520.8353408254836	GATM
Genes Targeted By miRNAs In Adipocytes WP1992	1/13	0.010996994142530848	0.02644846692507419	0	0	104.015625	469.12433437564215	IGF1
Purine Metabolism WP4792	1/13	0.010996994142530848	0.02644846692507419	0	0	104.015625	469.12433437564215	PRPS1
Modulation Of PI3K Akt mTOR Signaling By Bioactive Sphingolipids WP5192	1/14	0.01183818865932929	0.028115698065907066	0	0	96.00961538461539	425.93942395331476	AKT1
Mammary Gland Development Pathway Embryonic Development Stage 1 Of 4 WP2813	1/15	0.012678709933633063	0.029377498626710755	0	0	89.14732142857143	389.38044082427126	AKT1
Biomarkers For Pyrimidine Metabolism Disorders WP4584	1/15	0.012678709933633063	0.029377498626710755	0	0	89.14732142857143	389.38044082427126	CKB
Galanin Receptor Pathway WP4970	1/16	0.013518558453539395	0.030946097664728736	0	0	83.2	358.0671608642671	SLC2A4
TGF Beta Signaling In Thyroid Cells For Epithelial Mesenchymal Transition WP3859	1/17	0.014357734707201343	0.03172057667870064	0	0	77.99609375	330.9738092431344	AKT1
Leptin Insulin Signaling Overlap WP3935	1/17	0.014357734707201343	0.03172057667870064	0	0	77.99609375	330.9738092431344	AKT1
Cori Cycle WP1946	1/17	0.014357734707201343	0.03172057667870064	0	0	77.99609375	330.9738092431344	SLC2A4
4 Hydroxytamoxifen Dexamethasone And Retinoic Acids Regulation Of P27 Expression WP3879	1/18	0.015196239191186837	0.03244140950927527	0	0	73.40441176470588	307.3227868353231	AKT1
Perturbations To Host Cell Autophagy Induced By SARS CoV 2 Proteins WP4936	1/18	0.015196239191186837	0.03244140950927527	0	0	73.40441176470588	307.3227868353231	AKT1
Congenital Generalized Lipodystrophy WP5101	1/18	0.015196239191186837	0.03244140950927527	0	0	73.40441176470588	307.3227868353231	AKT2
Extracellular Vesicles In The Crosstalk Of Cardiac Cells WP4300	1/19	0.01603407239546545	0.03347773357294984	0	0	69.32291666666667	286.5143387139707	IGF1
Overview Of Nanoparticle Effects WP3287	1/19	0.01603407239546545	0.03347773357294984	0	0	69.32291666666667	286.5143387139707	AKT3
IL 7 Signaling Pathway WP205	1/20	0.016871234817272356	0.034842767557410295	0	0	65.67105263157895	268.0787715603985	AKT1
Host Pathogen Interaction Of Human Coronaviruses Apoptosis WP4864	1/21	0.01770772695128657	0.03579221405047286	0	0	62.384375	251.6432336564321	AKT1
Type II Diabetes Mellitus WP1584	1/21	0.01770772695128657	0.03579221405047286	0	0	62.384375	251.6432336564321	SLC2A4
Regulation Of Apoptosis By Parathyroid Hormone Related Protein WP3872	1/22	0.018543549289368706	0.03595177923449035	0	0	59.410714285714285	236.908142520545	AKT1
PI3K AKT mTOR Vitamin D3 Signaling WP4141	1/22	0.018543549289368706	0.03595177923449035	0	0	59.410714285714285	236.908142520545	AKT1
NAD Metabolism In Oncogene Induced Senescence And Mitochondrial Dysfunction Associated Senescence WP5046	1/22	0.018543549289368706	0.03595177923449035	0	0	59.410714285714285	236.908142520545	SLC2A4
Transcription Factor Regulation In Adipogenesis WP3599	1/22	0.018543549289368706	0.03595177923449035	0	0	59.410714285714285	236.908142520545	SLC2A4
Estrogen Signaling Pathway WP712	1/23	0.019378702334968384	0.03681953443643993	0	0	56.70738636363637	223.63015065372352	AKT1
Purine Metabolism And Related Disorders WP4224	1/23	0.019378702334968384	0.03681953443643993	0	0	56.70738636363637	223.63015065372352	PRPS1
Angiogenesis WP1539	1/24	0.020213186577968428	0.03728646067780584	0	0	54.23913043478261	211.60963296162683	AKT1
Kallmann Syndrome WP5074	1/24	0.020213186577968428	0.03728646067780584	0	0	54.23913043478261	211.60963296162683	AKT1
LDL Influence On CD14 And TLR4 WP5272	1/24	0.020213186577968428	0.03728646067780584	0	0	54.23913043478261	211.60963296162683	AKT1
EPO Receptor Signaling WP581	1/26	0.02188015065344143	0.039219137963715775	0	0	49.895	190.70744238188936	AKT1
Warburg Effect Modulated By Deubiquitinating Enzymes And Their Substrates WP5216	1/26	0.02188015065344143	0.039219137963715775	0	0	49.895	190.70744238188936	AKT1
Wnt Beta Catenin Signaling Pathway In Leukemia WP3658	1/26	0.02188015065344143	0.039219137963715775	0	0	49.895	190.70744238188936	AKT1
T Cell Receptor And Co Stimulatory Signaling WP2583	1/28	0.0235444454896736	0.041040776541632885	0	0	46.19444444444444	173.1767519855369	AKT1
Nanoparticle Mediated Activation Of Receptor Signaling WP2643	1/28	0.0235444454896736	0.041040776541632885	0	0	46.19444444444444	173.1767519855369	AKT3
Dravet Syndrome WP5200	1/28	0.0235444454896736	0.041040776541632885	0	0	46.19444444444444	173.1767519855369	AKT1
Familial Partial Lipodystrophy WP5102	1/30	0.025206075066878136	0.04276030591702541	0	0	43.00431034482759	158.28468525367578	AKT2
Oligodendrocyte Specification And Differentiation Leading To Myelin Components For CNS WP4304	1/30	0.025206075066878136	0.04276030591702541	0	0	43.00431034482759	158.28468525367578	IGF1
Extracellular Vesicle Mediated Signaling In Recipient Cells WP2870	1/30	0.025206075066878136	0.04276030591702541	0	0	43.00431034482759	158.28468525367578	AKT1
