ID,EntrezGeneID,GeneSymbol,GB_ACC,PROBE_DERIVED_FROM_TRANSCRIPT,SPOT_ID,RosettaGeneModelID,GENE_ID,GSM493540,GSM493541,GSM493542,GSM493543,GSM493544,GSM493545,GSM493546,GSM493547,GSM493548,GSM493549,GSM493550,GSM493551,GSM493552,GSM493553
100079054_TGI_at,NA,,,non-public,RosettaGeneID: MMG00207316,MMG00207316,NA,6.399314672437397,6.33674933168037,6.590416386399939,6.199487825099689,6.116185905988003,5.956479545479498,6.286871909188903,6.391815827315521,6.601781186172337,6.424817979365311,6.598140362267929,6.563961946499123,5.825841584226743,6.433288317607841
100079056_TGI_at,170812,Eraf,NM_133245,NM_133245,,MMG00303693,170812,3.879411708794253,3.7923868688250426,3.952939222023602,3.91506191878964,4.0293557015863035,4.067733356217796,4.075926195344797,4.210700562629804,3.933204364123289,3.95481979221012,4.19387422628958,4.289782834063009,4.103933991056233,3.937297306034564
100079058_TGI_at,26414,Mapk10,,non-public,ENSEMBLE: ENSMUST00000060871,MMG00237814,26414,3.3715031052044355,3.537532147737456,3.718273938304873,3.3448426966819005,3.4012345175148133,2.9003741551911486,3.0058670363074635,3.3803969919884493,3.264581467602232,3.509125744436649,3.5406968656683,3.6331986863740036,3.1281449000533472,3.5134402124775197
100079059_TGI_at,319467,A930002C04Rik,AK044426,AK044426,,MMG00272551,319467,2.8711142330470767,2.508961007654417,2.8107104352483265,2.6736694834346513,3.100624497327512,2.722924990788786,2.8842266991547825,2.6839658819170267,2.5144505385392515,2.735630483669539,2.6488795544134676,2.5391588111080314,2.6398341254659465,2.7429332057621374
100079060_TGI_at,78215,4930578N18Rik,AK019818,AK019818,,MMG00286147,78215,3.815964740048467,4.120791517118756,3.8783722253834294,3.965267130079795,3.853746197008764,4.012890428336391,3.8922355756489004,4.016211033155917,4.160065028284601,4.002999488792416,4.290675054777238,4.039550784273199,3.9674822028041348,4.100313317006246
100079061_TGI_at,76867,Rhbdd1,NM_029777,NM_029777,,MMG00200669,76867,7.159651384684472,7.092261360523267,7.149748135486748,7.151909540655303,7.192166542302035,7.315308091462645,7.139608649787427,7.089467430531278,7.053711972222625,7.035478753232332,6.992502205410059,7.145773224145319,7.195954827800301,7.058475607592994
100079062_TGI_at,NA,,,non-public,ENSEMBLE: ENSMUST00000087406,MMG00205547,NA,3.945823042677724,3.663378779065243,3.8124263454982064,3.617216188566735,3.6554777726821372,3.4872033393261432,3.794862902573355,3.774080690775411,3.582291043034524,3.5399156396348475,3.7623488156441294,4.080973111814072,3.4800841274526606,3.7084190199701528
100079064_TGI_at,211948,E430028B21Rik,BQ562016,BQ562016,,MMG00322567,211948,7.721780034785881,7.816627863899328,7.798615658409281,7.9271954341328765,7.705454760798066,7.930420382854326,7.988073968089722,8.033932810537525,7.870597751499477,7.968324652486987,7.914531038804009,7.7473128728071226,8.03874563605151,7.776492252462429
100079065_TGI_at,NA,,BC029309,BC029309,,MMG00292598,NA,4.732518854241809,4.858179973824652,4.870685282864557,4.731992357865735,4.6094713114114505,4.733300102938643,4.731069168553973,4.759209108113562,4.896654514333266,4.881782065967702,4.917245558376489,4.728709637847566,4.725588482283915,4.699906932374876
100079066_TGI_at,73033,2900072N19Rik,AK013769,AK013769,,MMG00208318,73033,3.0408749008315206,2.8725332968501194,2.7612427153580796,2.913760676357669,2.8960974359095664,3.1865005576444947,2.850779424441809,2.8760552102701675,2.774860839378775,2.827839344122688,3.0509717809750434,2.8223630551570826,3.0410151333909194,3.063192280741679
