GeneSymbol	DiseaseID
CKB	MESH:D058186
CKB	MESH:D012080
CKB	MESH:D000092702
CKB	MESH:D007669
CKB	MESH:D007673
CKB	MESH:D007674
CKB	MESH:D052177
CKB	MESH:D007676
CKB	MESH:D007680
CKB	MESH:D007681
CKB	MESH:D007683
CKB	MESH:D021782
CKB	MESH:D007690
CKB	MESH:C537152
CKM	MESH:D058186
CKM	MESH:D007669
CKM	MESH:D007673
CKM	MESH:D007674
CKM	MESH:D007676
CKM	MESH:D007680
CKM	MESH:D007681
CKM	MESH:D007683
CKM	MESH:D021782
CKM	MESH:D007690
CKMT1A	MESH:D058186
CKMT1A	MESH:D007669
CKMT1A	MESH:D007674
CKMT1A	MESH:D052177
CKMT1A	MESH:D007676
CKMT1A	MESH:D007680
CKMT1A	MESH:D007681
CKMT1A	MESH:D007683
CKMT1B	MESH:D058186
CKMT1B	MESH:D007673
CKMT1B	MESH:D007674
CKMT1B	MESH:D007676
CKMT1B	MESH:D007680
CKMT1B	MESH:D007683
CKMT1B	MESH:C537152
CKMT2	MESH:D058186
CKMT2	MESH:D007669
CKMT2	MESH:D007673
CKMT2	MESH:D007674
CKMT2	MESH:D052177
CKMT2	MESH:D007676
CKMT2	MESH:D007680
CKMT2	MESH:D007681
CKMT2	MESH:D007683
SLC16A12	MESH:D058186
SLC16A12	MESH:D000092702
SLC16A12	MESH:D007669
SLC16A12	MESH:D007673
SLC16A12	MESH:D007674
SLC16A12	MESH:D052177
SLC16A12	MESH:D007676
SLC16A12	MESH:D007680
SLC16A12	MESH:D007681
SLC16A12	MESH:D007683
SLC16A12	MESH:D021782
SLC16A12	MESH:D007690
SLC16A12	MESH:C537152
SLC6A8	MESH:D058186
SLC6A8	MESH:D012080
SLC6A8	MESH:D007669
SLC6A8	MESH:D007673
SLC6A8	MESH:D007674
SLC6A8	MESH:D052177
SLC6A8	MESH:D007676
SLC6A8	MESH:D007680
SLC6A8	MESH:D007681
SLC6A8	MESH:D007683
SLC6A8	MESH:D021782
SLC6A8	MESH:D007690
SLC6A8	MESH:C538445
SLC6A8	MESH:C537152
